Rank Origem,Rank Destino,Ação da Origem,Estado do Destino,Tempo Inicial,Tempo Final
1,9,PMPI_Bcast,PMPI_Bcast,0.000954,0.001076
1,5,PMPI_Bcast,PMPI_Bcast,0.000954,0.001076
1,2,PMPI_Bcast,PMPI_Bcast,0.000954,0.001076
1,3,PMPI_Bcast,PMPI_Bcast,0.000954,0.001173
9,13,PMPI_Bcast,PMPI_Bcast,0.001076,0.001198
5,6,PMPI_Bcast,PMPI_Bcast,0.001076,0.001198
9,10,PMPI_Bcast,PMPI_Bcast,0.001076,0.001198
1,5,PMPI_Bcast,PMPI_Bcast,0.000956,0.001198
1,9,PMPI_Bcast,PMPI_Bcast,0.000956,0.001198
1,2,PMPI_Bcast,PMPI_Bcast,0.000956,0.001199
5,7,PMPI_Bcast,PMPI_Bcast,0.001076,0.001295
9,11,PMPI_Bcast,PMPI_Bcast,0.001076,0.001295
3,4,PMPI_Bcast,PMPI_Bcast,0.001173,0.001295
13,14,PMPI_Bcast,PMPI_Bcast,0.001198,0.001319
9,13,PMPI_Bcast,PMPI_Bcast,0.001198,0.001319
1,5,PMPI_Bcast,PMPI_Bcast,0.000956,0.001319
9,10,PMPI_Bcast,PMPI_Bcast,0.001198,0.001319
1,9,PMPI_Bcast,PMPI_Bcast,0.000956,0.001319
5,6,PMPI_Bcast,PMPI_Bcast,0.001198,0.001321
1,2,PMPI_Bcast,PMPI_Bcast,0.000956,0.001321
1,3,PMPI_Bcast,PMPI_Bcast,0.000956,0.001394
13,15,PMPI_Bcast,PMPI_Bcast,0.001198,0.001417
7,8,PMPI_Bcast,PMPI_Bcast,0.001295,0.001417
11,12,PMPI_Bcast,PMPI_Bcast,0.001295,0.001417
13,14,PMPI_Bcast,PMPI_Bcast,0.001319,0.001441
9,13,PMPI_Bcast,PMPI_Bcast,0.001319,0.001441
1,5,PMPI_Bcast,PMPI_Bcast,0.000956,0.001441
9,10,PMPI_Bcast,PMPI_Bcast,0.001319,0.001441
1,9,PMPI_Bcast,PMPI_Bcast,0.000956,0.001441
5,6,PMPI_Bcast,PMPI_Bcast,0.001319,0.001442
1,2,PMPI_Bcast,PMPI_Bcast,0.000956,0.001443
5,7,PMPI_Bcast,PMPI_Bcast,0.001198,0.001514
9,11,PMPI_Bcast,PMPI_Bcast,0.001198,0.001514
3,4,PMPI_Bcast,PMPI_Bcast,0.001394,0.001516
15,16,PMPI_Bcast,PMPI_Bcast,0.001417,0.001539
13,14,PMPI_Bcast,PMPI_Bcast,0.001441,0.001563
9,13,PMPI_Bcast,PMPI_Bcast,0.001441,0.001563
1,5,PMPI_Bcast,PMPI_Bcast,0.000956,0.001563
9,10,PMPI_Bcast,PMPI_Bcast,0.001441,0.001563
1,9,PMPI_Bcast,PMPI_Bcast,0.000956,0.001563
5,6,PMPI_Bcast,PMPI_Bcast,0.001441,0.001564
1,2,PMPI_Bcast,PMPI_Bcast,0.000956,0.001565
1,3,PMPI_Bcast,PMPI_Bcast,0.000956,0.001613
13,15,PMPI_Bcast,PMPI_Bcast,0.001319,0.001636
7,8,PMPI_Bcast,PMPI_Bcast,0.001514,0.001636
11,12,PMPI_Bcast,PMPI_Bcast,0.001514,0.001636
13,14,PMPI_Bcast,PMPI_Bcast,0.001563,0.001685
9,13,PMPI_Bcast,PMPI_Bcast,0.001563,0.001685
1,5,PMPI_Bcast,PMPI_Bcast,0.000956,0.001685
9,10,PMPI_Bcast,PMPI_Bcast,0.001563,0.001685
1,9,PMPI_Bcast,PMPI_Bcast,0.000956,0.001685
5,6,PMPI_Bcast,PMPI_Bcast,0.001563,0.001686
1,2,PMPI_Bcast,PMPI_Bcast,0.000956,0.001686
5,7,PMPI_Bcast,PMPI_Bcast,0.001319,0.001734
9,11,PMPI_Bcast,PMPI_Bcast,0.001319,0.001734
3,4,PMPI_Bcast,PMPI_Bcast,0.001613,0.001735
15,16,PMPI_Bcast,PMPI_Bcast,0.001636,0.001758
13,14,PMPI_Bcast,PMPI_Bcast,0.001685,0.001807
9,13,PMPI_Bcast,PMPI_Bcast,0.001685,0.001807
1,5,PMPI_Bcast,PMPI_Bcast,0.000956,0.001807
9,10,PMPI_Bcast,PMPI_Bcast,0.001685,0.001807
1,9,PMPI_Bcast,PMPI_Bcast,0.000956,0.001807
5,6,PMPI_Bcast,PMPI_Bcast,0.001685,0.001808
1,2,PMPI_Bcast,PMPI_Bcast,0.000956,0.001808
1,3,PMPI_Bcast,PMPI_Bcast,0.000956,0.001833
13,15,PMPI_Bcast,PMPI_Bcast,0.001441,0.001856
7,8,PMPI_Bcast,PMPI_Bcast,0.001734,0.001856
11,12,PMPI_Bcast,PMPI_Bcast,0.001734,0.001856
13,14,PMPI_Bcast,PMPI_Bcast,0.001807,0.001929
