Rank Origem,Rank Destino,Ação da Origem,Estado do Destino,Tempo Inicial,Tempo Final
1,17,PMPI_Bcast,PMPI_Bcast,0.000486,0.000488
1,5,PMPI_Bcast,PMPI_Bcast,0.000486,0.000488
1,2,PMPI_Bcast,PMPI_Bcast,0.000486,0.000488
1,9,PMPI_Bcast,PMPI_Bcast,0.000486,0.00049
1,3,PMPI_Bcast,PMPI_Bcast,0.000486,0.00049
17,21,PMPI_Bcast,PMPI_Bcast,0.000488,0.00049
5,6,PMPI_Bcast,PMPI_Bcast,0.000488,0.00049
17,18,PMPI_Bcast,PMPI_Bcast,0.000488,0.00049
1,17,PMPI_Bcast,PMPI_Bcast,0.000487,0.000491
1,5,PMPI_Bcast,PMPI_Bcast,0.000487,0.000491
1,2,PMPI_Bcast,PMPI_Bcast,0.000487,0.000491
17,25,PMPI_Bcast,PMPI_Bcast,0.000488,0.000492
5,7,PMPI_Bcast,PMPI_Bcast,0.000488,0.000492
9,13,PMPI_Bcast,PMPI_Bcast,0.00049,0.000492
3,4,PMPI_Bcast,PMPI_Bcast,0.00049,0.000492
9,10,PMPI_Bcast,PMPI_Bcast,0.00049,0.000492
21,22,PMPI_Bcast,PMPI_Bcast,0.00049,0.000492
17,21,PMPI_Bcast,PMPI_Bcast,0.000491,0.000493
17,18,PMPI_Bcast,PMPI_Bcast,0.000491,0.000493
5,6,PMPI_Bcast,PMPI_Bcast,0.000491,0.000493
1,5,PMPI_Bcast,PMPI_Bcast,0.000489,0.000493
1,9,PMPI_Bcast,PMPI_Bcast,0.000487,0.000494
21,23,PMPI_Bcast,PMPI_Bcast,0.00049,0.000494
25,29,PMPI_Bcast,PMPI_Bcast,0.000492,0.000494
7,8,PMPI_Bcast,PMPI_Bcast,0.000492,0.000494
13,14,PMPI_Bcast,PMPI_Bcast,0.000492,0.000494
25,26,PMPI_Bcast,PMPI_Bcast,0.000492,0.000494
1,17,PMPI_Bcast,PMPI_Bcast,0.000489,0.000494
21,22,PMPI_Bcast,PMPI_Bcast,0.000493,0.000495
1,3,PMPI_Bcast,PMPI_Bcast,0.000487,0.000495
5,6,PMPI_Bcast,PMPI_Bcast,0.000493,0.000495
1,5,PMPI_Bcast,PMPI_Bcast,0.000489,0.000495
13,15,PMPI_Bcast,PMPI_Bcast,0.000492,0.000496
17,25,PMPI_Bcast,PMPI_Bcast,0.000491,0.000496
9,13,PMPI_Bcast,PMPI_Bcast,0.000494,0.000496
9,10,PMPI_Bcast,PMPI_Bcast,0.000494,0.000496
23,24,PMPI_Bcast,PMPI_Bcast,0.000494,0.000496
29,30,PMPI_Bcast,PMPI_Bcast,0.000494,0.000496
17,21,PMPI_Bcast,PMPI_Bcast,0.000494,0.000496
17,18,PMPI_Bcast,PMPI_Bcast,0.000494,0.000496
1,17,PMPI_Bcast,PMPI_Bcast,0.000489,0.000496
3,4,PMPI_Bcast,PMPI_Bcast,0.000495,0.000497
1,5,PMPI_Bcast,PMPI_Bcast,0.000489,0.000497
5,6,PMPI_Bcast,PMPI_Bcast,0.000495,0.000497
5,7,PMPI_Bcast,PMPI_Bcast,0.000491,0.000497
1,9,PMPI_Bcast,PMPI_Bcast,0.000489,0.000498
29,31,PMPI_Bcast,PMPI_Bcast,0.000494,0.000498
21,23,PMPI_Bcast,PMPI_Bcast,0.000493,0.000498
