Rank Origem,Rank Destino,Ação da Origem,Estado do Destino,Tempo Inicial,Tempo Final
2,1,PMPI_Gather,PMPI_Gather,0.00043,0.000727
3,1,PMPI_Gather,PMPI_Gather,0.000383,0.000727
4,1,PMPI_Gather,PMPI_Gather,0.00043,0.000727
15,1,PMPI_Gather,PMPI_Gather,0.000399,0.001044
5,1,PMPI_Gather,PMPI_Gather,0.000383,0.001044
6,1,PMPI_Gather,PMPI_Gather,0.000372,0.001044
7,1,PMPI_Gather,PMPI_Gather,0.000399,0.001044
9,1,PMPI_Gather,PMPI_Gather,0.000396,0.001044
10,1,PMPI_Gather,PMPI_Gather,0.000408,0.001044
11,1,PMPI_Gather,PMPI_Gather,0.000403,0.001044
12,1,PMPI_Gather,PMPI_Gather,0.000412,0.001044
13,1,PMPI_Gather,PMPI_Gather,0.000389,0.001044
14,1,PMPI_Gather,PMPI_Gather,0.000394,0.001044
16,1,PMPI_Gather,PMPI_Gather,0.000471,0.001047
8,1,PMPI_Gather,PMPI_Gather,0.000551,0.001055
2,1,PMPI_Gather,PMPI_Gather,0.000432,0.001328
3,1,PMPI_Gather,PMPI_Gather,0.000384,0.001328
4,1,PMPI_Gather,PMPI_Gather,0.00043,0.001328
5,1,PMPI_Gather,PMPI_Gather,0.000384,0.001655
6,1,PMPI_Gather,PMPI_Gather,0.000373,0.001655
7,1,PMPI_Gather,PMPI_Gather,0.000399,0.001655
8,1,PMPI_Gather,PMPI_Gather,0.000552,0.001655
9,1,PMPI_Gather,PMPI_Gather,0.000397,0.001655
10,1,PMPI_Gather,PMPI_Gather,0.000409,0.001655
11,1,PMPI_Gather,PMPI_Gather,0.000403,0.001655
12,1,PMPI_Gather,PMPI_Gather,0.000413,0.001655
13,1,PMPI_Gather,PMPI_Gather,0.00039,0.001655
14,1,PMPI_Gather,PMPI_Gather,0.000395,0.001655
15,1,PMPI_Gather,PMPI_Gather,0.0004,0.001655
16,1,PMPI_Gather,PMPI_Gather,0.000473,0.001655
2,1,PMPI_Gather,PMPI_Gather,0.000433,0.001928
3,1,PMPI_Gather,PMPI_Gather,0.000385,0.001928
4,1,PMPI_Gather,PMPI_Gather,0.00043,0.001928
5,1,PMPI_Gather,PMPI_Gather,0.000384,0.002256
6,1,PMPI_Gather,PMPI_Gather,0.000373,0.002256
7,1,PMPI_Gather,PMPI_Gather,0.000399,0.002256
8,1,PMPI_Gather,PMPI_Gather,0.000552,0.002256
9,1,PMPI_Gather,PMPI_Gather,0.000397,0.002256
10,1,PMPI_Gather,PMPI_Gather,0.000409,0.002256
11,1,PMPI_Gather,PMPI_Gather,0.000403,0.002256
12,1,PMPI_Gather,PMPI_Gather,0.000413,0.002256
13,1,PMPI_Gather,PMPI_Gather,0.00039,0.002256
14,1,PMPI_Gather,PMPI_Gather,0.000395,0.002256
15,1,PMPI_Gather,PMPI_Gather,0.000401,0.002256
16,1,PMPI_Gather,PMPI_Gather,0.000473,0.002256
2,1,PMPI_Gather,PMPI_Gather,0.000433,0.002528
3,1,PMPI_Gather,PMPI_Gather,0.000385,0.002528
4,1,PMPI_Gather,PMPI_Gather,0.00043,0.002528
5,1,PMPI_Gather,PMPI_Gather,0.000384,0.002856
6,1,PMPI_Gather,PMPI_Gather,0.000373,0.002856
7,1,PMPI_Gather,PMPI_Gather,0.000399,0.002856
8,1,PMPI_Gather,PMPI_Gather,0.000552,0.002856
9,1,PMPI_Gather,PMPI_Gather,0.000397,0.002856
10,1,PMPI_Gather,PMPI_Gather,0.000409,0.002856
11,1,PMPI_Gather,PMPI_Gather,0.000403,0.002856
12,1,PMPI_Gather,PMPI_Gather,0.000413,0.002856
13,1,PMPI_Gather,PMPI_Gather,0.00039,0.002856
14,1,PMPI_Gather,PMPI_Gather,0.000395,0.002856
15,1,PMPI_Gather,PMPI_Gather,0.000401,0.002856
16,1,PMPI_Gather,PMPI_Gather,0.000473,0.002856
2,1,PMPI_Gather,PMPI_Gather,0.000433,0.003128
3,1,PMPI_Gather,PMPI_Gather,0.000385,0.003128
4,1,PMPI_Gather,PMPI_Gather,0.00043,0.003128
5,1,PMPI_Gather,PMPI_Gather,0.000384,0.003456
6,1,PMPI_Gather,PMPI_Gather,0.000373,0.003456
7,1,PMPI_Gather,PMPI_Gather,0.000399,0.003456
8,1,PMPI_Gather,PMPI_Gather,0.000552,0.003456
9,1,PMPI_Gather,PMPI_Gather,0.000397,0.003456
10,1,PMPI_Gather,PMPI_Gather,0.000409,0.003456
11,1,PMPI_Gather,PMPI_Gather,0.000403,0.003456
12,1,PMPI_Gather,PMPI_Gather,0.000413,0.003456
13,1,PMPI_Gather,PMPI_Gather,0.00039,0.003456
14,1,PMPI_Gather,PMPI_Gather,0.000395,0.003456
15,1,PMPI_Gather,PMPI_Gather,0.000401,0.003456
16,1,PMPI_Gather,PMPI_Gather,0.000473,0.003456
2,1,PMPI_Gather,PMPI_Gather,0.000433,0.003729
3,1,PMPI_Gather,PMPI_Gather,0.000385,0.003729
4,1,PMPI_Gather,PMPI_Gather,0.00043,0.003729
5,1,PMPI_Gather,PMPI_Gather,0.000384,0.004056
6,1,PMPI_Gather,PMPI_Gather,0.000373,0.004056
7,1,PMPI_Gather,PMPI_Gather,0.000399,0.004056
8,1,PMPI_Gather,PMPI_Gather,0.000552,0.004056
9,1,PMPI_Gather,PMPI_Gather,0.000397,0.004056
10,1,PMPI_Gather,PMPI_Gather,0.000409,0.004056
11,1,PMPI_Gather,PMPI_Gather,0.000403,0.004056
12,1,PMPI_Gather,PMPI_Gather,0.000413,0.004056
13,1,PMPI_Gather,PMPI_Gather,0.00039,0.004056
14,1,PMPI_Gather,PMPI_Gather,0.000395,0.004056
15,1,PMPI_Gather,PMPI_Gather,0.000401,0.004056
16,1,PMPI_Gather,PMPI_Gather,0.000473,0.004056
2,1,PMPI_Gather,PMPI_Gather,0.000433,0.004329
3,1,PMPI_Gather,PMPI_Gather,0.000385,0.004329
4,1,PMPI_Gather,PMPI_Gather,0.00043,0.004329
5,1,PMPI_Gather,PMPI_Gather,0.000384,0.004656
6,1,PMPI_Gather,PMPI_Gather,0.000373,0.004656
7,1,PMPI_Gather,PMPI_Gather,0.000399,0.004656
8,1,PMPI_Gather,PMPI_Gather,0.000552,0.004656
9,1,PMPI_Gather,PMPI_Gather,0.000397,0.004656
10,1,PMPI_Gather,PMPI_Gather,0.000409,0.004656
11,1,PMPI_Gather,PMPI_Gather,0.000403,0.004656
12,1,PMPI_Gather,PMPI_Gather,0.000413,0.004656
13,1,PMPI_Gather,PMPI_Gather,0.00039,0.004656
14,1,PMPI_Gather,PMPI_Gather,0.000395,0.004656
15,1,PMPI_Gather,PMPI_Gather,0.000401,0.004656
16,1,PMPI_Gather,PMPI_Gather,0.000473,0.004656
2,1,PMPI_Gather,PMPI_Gather,0.000433,0.004928
3,1,PMPI_Gather,PMPI_Gather,0.000385,0.004928
4,1,PMPI_Gather,PMPI_Gather,0.00043,0.004928
5,1,PMPI_Gather,PMPI_Gather,0.000384,0.005255
6,1,PMPI_Gather,PMPI_Gather,0.000373,0.005255
7,1,PMPI_Gather,PMPI_Gather,0.000399,0.005255
8,1,PMPI_Gather,PMPI_Gather,0.000552,0.005255
9,1,PMPI_Gather,PMPI_Gather,0.000397,0.005255
10,1,PMPI_Gather,PMPI_Gather,0.000409,0.005255
11,1,PMPI_Gather,PMPI_Gather,0.000403,0.005255
12,1,PMPI_Gather,PMPI_Gather,0.000413,0.005255
13,1,PMPI_Gather,PMPI_Gather,0.00039,0.005255
14,1,PMPI_Gather,PMPI_Gather,0.000395,0.005255
15,1,PMPI_Gather,PMPI_Gather,0.000401,0.005255
16,1,PMPI_Gather,PMPI_Gather,0.000473,0.005255
2,1,PMPI_Gather,PMPI_Gather,0.000433,0.005528
3,1,PMPI_Gather,PMPI_Gather,0.000385,0.005528
4,1,PMPI_Gather,PMPI_Gather,0.00043,0.005528
5,1,PMPI_Gather,PMPI_Gather,0.000384,0.005855
6,1,PMPI_Gather,PMPI_Gather,0.000373,0.005855
7,1,PMPI_Gather,PMPI_Gather,0.000399,0.005855
8,1,PMPI_Gather,PMPI_Gather,0.000552,0.005855
9,1,PMPI_Gather,PMPI_Gather,0.000397,0.005855
10,1,PMPI_Gather,PMPI_Gather,0.000409,0.005855
11,1,PMPI_Gather,PMPI_Gather,0.000403,0.005855
12,1,PMPI_Gather,PMPI_Gather,0.000413,0.005855
