Rank Origem,Rank Destino,Ação da Origem,Estado do Destino,Tempo Inicial,Tempo Final
2,1,PMPI_Gather,PMPI_Gather,0.000402,0.000439
3,1,PMPI_Gather,PMPI_Gather,0.000413,0.000439
4,1,PMPI_Gather,PMPI_Gather,0.000402,0.000439
20,1,PMPI_Gather,PMPI_Gather,0.000423,0.000445
17,1,PMPI_Gather,PMPI_Gather,0.000408,0.000445
18,1,PMPI_Gather,PMPI_Gather,0.000425,0.000445
32,1,PMPI_Gather,PMPI_Gather,0.000412,0.000445
5,1,PMPI_Gather,PMPI_Gather,0.000419,0.000445
6,1,PMPI_Gather,PMPI_Gather,0.000394,0.000445
7,1,PMPI_Gather,PMPI_Gather,0.000407,0.000445
8,1,PMPI_Gather,PMPI_Gather,0.000414,0.000445
10,1,PMPI_Gather,PMPI_Gather,0.00041,0.000445
12,1,PMPI_Gather,PMPI_Gather,0.000405,0.000445
13,1,PMPI_Gather,PMPI_Gather,0.000411,0.000445
14,1,PMPI_Gather,PMPI_Gather,0.000413,0.000445
16,1,PMPI_Gather,PMPI_Gather,0.000405,0.000445
21,1,PMPI_Gather,PMPI_Gather,0.000415,0.000445
23,1,PMPI_Gather,PMPI_Gather,0.000406,0.000445
24,1,PMPI_Gather,PMPI_Gather,0.00043,0.000445
25,1,PMPI_Gather,PMPI_Gather,0.000412,0.000445
26,1,PMPI_Gather,PMPI_Gather,0.000417,0.000445
27,1,PMPI_Gather,PMPI_Gather,0.000416,0.000445
28,1,PMPI_Gather,PMPI_Gather,0.000414,0.000445
29,1,PMPI_Gather,PMPI_Gather,0.000421,0.000445
31,1,PMPI_Gather,PMPI_Gather,0.000414,0.000445
33,1,PMPI_Gather,PMPI_Gather,0.00042,0.000447
34,1,PMPI_Gather,PMPI_Gather,0.000413,0.000447
35,1,PMPI_Gather,PMPI_Gather,0.000411,0.000447
36,1,PMPI_Gather,PMPI_Gather,0.000411,0.000447
19,1,PMPI_Gather,PMPI_Gather,0.000437,0.000449
52,1,PMPI_Gather,PMPI_Gather,0.000396,0.000452
49,1,PMPI_Gather,PMPI_Gather,0.000392,0.000452
50,1,PMPI_Gather,PMPI_Gather,0.000401,0.000452
51,1,PMPI_Gather,PMPI_Gather,0.000395,0.000452
48,1,PMPI_Gather,PMPI_Gather,0.000399,0.000452
37,1,PMPI_Gather,PMPI_Gather,0.000407,0.000452
