Rank Origem,Rank Destino,Ação da Origem,Estado do Destino,Tempo Inicial,Tempo Final
32,1,PMPI_Gather,PMPI_Gather,0.000431,0.00239
2,1,PMPI_Gather,PMPI_Gather,0.00043,0.00239
3,1,PMPI_Gather,PMPI_Gather,0.000415,0.00239
4,1,PMPI_Gather,PMPI_Gather,0.00042,0.00239
5,1,PMPI_Gather,PMPI_Gather,0.000415,0.00239
6,1,PMPI_Gather,PMPI_Gather,0.00041,0.00239
7,1,PMPI_Gather,PMPI_Gather,0.000421,0.00239
8,1,PMPI_Gather,PMPI_Gather,0.00041,0.00239
9,1,PMPI_Gather,PMPI_Gather,0.000413,0.00239
10,1,PMPI_Gather,PMPI_Gather,0.000403,0.00239
11,1,PMPI_Gather,PMPI_Gather,0.000416,0.00239
12,1,PMPI_Gather,PMPI_Gather,0.000423,0.00239
13,1,PMPI_Gather,PMPI_Gather,0.000426,0.00239
17,1,PMPI_Gather,PMPI_Gather,0.000398,0.00239
19,1,PMPI_Gather,PMPI_Gather,0.0004,0.00239
20,1,PMPI_Gather,PMPI_Gather,0.000407,0.00239
22,1,PMPI_Gather,PMPI_Gather,0.000422,0.00239
23,1,PMPI_Gather,PMPI_Gather,0.000402,0.00239
24,1,PMPI_Gather,PMPI_Gather,0.000406,0.00239
25,1,PMPI_Gather,PMPI_Gather,0.000413,0.00239
26,1,PMPI_Gather,PMPI_Gather,0.000419,0.00239
27,1,PMPI_Gather,PMPI_Gather,0.000421,0.00239
28,1,PMPI_Gather,PMPI_Gather,0.000419,0.00239
30,1,PMPI_Gather,PMPI_Gather,0.000402,0.00239
31,1,PMPI_Gather,PMPI_Gather,0.000402,0.00239
15,1,PMPI_Gather,PMPI_Gather,0.000441,0.00239
16,1,PMPI_Gather,PMPI_Gather,0.000465,0.002395
14,1,PMPI_Gather,PMPI_Gather,0.000466,0.002395
18,1,PMPI_Gather,PMPI_Gather,0.00051,0.0024
29,1,PMPI_Gather,PMPI_Gather,0.000514,0.0024
21,1,PMPI_Gather,PMPI_Gather,0.000603,0.002403
2,1,PMPI_Gather,PMPI_Gather,0.00043,0.004365
3,1,PMPI_Gather,PMPI_Gather,0.000417,0.004365
4,1,PMPI_Gather,PMPI_Gather,0.00042,0.004365
5,1,PMPI_Gather,PMPI_Gather,0.000416,0.004365
6,1,PMPI_Gather,PMPI_Gather,0.000411,0.004365
7,1,PMPI_Gather,PMPI_Gather,0.000421,0.004365
8,1,PMPI_Gather,PMPI_Gather,0.000411,0.004365
9,1,PMPI_Gather,PMPI_Gather,0.000415,0.004365
10,1,PMPI_Gather,PMPI_Gather,0.000404,0.004365
11,1,PMPI_Gather,PMPI_Gather,0.000417,0.004365
12,1,PMPI_Gather,PMPI_Gather,0.000423,0.004365
13,1,PMPI_Gather,PMPI_Gather,0.000426,0.004365
14,1,PMPI_Gather,PMPI_Gather,0.000466,0.004365
15,1,PMPI_Gather,PMPI_Gather,0.000443,0.004365
16,1,PMPI_Gather,PMPI_Gather,0.000465,0.004365
17,1,PMPI_Gather,PMPI_Gather,0.0004,0.004365
18,1,PMPI_Gather,PMPI_Gather,0.00051,0.004365
19,1,PMPI_Gather,PMPI_Gather,0.000401,0.004365
20,1,PMPI_Gather,PMPI_Gather,0.000408,0.004365
21,1,PMPI_Gather,PMPI_Gather,0.000603,0.004365
22,1,PMPI_Gather,PMPI_Gather,0.000422,0.004365
23,1,PMPI_Gather,PMPI_Gather,0.000402,0.004365
24,1,PMPI_Gather,PMPI_Gather,0.000407,0.004365
25,1,PMPI_Gather,PMPI_Gather,0.000414,0.004365
26,1,PMPI_Gather,PMPI_Gather,0.00042,0.004365
27,1,PMPI_Gather,PMPI_Gather,0.000421,0.004365
28,1,PMPI_Gather,PMPI_Gather,0.000419,0.004365
29,1,PMPI_Gather,PMPI_Gather,0.000514,0.004365
30,1,PMPI_Gather,PMPI_Gather,0.000403,0.004365
31,1,PMPI_Gather,PMPI_Gather,0.000402,0.004365
32,1,PMPI_Gather,PMPI_Gather,0.000431,0.004365
2,1,PMPI_Gather,PMPI_Gather,0.00043,0.006327
3,1,PMPI_Gather,PMPI_Gather,0.000417,0.006327
4,1,PMPI_Gather,PMPI_Gather,0.00042,0.006327
5,1,PMPI_Gather,PMPI_Gather,0.000417,0.006327
6,1,PMPI_Gather,PMPI_Gather,0.000411,0.006327
7,1,PMPI_Gather,PMPI_Gather,0.000421,0.006327
8,1,PMPI_Gather,PMPI_Gather,0.000411,0.006327
9,1,PMPI_Gather,PMPI_Gather,0.000416,0.006327
10,1,PMPI_Gather,PMPI_Gather,0.000405,0.006327
11,1,PMPI_Gather,PMPI_Gather,0.000417,0.006327
12,1,PMPI_Gather,PMPI_Gather,0.000423,0.006327
13,1,PMPI_Gather,PMPI_Gather,0.000426,0.006327
14,1,PMPI_Gather,PMPI_Gather,0.000466,0.006327
15,1,PMPI_Gather,PMPI_Gather,0.000443,0.006327
16,1,PMPI_Gather,PMPI_Gather,0.000465,0.006327
17,1,PMPI_Gather,PMPI_Gather,0.0004,0.006327
18,1,PMPI_Gather,PMPI_Gather,0.00051,0.006327
19,1,PMPI_Gather,PMPI_Gather,0.000401,0.006327
20,1,PMPI_Gather,PMPI_Gather,0.000408,0.006327
21,1,PMPI_Gather,PMPI_Gather,0.000603,0.006327
22,1,PMPI_Gather,PMPI_Gather,0.000422,0.006327
23,1,PMPI_Gather,PMPI_Gather,0.000402,0.006327
24,1,PMPI_Gather,PMPI_Gather,0.000407,0.006327
25,1,PMPI_Gather,PMPI_Gather,0.000414,0.006327
26,1,PMPI_Gather,PMPI_Gather,0.00042,0.006327
27,1,PMPI_Gather,PMPI_Gather,0.000421,0.006327
28,1,PMPI_Gather,PMPI_Gather,0.000419,0.006327
29,1,PMPI_Gather,PMPI_Gather,0.000514,0.006327
30,1,PMPI_Gather,PMPI_Gather,0.000404,0.006327
31,1,PMPI_Gather,PMPI_Gather,0.000402,0.006327
32,1,PMPI_Gather,PMPI_Gather,0.000431,0.006327
2,1,PMPI_Gather,PMPI_Gather,0.00043,0.008289
3,1,PMPI_Gather,PMPI_Gather,0.000417,0.008289
4,1,PMPI_Gather,PMPI_Gather,0.00042,0.008289
5,1,PMPI_Gather,PMPI_Gather,0.000418,0.008289
6,1,PMPI_Gather,PMPI_Gather,0.000411,0.008289
7,1,PMPI_Gather,PMPI_Gather,0.000421,0.008289
8,1,PMPI_Gather,PMPI_Gather,0.000411,0.008289
9,1,PMPI_Gather,PMPI_Gather,0.000416,0.008289
10,1,PMPI_Gather,PMPI_Gather,0.000405,0.008289
11,1,PMPI_Gather,PMPI_Gather,0.000417,0.008289
12,1,PMPI_Gather,PMPI_Gather,0.000423,0.008289
13,1,PMPI_Gather,PMPI_Gather,0.000426,0.008289
14,1,PMPI_Gather,PMPI_Gather,0.000466,0.008289
15,1,PMPI_Gather,PMPI_Gather,0.000443,0.008289
16,1,PMPI_Gather,PMPI_Gather,0.000465,0.008289
17,1,PMPI_Gather,PMPI_Gather,0.0004,0.008289
18,1,PMPI_Gather,PMPI_Gather,0.00051,0.008289
19,1,PMPI_Gather,PMPI_Gather,0.000401,0.008289
20,1,PMPI_Gather,PMPI_Gather,0.000408,0.008289
21,1,PMPI_Gather,PMPI_Gather,0.000603,0.008289
22,1,PMPI_Gather,PMPI_Gather,0.000422,0.008289
23,1,PMPI_Gather,PMPI_Gather,0.000402,0.008289
24,1,PMPI_Gather,PMPI_Gather,0.000407,0.008289
25,1,PMPI_Gather,PMPI_Gather,0.000414,0.008289
26,1,PMPI_Gather,PMPI_Gather,0.00042,0.008289
27,1,PMPI_Gather,PMPI_Gather,0.000421,0.008289
28,1,PMPI_Gather,PMPI_Gather,0.000419,0.008289
29,1,PMPI_Gather,PMPI_Gather,0.000514,0.008289
30,1,PMPI_Gather,PMPI_Gather,0.000404,0.008289
31,1,PMPI_Gather,PMPI_Gather,0.000402,0.008289
32,1,PMPI_Gather,PMPI_Gather,0.000431,0.008289
2,1,PMPI_Gather,PMPI_Gather,0.00043,0.010251
3,1,PMPI_Gather,PMPI_Gather,0.000417,0.010251
4,1,PMPI_Gather,PMPI_Gather,0.00042,0.010251
5,1,PMPI_Gather,PMPI_Gather,0.000419,0.010251
6,1,PMPI_Gather,PMPI_Gather,0.000411,0.010251
7,1,PMPI_Gather,PMPI_Gather,0.000421,0.010251
8,1,PMPI_Gather,PMPI_Gather,0.000411,0.010251
9,1,PMPI_Gather,PMPI_Gather,0.000416,0.010251
10,1,PMPI_Gather,PMPI_Gather,0.000405,0.010251
11,1,PMPI_Gather,PMPI_Gather,0.000417,0.010251
12,1,PMPI_Gather,PMPI_Gather,0.000423,0.010251
13,1,PMPI_Gather,PMPI_Gather,0.000426,0.010251
14,1,PMPI_Gather,PMPI_Gather,0.000466,0.010251
15,1,PMPI_Gather,PMPI_Gather,0.000443,0.010251
16,1,PMPI_Gather,PMPI_Gather,0.000465,0.010251
17,1,PMPI_Gather,PMPI_Gather,0.0004,0.010251
18,1,PMPI_Gather,PMPI_Gather,0.00051,0.010251
19,1,PMPI_Gather,PMPI_Gather,0.000401,0.010251
20,1,PMPI_Gather,PMPI_Gather,0.000408,0.010251
21,1,PMPI_Gather,PMPI_Gather,0.000603,0.010251
22,1,PMPI_Gather,PMPI_Gather,0.000422,0.010251
23,1,PMPI_Gather,PMPI_Gather,0.000402,0.010251
24,1,PMPI_Gather,PMPI_Gather,0.000407,0.010251
25,1,PMPI_Gather,PMPI_Gather,0.000414,0.010251
26,1,PMPI_Gather,PMPI_Gather,0.00042,0.010251
27,1,PMPI_Gather,PMPI_Gather,0.000421,0.010251
28,1,PMPI_Gather,PMPI_Gather,0.000419,0.010251
29,1,PMPI_Gather,PMPI_Gather,0.000514,0.010251
30,1,PMPI_Gather,PMPI_Gather,0.000404,0.010251
31,1,PMPI_Gather,PMPI_Gather,0.000402,0.010251
32,1,PMPI_Gather,PMPI_Gather,0.000431,0.010251
2,1,PMPI_Gather,PMPI_Gather,0.00043,0.012213
3,1,PMPI_Gather,PMPI_Gather,0.000417,0.012213
4,1,PMPI_Gather,PMPI_Gather,0.00042,0.012213
5,1,PMPI_Gather,PMPI_Gather,0.000419,0.012213
6,1,PMPI_Gather,PMPI_Gather,0.000411,0.012213
7,1,PMPI_Gather,PMPI_Gather,0.000421,0.012213
8,1,PMPI_Gather,PMPI_Gather,0.000411,0.012213
9,1,PMPI_Gather,PMPI_Gather,0.000416,0.012213
10,1,PMPI_Gather,PMPI_Gather,0.000405,0.012213
11,1,PMPI_Gather,PMPI_Gather,0.000417,0.012213
12,1,PMPI_Gather,PMPI_Gather,0.000423,0.012213
13,1,PMPI_Gather,PMPI_Gather,0.000426,0.012213
14,1,PMPI_Gather,PMPI_Gather,0.000466,0.012213
15,1,PMPI_Gather,PMPI_Gather,0.000443,0.012213
16,1,PMPI_Gather,PMPI_Gather,0.000465,0.012213
17,1,PMPI_Gather,PMPI_Gather,0.0004,0.012213
18,1,PMPI_Gather,PMPI_Gather,0.00051,0.012213
19,1,PMPI_Gather,PMPI_Gather,0.000401,0.012213
20,1,PMPI_Gather,PMPI_Gather,0.000408,0.012213
21,1,PMPI_Gather,PMPI_Gather,0.000603,0.012213
22,1,PMPI_Gather,PMPI_Gather,0.000422,0.012213
23,1,PMPI_Gather,PMPI_Gather,0.000402,0.012213
24,1,PMPI_Gather,PMPI_Gather,0.000407,0.012213
25,1,PMPI_Gather,PMPI_Gather,0.000414,0.012213
26,1,PMPI_Gather,PMPI_Gather,0.00042,0.012213
27,1,PMPI_Gather,PMPI_Gather,0.000421,0.012213
28,1,PMPI_Gather,PMPI_Gather,0.000419,0.012213
29,1,PMPI_Gather,PMPI_Gather,0.000514,0.012213
30,1,PMPI_Gather,PMPI_Gather,0.000404,0.012213
31,1,PMPI_Gather,PMPI_Gather,0.000402,0.012213
32,1,PMPI_Gather,PMPI_Gather,0.000431,0.012213
2,1,PMPI_Gather,PMPI_Gather,0.00043,0.014175
3,1,PMPI_Gather,PMPI_Gather,0.000417,0.014175
4,1,PMPI_Gather,PMPI_Gather,0.00042,0.014175
5,1,PMPI_Gather,PMPI_Gather,0.000419,0.014175
6,1,PMPI_Gather,PMPI_Gather,0.000411,0.014175
7,1,PMPI_Gather,PMPI_Gather,0.000421,0.014175
8,1,PMPI_Gather,PMPI_Gather,0.000411,0.014175
9,1,PMPI_Gather,PMPI_Gather,0.000416,0.014175
10,1,PMPI_Gather,PMPI_Gather,0.000405,0.014175
11,1,PMPI_Gather,PMPI_Gather,0.000417,0.014175
12,1,PMPI_Gather,PMPI_Gather,0.000423,0.014175
13,1,PMPI_Gather,PMPI_Gather,0.000426,0.014175
14,1,PMPI_Gather,PMPI_Gather,0.000466,0.014175
15,1,PMPI_Gather,PMPI_Gather,0.000443,0.014175
16,1,PMPI_Gather,PMPI_Gather,0.000465,0.014175
17,1,PMPI_Gather,PMPI_Gather,0.0004,0.014175
18,1,PMPI_Gather,PMPI_Gather,0.00051,0.014175
19,1,PMPI_Gather,PMPI_Gather,0.000401,0.014175
20,1,PMPI_Gather,PMPI_Gather,0.000408,0.014175
21,1,PMPI_Gather,PMPI_Gather,0.000603,0.014175
22,1,PMPI_Gather,PMPI_Gather,0.000422,0.014175
