Rank Origem,Rank Destino,Ação da Origem,Estado do Destino,Tempo Inicial,Tempo Final
2,1,PMPI_Gather,PMPI_Gather,0.000626,0.000751
3,1,PMPI_Gather,PMPI_Gather,0.000633,0.000751
4,1,PMPI_Gather,PMPI_Gather,0.000599,0.000751
5,1,PMPI_Gather,PMPI_Gather,0.000545,0.000751
6,1,PMPI_Gather,PMPI_Gather,0.000529,0.000751
7,1,PMPI_Gather,PMPI_Gather,0.000484,0.000751
8,1,PMPI_Gather,PMPI_Gather,0.00046,0.000751
9,1,PMPI_Gather,PMPI_Gather,0.000452,0.000751
10,1,PMPI_Gather,PMPI_Gather,0.000408,0.000751
11,1,PMPI_Gather,PMPI_Gather,0.000402,0.000751
12,1,PMPI_Gather,PMPI_Gather,0.0004,0.000751
13,1,PMPI_Gather,PMPI_Gather,0.000425,0.000751
14,1,PMPI_Gather,PMPI_Gather,0.000423,0.000751
15,1,PMPI_Gather,PMPI_Gather,0.000452,0.000751
16,1,PMPI_Gather,PMPI_Gather,0.000471,0.000751
17,1,PMPI_Gather,PMPI_Gather,0.000517,0.000751
18,1,PMPI_Gather,PMPI_Gather,0.000402,0.000751
19,1,PMPI_Gather,PMPI_Gather,0.0004,0.000751
20,1,PMPI_Gather,PMPI_Gather,0.000407,0.000751
21,1,PMPI_Gather,PMPI_Gather,0.000547,0.000751
22,1,PMPI_Gather,PMPI_Gather,0.0004,0.000751
23,1,PMPI_Gather,PMPI_Gather,0.000402,0.000751
24,1,PMPI_Gather,PMPI_Gather,0.000407,0.000751
25,1,PMPI_Gather,PMPI_Gather,0.000406,0.000751
26,1,PMPI_Gather,PMPI_Gather,0.000408,0.000751
27,1,PMPI_Gather,PMPI_Gather,0.000414,0.000751
28,1,PMPI_Gather,PMPI_Gather,0.000407,0.000751
29,1,PMPI_Gather,PMPI_Gather,0.00051,0.000751
30,1,PMPI_Gather,PMPI_Gather,0.000403,0.000751
31,1,PMPI_Gather,PMPI_Gather,0.000421,0.000751
32,1,PMPI_Gather,PMPI_Gather,0.000404,0.000751
2,1,PMPI_Gather,PMPI_Gather,0.000626,0.000774
3,1,PMPI_Gather,PMPI_Gather,0.000633,0.000774
4,1,PMPI_Gather,PMPI_Gather,0.000599,0.000774
5,1,PMPI_Gather,PMPI_Gather,0.000545,0.000774
6,1,PMPI_Gather,PMPI_Gather,0.00053,0.000774
7,1,PMPI_Gather,PMPI_Gather,0.000484,0.000774
8,1,PMPI_Gather,PMPI_Gather,0.00046,0.000774
9,1,PMPI_Gather,PMPI_Gather,0.000454,0.000774
10,1,PMPI_Gather,PMPI_Gather,0.000409,0.000774
11,1,PMPI_Gather,PMPI_Gather,0.000403,0.000774
12,1,PMPI_Gather,PMPI_Gather,0.0004,0.000774
13,1,PMPI_Gather,PMPI_Gather,0.000429,0.000774
14,1,PMPI_Gather,PMPI_Gather,0.000424,0.000774
15,1,PMPI_Gather,PMPI_Gather,0.000452,0.000774
16,1,PMPI_Gather,PMPI_Gather,0.000471,0.000774
17,1,PMPI_Gather,PMPI_Gather,0.000518,0.000774
18,1,PMPI_Gather,PMPI_Gather,0.000404,0.000774
19,1,PMPI_Gather,PMPI_Gather,0.000401,0.000774
20,1,PMPI_Gather,PMPI_Gather,0.000408,0.000774
21,1,PMPI_Gather,PMPI_Gather,0.000547,0.000774
22,1,PMPI_Gather,PMPI_Gather,0.000402,0.000774
23,1,PMPI_Gather,PMPI_Gather,0.000403,0.000774
24,1,PMPI_Gather,PMPI_Gather,0.000408,0.000774
25,1,PMPI_Gather,PMPI_Gather,0.000407,0.000774
26,1,PMPI_Gather,PMPI_Gather,0.000409,0.000774
27,1,PMPI_Gather,PMPI_Gather,0.000415,0.000774
28,1,PMPI_Gather,PMPI_Gather,0.000408,0.000774
29,1,PMPI_Gather,PMPI_Gather,0.00051,0.000774
30,1,PMPI_Gather,PMPI_Gather,0.000404,0.000774
31,1,PMPI_Gather,PMPI_Gather,0.000422,0.000774
32,1,PMPI_Gather,PMPI_Gather,0.000405,0.000774
2,1,PMPI_Gather,PMPI_Gather,0.000626,0.000796
3,1,PMPI_Gather,PMPI_Gather,0.000633,0.000796
4,1,PMPI_Gather,PMPI_Gather,0.000599,0.000796
5,1,PMPI_Gather,PMPI_Gather,0.000545,0.000796
6,1,PMPI_Gather,PMPI_Gather,0.00053,0.000796
7,1,PMPI_Gather,PMPI_Gather,0.000484,0.000796
8,1,PMPI_Gather,PMPI_Gather,0.00046,0.000796
9,1,PMPI_Gather,PMPI_Gather,0.000454,0.000796
10,1,PMPI_Gather,PMPI_Gather,0.000409,0.000796
11,1,PMPI_Gather,PMPI_Gather,0.000403,0.000796
12,1,PMPI_Gather,PMPI_Gather,0.0004,0.000796
13,1,PMPI_Gather,PMPI_Gather,0.000429,0.000796
14,1,PMPI_Gather,PMPI_Gather,0.000424,0.000796
15,1,PMPI_Gather,PMPI_Gather,0.000452,0.000796
16,1,PMPI_Gather,PMPI_Gather,0.000471,0.000796
17,1,PMPI_Gather,PMPI_Gather,0.000518,0.000796
18,1,PMPI_Gather,PMPI_Gather,0.000404,0.000796
19,1,PMPI_Gather,PMPI_Gather,0.000401,0.000796
20,1,PMPI_Gather,PMPI_Gather,0.000408,0.000796
21,1,PMPI_Gather,PMPI_Gather,0.000547,0.000796
22,1,PMPI_Gather,PMPI_Gather,0.000402,0.000796
23,1,PMPI_Gather,PMPI_Gather,0.000403,0.000796
24,1,PMPI_Gather,PMPI_Gather,0.000408,0.000796
25,1,PMPI_Gather,PMPI_Gather,0.000407,0.000796
26,1,PMPI_Gather,PMPI_Gather,0.000411,0.000796
27,1,PMPI_Gather,PMPI_Gather,0.000416,0.000796
28,1,PMPI_Gather,PMPI_Gather,0.000409,0.000796
29,1,PMPI_Gather,PMPI_Gather,0.00051,0.000796
30,1,PMPI_Gather,PMPI_Gather,0.000404,0.000796
31,1,PMPI_Gather,PMPI_Gather,0.000422,0.000796
32,1,PMPI_Gather,PMPI_Gather,0.000405,0.000796
2,1,PMPI_Gather,PMPI_Gather,0.000626,0.000817
3,1,PMPI_Gather,PMPI_Gather,0.000633,0.000817
4,1,PMPI_Gather,PMPI_Gather,0.000599,0.000817
5,1,PMPI_Gather,PMPI_Gather,0.000545,0.000817
6,1,PMPI_Gather,PMPI_Gather,0.00053,0.000817
7,1,PMPI_Gather,PMPI_Gather,0.000484,0.000817
8,1,PMPI_Gather,PMPI_Gather,0.00046,0.000817
9,1,PMPI_Gather,PMPI_Gather,0.000454,0.000817
10,1,PMPI_Gather,PMPI_Gather,0.000409,0.000817
11,1,PMPI_Gather,PMPI_Gather,0.000403,0.000817
12,1,PMPI_Gather,PMPI_Gather,0.0004,0.000817
13,1,PMPI_Gather,PMPI_Gather,0.000429,0.000817
14,1,PMPI_Gather,PMPI_Gather,0.000424,0.000817
15,1,PMPI_Gather,PMPI_Gather,0.000452,0.000817
16,1,PMPI_Gather,PMPI_Gather,0.000471,0.000817
17,1,PMPI_Gather,PMPI_Gather,0.000518,0.000817
18,1,PMPI_Gather,PMPI_Gather,0.000404,0.000817
19,1,PMPI_Gather,PMPI_Gather,0.000401,0.000817
20,1,PMPI_Gather,PMPI_Gather,0.000408,0.000817
21,1,PMPI_Gather,PMPI_Gather,0.000547,0.000817
22,1,PMPI_Gather,PMPI_Gather,0.000402,0.000817
23,1,PMPI_Gather,PMPI_Gather,0.000403,0.000817
24,1,PMPI_Gather,PMPI_Gather,0.000408,0.000817
25,1,PMPI_Gather,PMPI_Gather,0.000407,0.000817
26,1,PMPI_Gather,PMPI_Gather,0.000411,0.000817
27,1,PMPI_Gather,PMPI_Gather,0.000416,0.000817
28,1,PMPI_Gather,PMPI_Gather,0.000409,0.000817
29,1,PMPI_Gather,PMPI_Gather,0.00051,0.000817
30,1,PMPI_Gather,PMPI_Gather,0.000404,0.000817
31,1,PMPI_Gather,PMPI_Gather,0.000422,0.000817
32,1,PMPI_Gather,PMPI_Gather,0.000405,0.000817
2,1,PMPI_Gather,PMPI_Gather,0.000626,0.000839
3,1,PMPI_Gather,PMPI_Gather,0.000633,0.000839
4,1,PMPI_Gather,PMPI_Gather,0.000599,0.000839
5,1,PMPI_Gather,PMPI_Gather,0.000545,0.000839
6,1,PMPI_Gather,PMPI_Gather,0.00053,0.000839
7,1,PMPI_Gather,PMPI_Gather,0.000484,0.000839
8,1,PMPI_Gather,PMPI_Gather,0.00046,0.000839
9,1,PMPI_Gather,PMPI_Gather,0.000454,0.000839
10,1,PMPI_Gather,PMPI_Gather,0.000409,0.000839
11,1,PMPI_Gather,PMPI_Gather,0.000403,0.000839
12,1,PMPI_Gather,PMPI_Gather,0.0004,0.000839
13,1,PMPI_Gather,PMPI_Gather,0.000429,0.000839
14,1,PMPI_Gather,PMPI_Gather,0.000424,0.000839
15,1,PMPI_Gather,PMPI_Gather,0.000452,0.000839
16,1,PMPI_Gather,PMPI_Gather,0.000471,0.000839
