Rank Origem,Rank Destino,Ação da Origem,Estado do Destino,Tempo Inicial,Tempo Final
2,1,PMPI_Gather,PMPI_Gather,0.000832,0.00114
3,1,PMPI_Gather,PMPI_Gather,0.000529,0.00114
4,1,PMPI_Gather,PMPI_Gather,0.00044,0.00114
5,1,PMPI_Gather,PMPI_Gather,0.000473,0.001554
6,1,PMPI_Gather,PMPI_Gather,0.000437,0.001554
7,1,PMPI_Gather,PMPI_Gather,0.000417,0.001554
8,1,PMPI_Gather,PMPI_Gather,0.000456,0.001554
9,1,PMPI_Gather,PMPI_Gather,0.000446,0.001554
10,1,PMPI_Gather,PMPI_Gather,0.00047,0.001554
11,1,PMPI_Gather,PMPI_Gather,0.000446,0.001554
12,1,PMPI_Gather,PMPI_Gather,0.000512,0.001554
13,1,PMPI_Gather,PMPI_Gather,0.000415,0.001554
14,1,PMPI_Gather,PMPI_Gather,0.000517,0.001554
15,1,PMPI_Gather,PMPI_Gather,0.000442,0.001554
16,1,PMPI_Gather,PMPI_Gather,0.000426,0.001554
2,1,PMPI_Gather,PMPI_Gather,0.000832,0.001822
3,1,PMPI_Gather,PMPI_Gather,0.000529,0.001822
4,1,PMPI_Gather,PMPI_Gather,0.000441,0.001822
5,1,PMPI_Gather,PMPI_Gather,0.000474,0.002236
6,1,PMPI_Gather,PMPI_Gather,0.000439,0.002236
7,1,PMPI_Gather,PMPI_Gather,0.000418,0.002236
8,1,PMPI_Gather,PMPI_Gather,0.000457,0.002236
9,1,PMPI_Gather,PMPI_Gather,0.000447,0.002236
10,1,PMPI_Gather,PMPI_Gather,0.000471,0.002236
11,1,PMPI_Gather,PMPI_Gather,0.000447,0.002236
12,1,PMPI_Gather,PMPI_Gather,0.000512,0.002236
13,1,PMPI_Gather,PMPI_Gather,0.000416,0.002236
14,1,PMPI_Gather,PMPI_Gather,0.000517,0.002236
15,1,PMPI_Gather,PMPI_Gather,0.000443,0.002236
16,1,PMPI_Gather,PMPI_Gather,0.000428,0.002236
2,1,PMPI_Gather,PMPI_Gather,0.000832,0.002504
3,1,PMPI_Gather,PMPI_Gather,0.000529,0.002504
4,1,PMPI_Gather,PMPI_Gather,0.000441,0.002504
5,1,PMPI_Gather,PMPI_Gather,0.000474,0.002918
6,1,PMPI_Gather,PMPI_Gather,0.000439,0.002918
7,1,PMPI_Gather,PMPI_Gather,0.000418,0.002918
8,1,PMPI_Gather,PMPI_Gather,0.000457,0.002918
9,1,PMPI_Gather,PMPI_Gather,0.000447,0.002918
10,1,PMPI_Gather,PMPI_Gather,0.000471,0.002918
11,1,PMPI_Gather,PMPI_Gather,0.000448,0.002918
12,1,PMPI_Gather,PMPI_Gather,0.000512,0.002918
13,1,PMPI_Gather,PMPI_Gather,0.000416,0.002918
14,1,PMPI_Gather,PMPI_Gather,0.000517,0.002918
15,1,PMPI_Gather,PMPI_Gather,0.000443,0.002918
16,1,PMPI_Gather,PMPI_Gather,0.000428,0.002918
2,1,PMPI_Gather,PMPI_Gather,0.000832,0.003186
3,1,PMPI_Gather,PMPI_Gather,0.000529,0.003186
4,1,PMPI_Gather,PMPI_Gather,0.000441,0.003186
5,1,PMPI_Gather,PMPI_Gather,0.000474,0.0036
6,1,PMPI_Gather,PMPI_Gather,0.000439,0.0036
7,1,PMPI_Gather,PMPI_Gather,0.000418,0.0036
8,1,PMPI_Gather,PMPI_Gather,0.000457,0.0036
9,1,PMPI_Gather,PMPI_Gather,0.000447,0.0036
10,1,PMPI_Gather,PMPI_Gather,0.000471,0.0036
11,1,PMPI_Gather,PMPI_Gather,0.000449,0.0036
12,1,PMPI_Gather,PMPI_Gather,0.000512,0.0036
13,1,PMPI_Gather,PMPI_Gather,0.000416,0.0036
14,1,PMPI_Gather,PMPI_Gather,0.000517,0.0036
15,1,PMPI_Gather,PMPI_Gather,0.000443,0.0036
16,1,PMPI_Gather,PMPI_Gather,0.000428,0.0036
2,1,PMPI_Gather,PMPI_Gather,0.000832,0.003868
3,1,PMPI_Gather,PMPI_Gather,0.000529,0.003868
4,1,PMPI_Gather,PMPI_Gather,0.000441,0.003868
5,1,PMPI_Gather,PMPI_Gather,0.000474,0.004282
6,1,PMPI_Gather,PMPI_Gather,0.000439,0.004282
7,1,PMPI_Gather,PMPI_Gather,0.000418,0.004282
8,1,PMPI_Gather,PMPI_Gather,0.000457,0.004282
9,1,PMPI_Gather,PMPI_Gather,0.000447,0.004282
10,1,PMPI_Gather,PMPI_Gather,0.000471,0.004282
11,1,PMPI_Gather,PMPI_Gather,0.000449,0.004282
12,1,PMPI_Gather,PMPI_Gather,0.000512,0.004282
13,1,PMPI_Gather,PMPI_Gather,0.000416,0.004282
14,1,PMPI_Gather,PMPI_Gather,0.000517,0.004282
