Rank Origem,Rank Destino,Ação da Origem,Estado do Destino,Tempo Inicial,Tempo Final
2,1,PMPI_Gather,PMPI_Gather,0.000468,0.000568
3,1,PMPI_Gather,PMPI_Gather,0.000423,0.000568
4,1,PMPI_Gather,PMPI_Gather,0.000427,0.000568
5,1,PMPI_Gather,PMPI_Gather,0.000445,0.000577
6,1,PMPI_Gather,PMPI_Gather,0.000445,0.000577
7,1,PMPI_Gather,PMPI_Gather,0.000424,0.000577
8,1,PMPI_Gather,PMPI_Gather,0.000441,0.000577
9,1,PMPI_Gather,PMPI_Gather,0.000452,0.000577
10,1,PMPI_Gather,PMPI_Gather,0.000477,0.000577
11,1,PMPI_Gather,PMPI_Gather,0.000425,0.000577
12,1,PMPI_Gather,PMPI_Gather,0.000452,0.000577
13,1,PMPI_Gather,PMPI_Gather,0.000401,0.000577
14,1,PMPI_Gather,PMPI_Gather,0.000508,0.000577
15,1,PMPI_Gather,PMPI_Gather,0.0004,0.000577
16,1,PMPI_Gather,PMPI_Gather,0.000407,0.000577
18,1,PMPI_Gather,PMPI_Gather,0.000407,0.000585
19,1,PMPI_Gather,PMPI_Gather,0.0004,0.000585
20,1,PMPI_Gather,PMPI_Gather,0.000404,0.000585
21,1,PMPI_Gather,PMPI_Gather,0.00043,0.000585
22,1,PMPI_Gather,PMPI_Gather,0.000407,0.000585
23,1,PMPI_Gather,PMPI_Gather,0.000412,0.000585
24,1,PMPI_Gather,PMPI_Gather,0.000411,0.000585
25,1,PMPI_Gather,PMPI_Gather,0.000511,0.000585
26,1,PMPI_Gather,PMPI_Gather,0.000402,0.000585
27,1,PMPI_Gather,PMPI_Gather,0.000403,0.000585
28,1,PMPI_Gather,PMPI_Gather,0.000408,0.000585
29,1,PMPI_Gather,PMPI_Gather,0.000406,0.000585
30,1,PMPI_Gather,PMPI_Gather,0.000414,0.000585
31,1,PMPI_Gather,PMPI_Gather,0.000411,0.000585
32,1,PMPI_Gather,PMPI_Gather,0.000412,0.000585
17,1,PMPI_Gather,PMPI_Gather,0.000568,0.000592
2,1,PMPI_Gather,PMPI_Gather,0.000469,0.0006
3,1,PMPI_Gather,PMPI_Gather,0.000425,0.0006
4,1,PMPI_Gather,PMPI_Gather,0.000429,0.0006
5,1,PMPI_Gather,PMPI_Gather,0.000445,0.000609
6,1,PMPI_Gather,PMPI_Gather,0.000445,0.000609
7,1,PMPI_Gather,PMPI_Gather,0.000425,0.000609
8,1,PMPI_Gather,PMPI_Gather,0.000442,0.000609
9,1,PMPI_Gather,PMPI_Gather,0.000452,0.000609
10,1,PMPI_Gather,PMPI_Gather,0.000477,0.000609
11,1,PMPI_Gather,PMPI_Gather,0.000426,0.000609
12,1,PMPI_Gather,PMPI_Gather,0.000452,0.000609
13,1,PMPI_Gather,PMPI_Gather,0.000403,0.000609
14,1,PMPI_Gather,PMPI_Gather,0.000508,0.000609
15,1,PMPI_Gather,PMPI_Gather,0.000401,0.000609
16,1,PMPI_Gather,PMPI_Gather,0.000408,0.000609
17,1,PMPI_Gather,PMPI_Gather,0.000569,0.000617
18,1,PMPI_Gather,PMPI_Gather,0.000408,0.000617
19,1,PMPI_Gather,PMPI_Gather,0.000402,0.000617
20,1,PMPI_Gather,PMPI_Gather,0.000405,0.000617
21,1,PMPI_Gather,PMPI_Gather,0.00043,0.000617
22,1,PMPI_Gather,PMPI_Gather,0.000408,0.000617
23,1,PMPI_Gather,PMPI_Gather,0.000412,0.000617
24,1,PMPI_Gather,PMPI_Gather,0.000411,0.000617
25,1,PMPI_Gather,PMPI_Gather,0.000511,0.000617
26,1,PMPI_Gather,PMPI_Gather,0.000403,0.000617
27,1,PMPI_Gather,PMPI_Gather,0.000404,0.000617
28,1,PMPI_Gather,PMPI_Gather,0.000409,0.000617
29,1,PMPI_Gather,PMPI_Gather,0.000406,0.000617
30,1,PMPI_Gather,PMPI_Gather,0.000415,0.000617
31,1,PMPI_Gather,PMPI_Gather,0.000412,0.000617
32,1,PMPI_Gather,PMPI_Gather,0.000413,0.000617
2,1,PMPI_Gather,PMPI_Gather,0.000469,0.000625
3,1,PMPI_Gather,PMPI_Gather,0.000425,0.000625
4,1,PMPI_Gather,PMPI_Gather,0.000429,0.000625
5,1,PMPI_Gather,PMPI_Gather,0.000445,0.000634
6,1,PMPI_Gather,PMPI_Gather,0.000445,0.000634
7,1,PMPI_Gather,PMPI_Gather,0.000426,0.000634
8,1,PMPI_Gather,PMPI_Gather,0.000442,0.000634
9,1,PMPI_Gather,PMPI_Gather,0.000452,0.000634
10,1,PMPI_Gather,PMPI_Gather,0.000477,0.000634
11,1,PMPI_Gather,PMPI_Gather,0.000427,0.000634
12,1,PMPI_Gather,PMPI_Gather,0.000452,0.000634
13,1,PMPI_Gather,PMPI_Gather,0.000403,0.000634
14,1,PMPI_Gather,PMPI_Gather,0.000508,0.000634
15,1,PMPI_Gather,PMPI_Gather,0.000401,0.000634
16,1,PMPI_Gather,PMPI_Gather,0.000409,0.000634
17,1,PMPI_Gather,PMPI_Gather,0.000569,0.000643
18,1,PMPI_Gather,PMPI_Gather,0.000408,0.000643
19,1,PMPI_Gather,PMPI_Gather,0.000402,0.000643
20,1,PMPI_Gather,PMPI_Gather,0.000406,0.000643
21,1,PMPI_Gather,PMPI_Gather,0.00043,0.000643
22,1,PMPI_Gather,PMPI_Gather,0.000408,0.000643
23,1,PMPI_Gather,PMPI_Gather,0.000412,0.000643
24,1,PMPI_Gather,PMPI_Gather,0.000411,0.000643
25,1,PMPI_Gather,PMPI_Gather,0.000511,0.000643
26,1,PMPI_Gather,PMPI_Gather,0.000403,0.000643
27,1,PMPI_Gather,PMPI_Gather,0.000404,0.000643
28,1,PMPI_Gather,PMPI_Gather,0.00041,0.000643
29,1,PMPI_Gather,PMPI_Gather,0.000406,0.000643
30,1,PMPI_Gather,PMPI_Gather,0.000416,0.000643
31,1,PMPI_Gather,PMPI_Gather,0.000413,0.000643
32,1,PMPI_Gather,PMPI_Gather,0.000413,0.000643
2,1,PMPI_Gather,PMPI_Gather,0.000469,0.000651
3,1,PMPI_Gather,PMPI_Gather,0.000425,0.000651
4,1,PMPI_Gather,PMPI_Gather,0.000429,0.000651
5,1,PMPI_Gather,PMPI_Gather,0.000445,0.00066
6,1,PMPI_Gather,PMPI_Gather,0.000445,0.00066
7,1,PMPI_Gather,PMPI_Gather,0.000426,0.00066
8,1,PMPI_Gather,PMPI_Gather,0.000442,0.00066
9,1,PMPI_Gather,PMPI_Gather,0.000452,0.00066
10,1,PMPI_Gather,PMPI_Gather,0.000477,0.00066
11,1,PMPI_Gather,PMPI_Gather,0.000427,0.00066
12,1,PMPI_Gather,PMPI_Gather,0.000452,0.00066
13,1,PMPI_Gather,PMPI_Gather,0.000403,0.00066
14,1,PMPI_Gather,PMPI_Gather,0.000508,0.00066
15,1,PMPI_Gather,PMPI_Gather,0.000401,0.00066
16,1,PMPI_Gather,PMPI_Gather,0.000409,0.00066
17,1,PMPI_Gather,PMPI_Gather,0.000569,0.000668
18,1,PMPI_Gather,PMPI_Gather,0.000408,0.000668
19,1,PMPI_Gather,PMPI_Gather,0.000402,0.000668
20,1,PMPI_Gather,PMPI_Gather,0.000407,0.000668
21,1,PMPI_Gather,PMPI_Gather,0.00043,0.000668
22,1,PMPI_Gather,PMPI_Gather,0.000408,0.000668
23,1,PMPI_Gather,PMPI_Gather,0.000412,0.000668
24,1,PMPI_Gather,PMPI_Gather,0.000411,0.000668
25,1,PMPI_Gather,PMPI_Gather,0.000511,0.000668
26,1,PMPI_Gather,PMPI_Gather,0.000403,0.000668
27,1,PMPI_Gather,PMPI_Gather,0.000404,0.000668
28,1,PMPI_Gather,PMPI_Gather,0.00041,0.000668
