Rank Origem,Rank Destino,Ação da Origem,Estado do Destino,Tempo Inicial,Tempo Final
2,1,PMPI_Gather,PMPI_Gather,0.000445,0.000573
4,1,PMPI_Gather,PMPI_Gather,0.000449,0.000573
5,1,PMPI_Gather,PMPI_Gather,0.00042,0.000573
9,1,PMPI_Gather,PMPI_Gather,0.000413,0.000573
3,1,PMPI_Gather,PMPI_Gather,0.000421,0.00067
12,1,PMPI_Gather,PMPI_Gather,0.000413,0.00068
8,1,PMPI_Gather,PMPI_Gather,0.000444,0.000694
6,1,PMPI_Gather,PMPI_Gather,0.000451,0.000694
10,1,PMPI_Gather,PMPI_Gather,0.000465,0.000694
7,1,PMPI_Gather,PMPI_Gather,0.000417,0.000768
13,1,PMPI_Gather,PMPI_Gather,0.000557,0.000821
16,1,PMPI_Gather,PMPI_Gather,0.000416,0.000833
14,1,PMPI_Gather,PMPI_Gather,0.000411,0.000833
11,1,PMPI_Gather,PMPI_Gather,0.000472,0.000841
15,1,PMPI_Gather,PMPI_Gather,0.000424,0.000865
2,1,PMPI_Gather,PMPI_Gather,0.000446,0.000989
4,1,PMPI_Gather,PMPI_Gather,0.00045,0.000989
5,1,PMPI_Gather,PMPI_Gather,0.000421,0.000989
9,1,PMPI_Gather,PMPI_Gather,0.000414,0.000989
3,1,PMPI_Gather,PMPI_Gather,0.000422,0.001086
6,1,PMPI_Gather,PMPI_Gather,0.000453,0.001111
8,1,PMPI_Gather,PMPI_Gather,0.000445,0.001111
12,1,PMPI_Gather,PMPI_Gather,0.000414,0.001135
10,1,PMPI_Gather,PMPI_Gather,0.000467,0.001135
13,1,PMPI_Gather,PMPI_Gather,0.000558,0.001135
7,1,PMPI_Gather,PMPI_Gather,0.000418,0.001184
14,1,PMPI_Gather,PMPI_Gather,0.000412,0.001232
11,1,PMPI_Gather,PMPI_Gather,0.000474,0.001232
16,1,PMPI_Gather,PMPI_Gather,0.000417,0.001232
15,1,PMPI_Gather,PMPI_Gather,0.000425,0.001281
2,1,PMPI_Gather,PMPI_Gather,0.000446,0.001404
4,1,PMPI_Gather,PMPI_Gather,0.00045,0.001404
5,1,PMPI_Gather,PMPI_Gather,0.000421,0.001404
9,1,PMPI_Gather,PMPI_Gather,0.000415,0.001404
3,1,PMPI_Gather,PMPI_Gather,0.000422,0.001502
6,1,PMPI_Gather,PMPI_Gather,0.000453,0.001526
8,1,PMPI_Gather,PMPI_Gather,0.000445,0.001526
12,1,PMPI_Gather,PMPI_Gather,0.000414,0.00155
10,1,PMPI_Gather,PMPI_Gather,0.000467,0.00155
13,1,PMPI_Gather,PMPI_Gather,0.000558,0.00155
7,1,PMPI_Gather,PMPI_Gather,0.000419,0.001599
14,1,PMPI_Gather,PMPI_Gather,0.000412,0.001648
11,1,PMPI_Gather,PMPI_Gather,0.000474,0.001648
16,1,PMPI_Gather,PMPI_Gather,0.000417,0.001648
15,1,PMPI_Gather,PMPI_Gather,0.000425,0.001697
2,1,PMPI_Gather,PMPI_Gather,0.000446,0.00182
4,1,PMPI_Gather,PMPI_Gather,0.00045,0.00182
5,1,PMPI_Gather,PMPI_Gather,0.000421,0.00182
9,1,PMPI_Gather,PMPI_Gather,0.000415,0.00182
3,1,PMPI_Gather,PMPI_Gather,0.000422,0.001917
6,1,PMPI_Gather,PMPI_Gather,0.000453,0.001942
8,1,PMPI_Gather,PMPI_Gather,0.000445,0.001942
12,1,PMPI_Gather,PMPI_Gather,0.000414,0.001966
10,1,PMPI_Gather,PMPI_Gather,0.000467,0.001966
13,1,PMPI_Gather,PMPI_Gather,0.000558,0.001966
7,1,PMPI_Gather,PMPI_Gather,0.000419,0.002015
14,1,PMPI_Gather,PMPI_Gather,0.000412,0.002064
11,1,PMPI_Gather,PMPI_Gather,0.000474,0.002064
16,1,PMPI_Gather,PMPI_Gather,0.000417,0.002064
15,1,PMPI_Gather,PMPI_Gather,0.000425,0.002112
2,1,PMPI_Gather,PMPI_Gather,0.000446,0.002235
4,1,PMPI_Gather,PMPI_Gather,0.00045,0.002235
5,1,PMPI_Gather,PMPI_Gather,0.000421,0.002235
9,1,PMPI_Gather,PMPI_Gather,0.000415,0.002235
3,1,PMPI_Gather,PMPI_Gather,0.000422,0.002333
6,1,PMPI_Gather,PMPI_Gather,0.000453,0.002357
8,1,PMPI_Gather,PMPI_Gather,0.000445,0.002357
12,1,PMPI_Gather,PMPI_Gather,0.000414,0.002381
10,1,PMPI_Gather,PMPI_Gather,0.000467,0.002381
13,1,PMPI_Gather,PMPI_Gather,0.000558,0.002381
7,1,PMPI_Gather,PMPI_Gather,0.000419,0.00243
14,1,PMPI_Gather,PMPI_Gather,0.000412,0.002479
11,1,PMPI_Gather,PMPI_Gather,0.000474,0.002479
16,1,PMPI_Gather,PMPI_Gather,0.000417,0.002479
15,1,PMPI_Gather,PMPI_Gather,0.000425,0.002528
2,1,PMPI_Gather,PMPI_Gather,0.000446,0.002651
4,1,PMPI_Gather,PMPI_Gather,0.00045,0.002651
5,1,PMPI_Gather,PMPI_Gather,0.000421,0.002651
9,1,PMPI_Gather,PMPI_Gather,0.000415,0.002651
3,1,PMPI_Gather,PMPI_Gather,0.000422,0.002748
6,1,PMPI_Gather,PMPI_Gather,0.000453,0.002773
8,1,PMPI_Gather,PMPI_Gather,0.000445,0.002773
12,1,PMPI_Gather,PMPI_Gather,0.000414,0.002797
10,1,PMPI_Gather,PMPI_Gather,0.000467,0.002797
13,1,PMPI_Gather,PMPI_Gather,0.000558,0.002797
7,1,PMPI_Gather,PMPI_Gather,0.000419,0.002846
14,1,PMPI_Gather,PMPI_Gather,0.000412,0.002894
11,1,PMPI_Gather,PMPI_Gather,0.000474,0.002894
16,1,PMPI_Gather,PMPI_Gather,0.000417,0.002894
15,1,PMPI_Gather,PMPI_Gather,0.000425,0.002943
2,1,PMPI_Gather,PMPI_Gather,0.000446,0.003066
4,1,PMPI_Gather,PMPI_Gather,0.00045,0.003066
5,1,PMPI_Gather,PMPI_Gather,0.000421,0.003066
9,1,PMPI_Gather,PMPI_Gather,0.000415,0.003066
3,1,PMPI_Gather,PMPI_Gather,0.000422,0.003164
6,1,PMPI_Gather,PMPI_Gather,0.000453,0.003188
8,1,PMPI_Gather,PMPI_Gather,0.000445,0.003188
12,1,PMPI_Gather,PMPI_Gather,0.000414,0.003212
10,1,PMPI_Gather,PMPI_Gather,0.000467,0.003212
13,1,PMPI_Gather,PMPI_Gather,0.000558,0.003212
7,1,PMPI_Gather,PMPI_Gather,0.000419,0.003261
14,1,PMPI_Gather,PMPI_Gather,0.000412,0.00331
11,1,PMPI_Gather,PMPI_Gather,0.000474,0.00331
16,1,PMPI_Gather,PMPI_Gather,0.000417,0.00331
15,1,PMPI_Gather,PMPI_Gather,0.000425,0.003359
2,1,PMPI_Gather,PMPI_Gather,0.000446,0.003482
4,1,PMPI_Gather,PMPI_Gather,0.00045,0.003482
5,1,PMPI_Gather,PMPI_Gather,0.000421,0.003482
9,1,PMPI_Gather,PMPI_Gather,0.000415,0.003482
3,1,PMPI_Gather,PMPI_Gather,0.000422,0.003579
6,1,PMPI_Gather,PMPI_Gather,0.000453,0.003604
8,1,PMPI_Gather,PMPI_Gather,0.000445,0.003604
