Rank Origem,Rank Destino,Ação da Origem,Estado do Destino,Tempo Inicial,Tempo Final
2,1,PMPI_Gather,PMPI_Gather,0.000426,0.000468
4,1,PMPI_Gather,PMPI_Gather,0.000417,0.000468
5,1,PMPI_Gather,PMPI_Gather,0.00042,0.000468
13,1,PMPI_Gather,PMPI_Gather,0.000396,0.000468
17,1,PMPI_Gather,PMPI_Gather,0.000398,0.000468
49,1,PMPI_Gather,PMPI_Gather,0.000302,0.000468
3,1,PMPI_Gather,PMPI_Gather,0.000423,0.00047
14,1,PMPI_Gather,PMPI_Gather,0.000399,0.00047
6,1,PMPI_Gather,PMPI_Gather,0.000419,0.00047
8,1,PMPI_Gather,PMPI_Gather,0.000431,0.00047
9,1,PMPI_Gather,PMPI_Gather,0.000417,0.00047
53,1,PMPI_Gather,PMPI_Gather,0.000302,0.00047
50,1,PMPI_Gather,PMPI_Gather,0.000303,0.00047
52,1,PMPI_Gather,PMPI_Gather,0.000303,0.00047
61,1,PMPI_Gather,PMPI_Gather,0.000314,0.00047
29,1,PMPI_Gather,PMPI_Gather,0.000398,0.00047
18,1,PMPI_Gather,PMPI_Gather,0.000401,0.00047
20,1,PMPI_Gather,PMPI_Gather,0.000408,0.00047
21,1,PMPI_Gather,PMPI_Gather,0.000424,0.00047
33,1,PMPI_Gather,PMPI_Gather,0.00041,0.00047
15,1,PMPI_Gather,PMPI_Gather,0.000411,0.000472
10,1,PMPI_Gather,PMPI_Gather,0.00044,0.000472
7,1,PMPI_Gather,PMPI_Gather,0.000421,0.000472
62,1,PMPI_Gather,PMPI_Gather,0.000303,0.000472
51,1,PMPI_Gather,PMPI_Gather,0.000305,0.000472
54,1,PMPI_Gather,PMPI_Gather,0.000302,0.000472
56,1,PMPI_Gather,PMPI_Gather,0.000298,0.000472
57,1,PMPI_Gather,PMPI_Gather,0.000303,0.000472
64,1,PMPI_Gather,PMPI_Gather,0.000303,0.000472
36,1,PMPI_Gather,PMPI_Gather,0.00042,0.000472
19,1,PMPI_Gather,PMPI_Gather,0.000407,0.000472
22,1,PMPI_Gather,PMPI_Gather,0.000414,0.000472
25,1,PMPI_Gather,PMPI_Gather,0.000397,0.000472
30,1,PMPI_Gather,PMPI_Gather,0.000401,0.000472
34,1,PMPI_Gather,PMPI_Gather,0.000396,0.000472
37,1,PMPI_Gather,PMPI_Gather,0.000424,0.000472
11,1,PMPI_Gather,PMPI_Gather,0.000393,0.000474
63,1,PMPI_Gather,PMPI_Gather,0.000328,0.000474
55,1,PMPI_Gather,PMPI_Gather,0.000303,0.000474
58,1,PMPI_Gather,PMPI_Gather,0.0003,0.000474
60,1,PMPI_Gather,PMPI_Gather,0.000309,0.000474
46,1,PMPI_Gather,PMPI_Gather,0.000321,0.000475
23,1,PMPI_Gather,PMPI_Gather,0.000411,0.000475
26,1,PMPI_Gather,PMPI_Gather,0.000422,0.000475
28,1,PMPI_Gather,PMPI_Gather,0.000403,0.000475
31,1,PMPI_Gather,PMPI_Gather,0.000406,0.000475
35,1,PMPI_Gather,PMPI_Gather,0.00041,0.000475
38,1,PMPI_Gather,PMPI_Gather,0.000411,0.000475
40,1,PMPI_Gather,PMPI_Gather,0.0004,0.000475
41,1,PMPI_Gather,PMPI_Gather,0.000398,0.000475
48,1,PMPI_Gather,PMPI_Gather,0.000302,0.000475
59,1,PMPI_Gather,PMPI_Gather,0.000304,0.000476
47,1,PMPI_Gather,PMPI_Gather,0.000312,0.000476
27,1,PMPI_Gather,PMPI_Gather,0.000402,0.000476
42,1,PMPI_Gather,PMPI_Gather,0.000399,0.000476
44,1,PMPI_Gather,PMPI_Gather,0.000402,0.000476
43,1,PMPI_Gather,PMPI_Gather,0.000402,0.000478
39,1,PMPI_Gather,PMPI_Gather,0.000475,0.000485
32,1,PMPI_Gather,PMPI_Gather,0.000486,0.000492
