Rank Origem,Rank Destino,Ação da Origem,Estado do Destino,Tempo Inicial,Tempo Final
1,2,PMPI_Send,PMPI_Recv,0.000579,0.0008
2,1,PMPI_Send,PMPI_Recv,0.000803,0.001023
1,3,PMPI_Send,PMPI_Recv,0.001023,0.001244
3,1,PMPI_Send,PMPI_Recv,0.001246,0.001467
1,4,PMPI_Send,PMPI_Recv,0.001467,0.001688
4,1,PMPI_Send,PMPI_Recv,0.00169,0.001911
1,5,PMPI_Send,PMPI_Recv,0.001911,0.002229
5,1,PMPI_Send,PMPI_Recv,0.002231,0.002549
1,6,PMPI_Send,PMPI_Recv,0.002549,0.002867
6,1,PMPI_Send,PMPI_Recv,0.002869,0.003187
1,7,PMPI_Send,PMPI_Recv,0.003187,0.003505
7,1,PMPI_Send,PMPI_Recv,0.003508,0.003826
1,8,PMPI_Send,PMPI_Recv,0.003826,0.004144
8,1,PMPI_Send,PMPI_Recv,0.004146,0.004464
1,9,PMPI_Send,PMPI_Recv,0.004464,0.004783
9,1,PMPI_Send,PMPI_Recv,0.004785,0.005103
1,10,PMPI_Send,PMPI_Recv,0.005103,0.005421
10,1,PMPI_Send,PMPI_Recv,0.005424,0.005742
1,11,PMPI_Send,PMPI_Recv,0.005742,0.00606
11,1,PMPI_Send,PMPI_Recv,0.006063,0.006381
1,12,PMPI_Send,PMPI_Recv,0.006381,0.006699
12,1,PMPI_Send,PMPI_Recv,0.006701,0.007019
1,13,PMPI_Send,PMPI_Recv,0.007019,0.007337
13,1,PMPI_Send,PMPI_Recv,0.007352,0.00767
1,14,PMPI_Send,PMPI_Recv,0.00767,0.007988
14,1,PMPI_Send,PMPI_Recv,0.00799,0.008308
1,15,PMPI_Send,PMPI_Recv,0.008308,0.008626
15,1,PMPI_Send,PMPI_Recv,0.008629,0.008947
1,16,PMPI_Send,PMPI_Recv,0.008947,0.009265
16,1,PMPI_Send,PMPI_Recv,0.009267,0.009585
1,17,PMPI_Send,PMPI_Recv,0.009585,0.009903
17,1,PMPI_Send,PMPI_Recv,0.009906,0.010224
1,18,PMPI_Send,PMPI_Recv,0.010224,0.010542
18,1,PMPI_Send,PMPI_Recv,0.010544,0.010862
1,19,PMPI_Send,PMPI_Recv,0.010862,0.01118
19,1,PMPI_Send,PMPI_Recv,0.011182,0.0115
1,20,PMPI_Send,PMPI_Recv,0.0115,0.011819
20,1,PMPI_Send,PMPI_Recv,0.011821,0.012139
1,21,PMPI_Send,PMPI_Recv,0.012139,0.012554
21,1,PMPI_Send,PMPI_Recv,0.012557,0.012875
1,22,PMPI_Send,PMPI_Recv,0.012875,0.01329
22,1,PMPI_Send,PMPI_Recv,0.013293,0.013611
1,23,PMPI_Send,PMPI_Recv,0.013611,0.014026
23,1,PMPI_Send,PMPI_Recv,0.014029,0.014347
1,24,PMPI_Send,PMPI_Recv,0.014347,0.014762
24,1,PMPI_Send,PMPI_Recv,0.014765,0.015083
1,25,PMPI_Send,PMPI_Recv,0.015083,0.015498
25,1,PMPI_Send,PMPI_Recv,0.0155,0.015818
1,26,PMPI_Send,PMPI_Recv,0.015818,0.016234
26,1,PMPI_Send,PMPI_Recv,0.016236,0.016554
1,27,PMPI_Send,PMPI_Recv,0.016554,0.01697
27,1,PMPI_Send,PMPI_Recv,0.016972,0.01729
1,28,PMPI_Send,PMPI_Recv,0.01729,0.017706
28,1,PMPI_Send,PMPI_Recv,0.017708,0.018026
1,29,PMPI_Send,PMPI_Recv,0.018026,0.018442
29,1,PMPI_Send,PMPI_Recv,0.018444,0.018762
1,30,PMPI_Send,PMPI_Recv,0.018762,0.019178
30,1,PMPI_Send,PMPI_Recv,0.01918,0.019498
1,31,PMPI_Send,PMPI_Recv,0.019498,0.019914
31,1,PMPI_Send,PMPI_Recv,0.019916,0.020234
1,32,PMPI_Send,PMPI_Recv,0.020234,0.02065
32,1,PMPI_Send,PMPI_Recv,0.020652,0.02097
1,33,PMPI_Send,PMPI_Recv,0.02097,0.021385
33,1,PMPI_Send,PMPI_Recv,0.021387,0.021803
1,34,PMPI_Send,PMPI_Recv,0.021803,0.022219
34,1,PMPI_Send,PMPI_Recv,0.022221,0.022636
1,35,PMPI_Send,PMPI_Recv,0.022636,0.023052
35,1,PMPI_Send,PMPI_Recv,0.023054,0.023469
1,36,PMPI_Send,PMPI_Recv,0.023469,0.023885
36,1,PMPI_Send,PMPI_Recv,0.023887,0.024302
1,37,PMPI_Send,PMPI_Recv,0.024302,0.024816
37,1,PMPI_Send,PMPI_Recv,0.024817,0.025331
1,38,PMPI_Send,PMPI_Recv,0.025331,0.025844
38,1,PMPI_Send,PMPI_Recv,0.025846,0.026359
1,39,PMPI_Send,PMPI_Recv,0.026359,0.026872
39,1,PMPI_Send,PMPI_Recv,0.026874,0.027387
1,40,PMPI_Send,PMPI_Recv,0.027387,0.0279
40,1,PMPI_Send,PMPI_Recv,0.027902,0.028415
1,41,PMPI_Send,PMPI_Recv,0.028415,0.028928
41,1,PMPI_Send,PMPI_Recv,0.02893,0.029443
1,42,PMPI_Send,PMPI_Recv,0.029443,0.029956
42,1,PMPI_Send,PMPI_Recv,0.029958,0.030471
1,43,PMPI_Send,PMPI_Recv,0.030471,0.030985
43,1,PMPI_Send,PMPI_Recv,0.030986,0.0315
1,44,PMPI_Send,PMPI_Recv,0.0315,0.032013
44,1,PMPI_Send,PMPI_Recv,0.032014,0.032528
1,45,PMPI_Send,PMPI_Recv,0.032528,0.033041
45,1,PMPI_Send,PMPI_Recv,0.033043,0.033556
1,46,PMPI_Send,PMPI_Recv,0.033556,0.034069
46,1,PMPI_Send,PMPI_Recv,0.03407,0.034583
1,47,PMPI_Send,PMPI_Recv,0.034583,0.035096
47,1,PMPI_Send,PMPI_Recv,0.035098,0.035611
1,48,PMPI_Send,PMPI_Recv,0.035611,0.036125
48,1,PMPI_Send,PMPI_Recv,0.036126,0.036639
1,49,PMPI_Send,PMPI_Recv,0.036639,0.037152
49,1,PMPI_Send,PMPI_Recv,0.037154,0.037667
1,50,PMPI_Send,PMPI_Recv,0.037667,0.03818
50,1,PMPI_Send,PMPI_Recv,0.038181,0.038695
1,51,PMPI_Send,PMPI_Recv,0.038695,0.039208
51,1,PMPI_Send,PMPI_Recv,0.03921,0.039723
1,52,PMPI_Send,PMPI_Recv,0.039723,0.040236
52,1,PMPI_Send,PMPI_Recv,0.040237,0.04075
1,53,PMPI_Send,PMPI_Recv,0.04075,0.041361
53,1,PMPI_Send,PMPI_Recv,0.041362,0.041973
1,54,PMPI_Send,PMPI_Recv,0.041973,0.042583
54,1,PMPI_Send,PMPI_Recv,0.042585,0.043195
1,55,PMPI_Send,PMPI_Recv,0.043195,0.043806
