Rank Origem,Rank Destino,Ação da Origem,Estado do Destino,Tempo Inicial,Tempo Final
1,2,PMPI_Send,PMPI_Recv,0.000457,0.000465
2,1,PMPI_Send,PMPI_Recv,0.000468,0.000476
1,3,PMPI_Send,PMPI_Recv,0.000476,0.000484
3,1,PMPI_Send,PMPI_Recv,0.000486,0.000494
1,4,PMPI_Send,PMPI_Recv,0.000495,0.000516
4,1,PMPI_Send,PMPI_Recv,0.000519,0.000527
1,5,PMPI_Send,PMPI_Recv,0.000527,0.000539
5,1,PMPI_Send,PMPI_Recv,0.000541,0.000553
1,6,PMPI_Send,PMPI_Recv,0.000553,0.000565
6,1,PMPI_Send,PMPI_Recv,0.000567,0.000579
1,7,PMPI_Send,PMPI_Recv,0.000579,0.000591
7,1,PMPI_Send,PMPI_Recv,0.000594,0.000605
1,8,PMPI_Send,PMPI_Recv,0.000605,0.000618
8,1,PMPI_Send,PMPI_Recv,0.000621,0.000633
1,9,PMPI_Send,PMPI_Recv,0.000633,0.000645
9,1,PMPI_Send,PMPI_Recv,0.000647,0.000659
1,10,PMPI_Send,PMPI_Recv,0.000659,0.000671
10,1,PMPI_Send,PMPI_Recv,0.000673,0.000685
1,11,PMPI_Send,PMPI_Recv,0.000685,0.000697
11,1,PMPI_Send,PMPI_Recv,0.0007,0.000712
1,12,PMPI_Send,PMPI_Recv,0.000712,0.000723
12,1,PMPI_Send,PMPI_Recv,0.000726,0.000738
1,13,PMPI_Send,PMPI_Recv,0.000738,0.00075
13,1,PMPI_Send,PMPI_Recv,0.000753,0.000764
1,14,PMPI_Send,PMPI_Recv,0.000764,0.000776
14,1,PMPI_Send,PMPI_Recv,0.000779,0.00079
1,15,PMPI_Send,PMPI_Recv,0.00079,0.000802
15,1,PMPI_Send,PMPI_Recv,0.000805,0.000817
1,16,PMPI_Send,PMPI_Recv,0.000817,0.000829
16,1,PMPI_Send,PMPI_Recv,0.000831,0.000843
1,17,PMPI_Send,PMPI_Recv,0.000843,0.000855
17,1,PMPI_Send,PMPI_Recv,0.000858,0.000869
1,18,PMPI_Send,PMPI_Recv,0.000869,0.000881
18,1,PMPI_Send,PMPI_Recv,0.000884,0.000896
1,19,PMPI_Send,PMPI_Recv,0.000896,0.000908
19,1,PMPI_Send,PMPI_Recv,0.00091,0.000922
1,20,PMPI_Send,PMPI_Recv,0.000922,0.000934
20,1,PMPI_Send,PMPI_Recv,0.000937,0.000949
1,21,PMPI_Send,PMPI_Recv,0.000954,0.00097
21,1,PMPI_Send,PMPI_Recv,0.000973,0.000985
1,22,PMPI_Send,PMPI_Recv,0.000985,0.001
22,1,PMPI_Send,PMPI_Recv,0.001003,0.001015
1,23,PMPI_Send,PMPI_Recv,0.001015,0.001031
23,1,PMPI_Send,PMPI_Recv,0.001033,0.001045
1,24,PMPI_Send,PMPI_Recv,0.001045,0.001061
24,1,PMPI_Send,PMPI_Recv,0.001063,0.001075
1,25,PMPI_Send,PMPI_Recv,0.001075,0.001091
25,1,PMPI_Send,PMPI_Recv,0.001093,0.001105
1,26,PMPI_Send,PMPI_Recv,0.001105,0.001121
26,1,PMPI_Send,PMPI_Recv,0.001123,0.001135
1,27,PMPI_Send,PMPI_Recv,0.001135,0.001151
27,1,PMPI_Send,PMPI_Recv,0.001153,0.001165
1,28,PMPI_Send,PMPI_Recv,0.001165,0.001181
28,1,PMPI_Send,PMPI_Recv,0.001183,0.001195
1,29,PMPI_Send,PMPI_Recv,0.001195,0.00121
29,1,PMPI_Send,PMPI_Recv,0.001213,0.001225
1,30,PMPI_Send,PMPI_Recv,0.001225,0.001241
30,1,PMPI_Send,PMPI_Recv,0.001243,0.001255
1,31,PMPI_Send,PMPI_Recv,0.001255,0.001271
31,1,PMPI_Send,PMPI_Recv,0.001273,0.001285
1,32,PMPI_Send,PMPI_Recv,0.001286,0.001302
32,1,PMPI_Send,PMPI_Recv,0.001304,0.001316
1,33,PMPI_Send,PMPI_Recv,0.001316,0.001332
33,1,PMPI_Send,PMPI_Recv,0.001334,0.00135
1,34,PMPI_Send,PMPI_Recv,0.00135,0.001366
34,1,PMPI_Send,PMPI_Recv,0.001368,0.001384
1,35,PMPI_Send,PMPI_Recv,0.001384,0.0014
35,1,PMPI_Send,PMPI_Recv,0.001402,0.001418
1,36,PMPI_Send,PMPI_Recv,0.001418,0.001434
36,1,PMPI_Send,PMPI_Recv,0.001436,0.001452
1,37,PMPI_Send,PMPI_Recv,0.001452,0.001471
37,1,PMPI_Send,PMPI_Recv,0.001474,0.001493
1,38,PMPI_Send,PMPI_Recv,0.001493,0.001513
38,1,PMPI_Send,PMPI_Recv,0.001515,0.001535
1,39,PMPI_Send,PMPI_Recv,0.001535,0.001554
39,1,PMPI_Send,PMPI_Recv,0.001556,0.001576
1,40,PMPI_Send,PMPI_Recv,0.001576,0.001595
40,1,PMPI_Send,PMPI_Recv,0.001598,0.001617
1,41,PMPI_Send,PMPI_Recv,0.001617,0.001637
41,1,PMPI_Send,PMPI_Recv,0.001639,0.001658
1,42,PMPI_Send,PMPI_Recv,0.001658,0.001678
42,1,PMPI_Send,PMPI_Recv,0.00168,0.001699
1,43,PMPI_Send,PMPI_Recv,0.001699,0.001719
43,1,PMPI_Send,PMPI_Recv,0.001721,0.001741
1,44,PMPI_Send,PMPI_Recv,0.001741,0.00176
44,1,PMPI_Send,PMPI_Recv,0.001762,0.001782
1,45,PMPI_Send,PMPI_Recv,0.001782,0.001801
45,1,PMPI_Send,PMPI_Recv,0.001803,0.001823
1,46,PMPI_Send,PMPI_Recv,0.001823,0.001842
46,1,PMPI_Send,PMPI_Recv,0.001844,0.001863
1,47,PMPI_Send,PMPI_Recv,0.001863,0.001883
47,1,PMPI_Send,PMPI_Recv,0.001885,0.001904
1,48,PMPI_Send,PMPI_Recv,0.001904,0.001924
48,1,PMPI_Send,PMPI_Recv,0.001926,0.001945
1,49,PMPI_Send,PMPI_Recv,0.001945,0.001965
49,1,PMPI_Send,PMPI_Recv,0.001966,0.001986
1,50,PMPI_Send,PMPI_Recv,0.001986,0.002006
50,1,PMPI_Send,PMPI_Recv,0.002007,0.002027
1,51,PMPI_Send,PMPI_Recv,0.002027,0.002047
51,1,PMPI_Send,PMPI_Recv,0.002048,0.002068
1,52,PMPI_Send,PMPI_Recv,0.002068,0.002087
52,1,PMPI_Send,PMPI_Recv,0.002089,0.002109
1,53,PMPI_Send,PMPI_Recv,0.002109,0.002132
53,1,PMPI_Send,PMPI_Recv,0.002134,0.002157
1,54,PMPI_Send,PMPI_Recv,0.002157,0.002181
54,1,PMPI_Send,PMPI_Recv,0.002182,0.002206
1,55,PMPI_Send,PMPI_Recv,0.002206,0.002229
55,1,PMPI_Send,PMPI_Recv,0.002231,0.002254
