Rank Origem,Rank Destino,Ação da Origem,Estado do Destino,Tempo Inicial,Tempo Final
1,2,PMPI_Send,PMPI_Recv,0.000692,0.001888
2,1,PMPI_Send,PMPI_Recv,0.00189,0.003086
1,3,PMPI_Send,PMPI_Recv,0.003086,0.004282
3,1,PMPI_Send,PMPI_Recv,0.004284,0.00548
1,4,PMPI_Send,PMPI_Recv,0.00548,0.006676
4,1,PMPI_Send,PMPI_Recv,0.006678,0.007873
1,5,PMPI_Send,PMPI_Recv,0.007873,0.009069
5,1,PMPI_Send,PMPI_Recv,0.009071,0.010267
1,6,PMPI_Send,PMPI_Recv,0.010267,0.011462
6,1,PMPI_Send,PMPI_Recv,0.011464,0.01266
1,7,PMPI_Send,PMPI_Recv,0.01266,0.013856
7,1,PMPI_Send,PMPI_Recv,0.013858,0.015053
1,8,PMPI_Send,PMPI_Recv,0.015053,0.016249
8,1,PMPI_Send,PMPI_Recv,0.016251,0.017447
1,9,PMPI_Send,PMPI_Recv,0.017447,0.018643
9,1,PMPI_Send,PMPI_Recv,0.018644,0.01984
1,10,PMPI_Send,PMPI_Recv,0.01984,0.021036
10,1,PMPI_Send,PMPI_Recv,0.021037,0.022233
1,11,PMPI_Send,PMPI_Recv,0.022233,0.023429
11,1,PMPI_Send,PMPI_Recv,0.02343,0.024626
1,12,PMPI_Send,PMPI_Recv,0.024626,0.025822
12,1,PMPI_Send,PMPI_Recv,0.025823,0.027019
1,13,PMPI_Send,PMPI_Recv,0.027019,0.028215
13,1,PMPI_Send,PMPI_Recv,0.028216,0.029412
1,14,PMPI_Send,PMPI_Recv,0.029412,0.030608
14,1,PMPI_Send,PMPI_Recv,0.030609,0.031805
1,15,PMPI_Send,PMPI_Recv,0.031805,0.033001
15,1,PMPI_Send,PMPI_Recv,0.033002,0.034198
1,16,PMPI_Send,PMPI_Recv,0.034198,0.035394
16,1,PMPI_Send,PMPI_Recv,0.035395,0.036591
1,17,PMPI_Send,PMPI_Recv,0.036591,0.037786
17,1,PMPI_Send,PMPI_Recv,0.037788,0.038983
1,18,PMPI_Send,PMPI_Recv,0.038983,0.040179
18,1,PMPI_Send,PMPI_Recv,0.040181,0.041376
1,19,PMPI_Send,PMPI_Recv,0.041376,0.042572
19,1,PMPI_Send,PMPI_Recv,0.042573,0.043769
1,20,PMPI_Send,PMPI_Recv,0.043769,0.044965
20,1,PMPI_Send,PMPI_Recv,0.044966,0.046162
1,21,PMPI_Send,PMPI_Recv,0.046162,0.047358
21,1,PMPI_Send,PMPI_Recv,0.047359,0.048555
1,22,PMPI_Send,PMPI_Recv,0.048555,0.049751
22,1,PMPI_Send,PMPI_Recv,0.049752,0.050948
1,23,PMPI_Send,PMPI_Recv,0.050948,0.052143
23,1,PMPI_Send,PMPI_Recv,0.052145,0.053341
1,24,PMPI_Send,PMPI_Recv,0.053341,0.054536
24,1,PMPI_Send,PMPI_Recv,0.054538,0.055733
1,25,PMPI_Send,PMPI_Recv,0.055733,0.056929
25,1,PMPI_Send,PMPI_Recv,0.05693,0.058126
1,26,PMPI_Send,PMPI_Recv,0.058126,0.059322
26,1,PMPI_Send,PMPI_Recv,0.059323,0.060519
1,27,PMPI_Send,PMPI_Recv,0.060519,0.061715
27,1,PMPI_Send,PMPI_Recv,0.061716,0.062912
1,28,PMPI_Send,PMPI_Recv,0.062912,0.064108
28,1,PMPI_Send,PMPI_Recv,0.064109,0.065305
1,29,PMPI_Send,PMPI_Recv,0.065305,0.0665
29,1,PMPI_Send,PMPI_Recv,0.066502,0.067697
1,30,PMPI_Send,PMPI_Recv,0.067697,0.068893
30,1,PMPI_Send,PMPI_Recv,0.068894,0.07009
1,31,PMPI_Send,PMPI_Recv,0.07009,0.071286
31,1,PMPI_Send,PMPI_Recv,0.071287,0.072483
1,32,PMPI_Send,PMPI_Recv,0.072483,0.073679
32,1,PMPI_Send,PMPI_Recv,0.07368,0.074876
1,2,PMPI_Send,PMPI_Recv,0.074876,0.076071
2,1,PMPI_Send,PMPI_Recv,0.076071,0.077267
1,3,PMPI_Send,PMPI_Recv,0.077267,0.078463
3,1,PMPI_Send,PMPI_Recv,0.078463,0.079658
1,4,PMPI_Send,PMPI_Recv,0.079658,0.080854
4,1,PMPI_Send,PMPI_Recv,0.080854,0.08205
1,5,PMPI_Send,PMPI_Recv,0.08205,0.083246
5,1,PMPI_Send,PMPI_Recv,0.083246,0.084441
1,6,PMPI_Send,PMPI_Recv,0.084441,0.085637
6,1,PMPI_Send,PMPI_Recv,0.085637,0.086833
1,7,PMPI_Send,PMPI_Recv,0.086833,0.088028
7,1,PMPI_Send,PMPI_Recv,0.088028,0.089224
1,8,PMPI_Send,PMPI_Recv,0.089224,0.09042
8,1,PMPI_Send,PMPI_Recv,0.09042,0.091616
1,9,PMPI_Send,PMPI_Recv,0.091616,0.092811
9,1,PMPI_Send,PMPI_Recv,0.092811,0.094007
1,10,PMPI_Send,PMPI_Recv,0.094011,0.095207
10,1,PMPI_Send,PMPI_Recv,0.095207,0.096402
1,11,PMPI_Send,PMPI_Recv,0.096402,0.097598
