Rank Origem,Rank Destino,Ação da Origem,Estado do Destino,Tempo Inicial,Tempo Final
1,2,PMPI_Send,PMPI_Recv,0.00045,0.000503
2,1,PMPI_Send,PMPI_Recv,0.000505,0.000523
1,3,PMPI_Send,PMPI_Recv,0.000523,0.00054
3,1,PMPI_Send,PMPI_Recv,0.000542,0.00056
1,4,PMPI_Send,PMPI_Recv,0.00056,0.000578
4,1,PMPI_Send,PMPI_Recv,0.000579,0.000597
1,5,PMPI_Send,PMPI_Recv,0.000597,0.000615
5,1,PMPI_Send,PMPI_Recv,0.000616,0.000634
1,6,PMPI_Send,PMPI_Recv,0.000634,0.000651
6,1,PMPI_Send,PMPI_Recv,0.000653,0.000671
1,7,PMPI_Send,PMPI_Recv,0.000671,0.000688
7,1,PMPI_Send,PMPI_Recv,0.00069,0.000707
1,8,PMPI_Send,PMPI_Recv,0.000707,0.000725
8,1,PMPI_Send,PMPI_Recv,0.000727,0.000744
1,9,PMPI_Send,PMPI_Recv,0.000744,0.000762
9,1,PMPI_Send,PMPI_Recv,0.000763,0.000781
1,10,PMPI_Send,PMPI_Recv,0.000781,0.000799
10,1,PMPI_Send,PMPI_Recv,0.0008,0.000818
1,11,PMPI_Send,PMPI_Recv,0.000818,0.000835
11,1,PMPI_Send,PMPI_Recv,0.000837,0.000855
1,12,PMPI_Send,PMPI_Recv,0.000855,0.000872
12,1,PMPI_Send,PMPI_Recv,0.000874,0.000891
1,13,PMPI_Send,PMPI_Recv,0.000891,0.000909
13,1,PMPI_Send,PMPI_Recv,0.000911,0.000928
1,14,PMPI_Send,PMPI_Recv,0.000928,0.000946
14,1,PMPI_Send,PMPI_Recv,0.000947,0.000965
1,15,PMPI_Send,PMPI_Recv,0.000965,0.000983
15,1,PMPI_Send,PMPI_Recv,0.000984,0.001001
1,16,PMPI_Send,PMPI_Recv,0.001001,0.001019
16,1,PMPI_Send,PMPI_Recv,0.00102,0.001038
1,2,PMPI_Send,PMPI_Recv,0.001038,0.001056
2,1,PMPI_Send,PMPI_Recv,0.001056,0.001073
1,3,PMPI_Send,PMPI_Recv,0.001073,0.001091
3,1,PMPI_Send,PMPI_Recv,0.001091,0.001109
1,4,PMPI_Send,PMPI_Recv,0.001109,0.001126
4,1,PMPI_Send,PMPI_Recv,0.001126,0.001144
1,5,PMPI_Send,PMPI_Recv,0.001144,0.001162
5,1,PMPI_Send,PMPI_Recv,0.001162,0.001179
1,6,PMPI_Send,PMPI_Recv,0.001179,0.001197
6,1,PMPI_Send,PMPI_Recv,0.001197,0.001215
1,7,PMPI_Send,PMPI_Recv,0.001215,0.001233
7,1,PMPI_Send,PMPI_Recv,0.001233,0.00125
1,8,PMPI_Send,PMPI_Recv,0.00125,0.001268
8,1,PMPI_Send,PMPI_Recv,0.001268,0.001286
1,9,PMPI_Send,PMPI_Recv,0.001286,0.001303
9,1,PMPI_Send,PMPI_Recv,0.001303,0.001321
1,10,PMPI_Send,PMPI_Recv,0.001321,0.001339
10,1,PMPI_Send,PMPI_Recv,0.001339,0.001356
1,11,PMPI_Send,PMPI_Recv,0.001356,0.001374
11,1,PMPI_Send,PMPI_Recv,0.001374,0.001392
1,12,PMPI_Send,PMPI_Recv,0.001392,0.001409
12,1,PMPI_Send,PMPI_Recv,0.001409,0.001427
