Rank Origem,Rank Destino,Ação da Origem,Estado do Destino,Tempo Inicial,Tempo Final
1,2,PMPI_Send,PMPI_Recv,0.000419,0.000639
2,1,PMPI_Send,PMPI_Recv,0.000641,0.00086
1,3,PMPI_Send,PMPI_Recv,0.00086,0.001079
3,1,PMPI_Send,PMPI_Recv,0.001081,0.0013
1,4,PMPI_Send,PMPI_Recv,0.0013,0.00152
4,1,PMPI_Send,PMPI_Recv,0.001521,0.00174
1,5,PMPI_Send,PMPI_Recv,0.00174,0.00196
5,1,PMPI_Send,PMPI_Recv,0.001961,0.002181
1,6,PMPI_Send,PMPI_Recv,0.002181,0.0024
6,1,PMPI_Send,PMPI_Recv,0.002401,0.002621
1,7,PMPI_Send,PMPI_Recv,0.002621,0.00284
7,1,PMPI_Send,PMPI_Recv,0.002841,0.003061
1,8,PMPI_Send,PMPI_Recv,0.003061,0.00328
8,1,PMPI_Send,PMPI_Recv,0.003281,0.003501
1,9,PMPI_Send,PMPI_Recv,0.003501,0.003915
9,1,PMPI_Send,PMPI_Recv,0.003916,0.004331
1,10,PMPI_Send,PMPI_Recv,0.004331,0.004745
10,1,PMPI_Send,PMPI_Recv,0.004746,0.005161
1,11,PMPI_Send,PMPI_Recv,0.005161,0.005575
11,1,PMPI_Send,PMPI_Recv,0.005577,0.005991
1,12,PMPI_Send,PMPI_Recv,0.005991,0.006405
12,1,PMPI_Send,PMPI_Recv,0.006407,0.006821
1,13,PMPI_Send,PMPI_Recv,0.006821,0.007235
13,1,PMPI_Send,PMPI_Recv,0.007237,0.007651
1,14,PMPI_Send,PMPI_Recv,0.007651,0.008066
14,1,PMPI_Send,PMPI_Recv,0.008067,0.008481
1,15,PMPI_Send,PMPI_Recv,0.008481,0.008895
15,1,PMPI_Send,PMPI_Recv,0.008895,0.00931
1,16,PMPI_Send,PMPI_Recv,0.00931,0.009724
16,1,PMPI_Send,PMPI_Recv,0.009725,0.01014
1,17,PMPI_Send,PMPI_Recv,0.01014,0.010554
17,1,PMPI_Send,PMPI_Recv,0.010554,0.010968
1,18,PMPI_Send,PMPI_Recv,0.010968,0.011383
18,1,PMPI_Send,PMPI_Recv,0.011383,0.011797
1,19,PMPI_Send,PMPI_Recv,0.011797,0.012212
19,1,PMPI_Send,PMPI_Recv,0.012212,0.012626
1,20,PMPI_Send,PMPI_Recv,0.012626,0.01304
20,1,PMPI_Send,PMPI_Recv,0.013042,0.013456
1,21,PMPI_Send,PMPI_Recv,0.013456,0.013871
21,1,PMPI_Send,PMPI_Recv,0.013872,0.014286
1,22,PMPI_Send,PMPI_Recv,0.014286,0.0147
22,1,PMPI_Send,PMPI_Recv,0.0147,0.015115
1,23,PMPI_Send,PMPI_Recv,0.015115,0.015529
23,1,PMPI_Send,PMPI_Recv,0.015529,0.015944
1,24,PMPI_Send,PMPI_Recv,0.015944,0.016358
24,1,PMPI_Send,PMPI_Recv,0.016358,0.016772
1,25,PMPI_Send,PMPI_Recv,0.016772,0.017187
25,1,PMPI_Send,PMPI_Recv,0.017187,0.017601
1,26,PMPI_Send,PMPI_Recv,0.017601,0.018015
26,1,PMPI_Send,PMPI_Recv,0.018015,0.01843
1,27,PMPI_Send,PMPI_Recv,0.01843,0.018844
27,1,PMPI_Send,PMPI_Recv,0.018845,0.01926
1,28,PMPI_Send,PMPI_Recv,0.01926,0.019674
28,1,PMPI_Send,PMPI_Recv,0.019674,0.020089
1,29,PMPI_Send,PMPI_Recv,0.020089,0.020503
29,1,PMPI_Send,PMPI_Recv,0.020504,0.020919
1,30,PMPI_Send,PMPI_Recv,0.020919,0.021333
30,1,PMPI_Send,PMPI_Recv,0.021334,0.021748
1,31,PMPI_Send,PMPI_Recv,0.021748,0.022163
31,1,PMPI_Send,PMPI_Recv,0.022164,0.022578
1,32,PMPI_Send,PMPI_Recv,0.022578,0.022993
32,1,PMPI_Send,PMPI_Recv,0.022994,0.023409
1,33,PMPI_Send,PMPI_Recv,0.023409,0.024018
33,1,PMPI_Send,PMPI_Recv,0.024018,0.024628
1,34,PMPI_Send,PMPI_Recv,0.024628,0.025237
34,1,PMPI_Send,PMPI_Recv,0.025238,0.025848
1,35,PMPI_Send,PMPI_Recv,0.025848,0.026457
35,1,PMPI_Send,PMPI_Recv,0.026458,0.027068
1,36,PMPI_Send,PMPI_Recv,0.027068,0.027677
36,1,PMPI_Send,PMPI_Recv,0.027678,0.028288
1,37,PMPI_Send,PMPI_Recv,0.028288,0.028897
37,1,PMPI_Send,PMPI_Recv,0.028897,0.029507
1,38,PMPI_Send,PMPI_Recv,0.029507,0.030116
38,1,PMPI_Send,PMPI_Recv,0.030117,0.030726
1,39,PMPI_Send,PMPI_Recv,0.030726,0.031336
39,1,PMPI_Send,PMPI_Recv,0.031336,0.031945
1,40,PMPI_Send,PMPI_Recv,0.031945,0.032555
40,1,PMPI_Send,PMPI_Recv,0.032556,0.033165
1,41,PMPI_Send,PMPI_Recv,0.033165,0.033775
41,1,PMPI_Send,PMPI_Recv,0.033776,0.034385
1,42,PMPI_Send,PMPI_Recv,0.034385,0.034994
42,1,PMPI_Send,PMPI_Recv,0.034995,0.035605
1,43,PMPI_Send,PMPI_Recv,0.035605,0.036214
43,1,PMPI_Send,PMPI_Recv,0.036215,0.036825
1,44,PMPI_Send,PMPI_Recv,0.036825,0.037434
44,1,PMPI_Send,PMPI_Recv,0.037434,0.038044
1,45,PMPI_Send,PMPI_Recv,0.038044,0.038653
45,1,PMPI_Send,PMPI_Recv,0.038654,0.039264
1,46,PMPI_Send,PMPI_Recv,0.039264,0.039873
46,1,PMPI_Send,PMPI_Recv,0.039874,0.040484
1,47,PMPI_Send,PMPI_Recv,0.040484,0.041093
47,1,PMPI_Send,PMPI_Recv,0.041093,0.041702
1,48,PMPI_Send,PMPI_Recv,0.041702,0.042312
48,1,PMPI_Send,PMPI_Recv,0.042313,0.042922
1,49,PMPI_Send,PMPI_Recv,0.042922,0.043532
49,1,PMPI_Send,PMPI_Recv,0.043532,0.044141
1,50,PMPI_Send,PMPI_Recv,0.044141,0.044751
50,1,PMPI_Send,PMPI_Recv,0.044751,0.04536
1,51,PMPI_Send,PMPI_Recv,0.04536,0.04597
51,1,PMPI_Send,PMPI_Recv,0.04597,0.046579
1,52,PMPI_Send,PMPI_Recv,0.046579,0.047188
52,1,PMPI_Send,PMPI_Recv,0.047189,0.047799
1,53,PMPI_Send,PMPI_Recv,0.047799,0.048408
53,1,PMPI_Send,PMPI_Recv,0.048408,0.049018
1,54,PMPI_Send,PMPI_Recv,0.049018,0.049627
54,1,PMPI_Send,PMPI_Recv,0.049627,0.050236
1,55,PMPI_Send,PMPI_Recv,0.050236,0.050846
55,1,PMPI_Send,PMPI_Recv,0.050847,0.051456
1,56,PMPI_Send,PMPI_Recv,0.051456,0.052066
56,1,PMPI_Send,PMPI_Recv,0.052066,0.052675
1,57,PMPI_Send,PMPI_Recv,0.052675,0.053285
57,1,PMPI_Send,PMPI_Recv,0.053285,0.053894
1,58,PMPI_Send,PMPI_Recv,0.053894,0.054504
58,1,PMPI_Send,PMPI_Recv,0.054504,0.055113
1,59,PMPI_Send,PMPI_Recv,0.055113,0.055722
59,1,PMPI_Send,PMPI_Recv,0.055722,0.056332
1,60,PMPI_Send,PMPI_Recv,0.056332,0.056941
60,1,PMPI_Send,PMPI_Recv,0.056941,0.057551
1,61,PMPI_Send,PMPI_Recv,0.057551,0.05816
61,1,PMPI_Send,PMPI_Recv,0.05816,0.05877
1,62,PMPI_Send,PMPI_Recv,0.05877,0.059379
62,1,PMPI_Send,PMPI_Recv,0.059379,0.059988
1,63,PMPI_Send,PMPI_Recv,0.059988,0.060598
63,1,PMPI_Send,PMPI_Recv,0.060598,0.061207
1,64,PMPI_Send,PMPI_Recv,0.061207,0.061817
64,1,PMPI_Send,PMPI_Recv,0.061817,0.062426
1,2,PMPI_Send,PMPI_Recv,0.062426,0.062645
2,1,PMPI_Send,PMPI_Recv,0.062645,0.062865
1,3,PMPI_Send,PMPI_Recv,0.062865,0.063084
3,1,PMPI_Send,PMPI_Recv,0.063084,0.063303
1,4,PMPI_Send,PMPI_Recv,0.063303,0.063523
4,1,PMPI_Send,PMPI_Recv,0.063523,0.063742
1,5,PMPI_Send,PMPI_Recv,0.063742,0.063962
5,1,PMPI_Send,PMPI_Recv,0.063962,0.064181
1,6,PMPI_Send,PMPI_Recv,0.064181,0.0644
6,1,PMPI_Send,PMPI_Recv,0.0644,0.06462
1,7,PMPI_Send,PMPI_Recv,0.06462,0.064839
7,1,PMPI_Send,PMPI_Recv,0.064839,0.065058
1,8,PMPI_Send,PMPI_Recv,0.065058,0.065278
8,1,PMPI_Send,PMPI_Recv,0.065278,0.065497
1,9,PMPI_Send,PMPI_Recv,0.065497,0.065911
9,1,PMPI_Send,PMPI_Recv,0.065911,0.066326
1,10,PMPI_Send,PMPI_Recv,0.066326,0.06674
10,1,PMPI_Send,PMPI_Recv,0.06674,0.067155
1,11,PMPI_Send,PMPI_Recv,0.067155,0.067569
11,1,PMPI_Send,PMPI_Recv,0.067569,0.067983
1,12,PMPI_Send,PMPI_Recv,0.067983,0.068398
12,1,PMPI_Send,PMPI_Recv,0.068398,0.068812
1,13,PMPI_Send,PMPI_Recv,0.068812,0.069227
13,1,PMPI_Send,PMPI_Recv,0.069227,0.069641
1,14,PMPI_Send,PMPI_Recv,0.069641,0.070055
14,1,PMPI_Send,PMPI_Recv,0.070055,0.07047
1,15,PMPI_Send,PMPI_Recv,0.07047,0.070884
15,1,PMPI_Send,PMPI_Recv,0.070884,0.071298
1,16,PMPI_Send,PMPI_Recv,0.071298,0.071713
16,1,PMPI_Send,PMPI_Recv,0.071713,0.072127
1,17,PMPI_Send,PMPI_Recv,0.072127,0.072542
17,1,PMPI_Send,PMPI_Recv,0.072542,0.072956
1,18,PMPI_Send,PMPI_Recv,0.072956,0.07337
18,1,PMPI_Send,PMPI_Recv,0.07337,0.073785
1,19,PMPI_Send,PMPI_Recv,0.073785,0.074199
19,1,PMPI_Send,PMPI_Recv,0.074199,0.074614
1,20,PMPI_Send,PMPI_Recv,0.074614,0.075028
20,1,PMPI_Send,PMPI_Recv,0.075028,0.075442
1,21,PMPI_Send,PMPI_Recv,0.075442,0.075857
21,1,PMPI_Send,PMPI_Recv,0.075857,0.076271
1,22,PMPI_Send,PMPI_Recv,0.076271,0.076686
22,1,PMPI_Send,PMPI_Recv,0.076686,0.0771
1,23,PMPI_Send,PMPI_Recv,0.0771,0.077514
23,1,PMPI_Send,PMPI_Recv,0.077514,0.077929
1,24,PMPI_Send,PMPI_Recv,0.077929,0.078343
24,1,PMPI_Send,PMPI_Recv,0.078343,0.078757
1,25,PMPI_Send,PMPI_Recv,0.078757,0.079172
25,1,PMPI_Send,PMPI_Recv,0.079172,0.079586
1,26,PMPI_Send,PMPI_Recv,0.079586,0.080001
26,1,PMPI_Send,PMPI_Recv,0.080001,0.080415
1,27,PMPI_Send,PMPI_Recv,0.080415,0.080829
27,1,PMPI_Send,PMPI_Recv,0.080829,0.081244
1,28,PMPI_Send,PMPI_Recv,0.081244,0.081658
28,1,PMPI_Send,PMPI_Recv,0.081658,0.082073
1,29,PMPI_Send,PMPI_Recv,0.082073,0.082487
29,1,PMPI_Send,PMPI_Recv,0.082487,0.082901
1,30,PMPI_Send,PMPI_Recv,0.082901,0.083316
30,1,PMPI_Send,PMPI_Recv,0.083316,0.08373
1,31,PMPI_Send,PMPI_Recv,0.08373,0.084145
31,1,PMPI_Send,PMPI_Recv,0.084145,0.084559
1,32,PMPI_Send,PMPI_Recv,0.084559,0.084973
32,1,PMPI_Send,PMPI_Recv,0.084973,0.085388
