Rank Origem,Rank Destino,Ação da Origem,Estado do Destino,Tempo Inicial,Tempo Final
1,2,PMPI_Send,PMPI_Recv,0.000467,0.000475
2,1,PMPI_Send,PMPI_Recv,0.000477,0.000485
1,3,PMPI_Send,PMPI_Recv,0.000485,0.000493
3,1,PMPI_Send,PMPI_Recv,0.000494,0.000502
1,4,PMPI_Send,PMPI_Recv,0.000502,0.00051
4,1,PMPI_Send,PMPI_Recv,0.000511,0.000519
1,5,PMPI_Send,PMPI_Recv,0.000519,0.000527
5,1,PMPI_Send,PMPI_Recv,0.000529,0.000537
1,6,PMPI_Send,PMPI_Recv,0.000537,0.000545
6,1,PMPI_Send,PMPI_Recv,0.000546,0.000554
1,7,PMPI_Send,PMPI_Recv,0.000554,0.000562
7,1,PMPI_Send,PMPI_Recv,0.000562,0.000569
1,8,PMPI_Send,PMPI_Recv,0.000569,0.000577
8,1,PMPI_Send,PMPI_Recv,0.000579,0.000587
1,9,PMPI_Send,PMPI_Recv,0.000587,0.000602
9,1,PMPI_Send,PMPI_Recv,0.000604,0.000619
1,10,PMPI_Send,PMPI_Recv,0.000619,0.000635
10,1,PMPI_Send,PMPI_Recv,0.000637,0.000652
1,11,PMPI_Send,PMPI_Recv,0.000652,0.000668
11,1,PMPI_Send,PMPI_Recv,0.000669,0.000685
1,12,PMPI_Send,PMPI_Recv,0.000685,0.000701
12,1,PMPI_Send,PMPI_Recv,0.000702,0.000718
1,13,PMPI_Send,PMPI_Recv,0.000718,0.000734
13,1,PMPI_Send,PMPI_Recv,0.000735,0.000751
1,14,PMPI_Send,PMPI_Recv,0.000751,0.000766
14,1,PMPI_Send,PMPI_Recv,0.000767,0.000783
1,15,PMPI_Send,PMPI_Recv,0.000783,0.000799
15,1,PMPI_Send,PMPI_Recv,0.0008,0.000816
1,16,PMPI_Send,PMPI_Recv,0.000816,0.000831
16,1,PMPI_Send,PMPI_Recv,0.000833,0.000848
1,17,PMPI_Send,PMPI_Recv,0.000848,0.000864
17,1,PMPI_Send,PMPI_Recv,0.000865,0.000881
1,18,PMPI_Send,PMPI_Recv,0.000881,0.000897
18,1,PMPI_Send,PMPI_Recv,0.000898,0.000914
1,19,PMPI_Send,PMPI_Recv,0.000914,0.00093
19,1,PMPI_Send,PMPI_Recv,0.000931,0.000947
1,20,PMPI_Send,PMPI_Recv,0.000947,0.000962
20,1,PMPI_Send,PMPI_Recv,0.000963,0.000979
1,21,PMPI_Send,PMPI_Recv,0.000979,0.000995
21,1,PMPI_Send,PMPI_Recv,0.000996,0.001012
1,22,PMPI_Send,PMPI_Recv,0.001012,0.001027
22,1,PMPI_Send,PMPI_Recv,0.001029,0.001044
1,23,PMPI_Send,PMPI_Recv,0.001044,0.00106
23,1,PMPI_Send,PMPI_Recv,0.001061,0.001077
1,24,PMPI_Send,PMPI_Recv,0.001077,0.001093
24,1,PMPI_Send,PMPI_Recv,0.001094,0.00111
1,25,PMPI_Send,PMPI_Recv,0.00111,0.001125
25,1,PMPI_Send,PMPI_Recv,0.001126,0.001142
1,26,PMPI_Send,PMPI_Recv,0.001142,0.001158
26,1,PMPI_Send,PMPI_Recv,0.001159,0.001175
1,27,PMPI_Send,PMPI_Recv,0.001175,0.00119
27,1,PMPI_Send,PMPI_Recv,0.001191,0.001207
1,28,PMPI_Send,PMPI_Recv,0.001207,0.001223
28,1,PMPI_Send,PMPI_Recv,0.001223,0.001239
1,29,PMPI_Send,PMPI_Recv,0.001239,0.001254
29,1,PMPI_Send,PMPI_Recv,0.001256,0.001271
1,30,PMPI_Send,PMPI_Recv,0.001271,0.001287
30,1,PMPI_Send,PMPI_Recv,0.001287,0.001303
1,31,PMPI_Send,PMPI_Recv,0.001303,0.001319
31,1,PMPI_Send,PMPI_Recv,0.001319,0.001334
1,32,PMPI_Send,PMPI_Recv,0.001334,0.00135
32,1,PMPI_Send,PMPI_Recv,0.00135,0.001366
1,33,PMPI_Send,PMPI_Recv,0.001366,0.001389
33,1,PMPI_Send,PMPI_Recv,0.001391,0.001414
1,34,PMPI_Send,PMPI_Recv,0.001414,0.001438
34,1,PMPI_Send,PMPI_Recv,0.001439,0.001463
1,35,PMPI_Send,PMPI_Recv,0.001463,0.001486
35,1,PMPI_Send,PMPI_Recv,0.001488,0.001511
1,36,PMPI_Send,PMPI_Recv,0.001511,0.001535
36,1,PMPI_Send,PMPI_Recv,0.001535,0.001558
1,37,PMPI_Send,PMPI_Recv,0.001558,0.001582
37,1,PMPI_Send,PMPI_Recv,0.001582,0.001605
1,38,PMPI_Send,PMPI_Recv,0.001605,0.001629
