Rank Origem,Rank Destino,Ação da Origem,Estado do Destino,Tempo Inicial,Tempo Final
1,2,PMPI_Send,PMPI_Recv,0.000547,0.000668
2,1,PMPI_Send,PMPI_Recv,0.000671,0.000793
1,3,PMPI_Send,PMPI_Recv,0.000793,0.001013
3,1,PMPI_Send,PMPI_Recv,0.001015,0.001235
1,4,PMPI_Send,PMPI_Recv,0.001235,0.001356
4,1,PMPI_Send,PMPI_Recv,0.001359,0.00148
1,5,PMPI_Send,PMPI_Recv,0.00148,0.001602
5,1,PMPI_Send,PMPI_Recv,0.001604,0.001726
1,6,PMPI_Send,PMPI_Recv,0.001726,0.001945
6,1,PMPI_Send,PMPI_Recv,0.001947,0.002167
1,7,PMPI_Send,PMPI_Recv,0.002167,0.002484
7,1,PMPI_Send,PMPI_Recv,0.002486,0.002802
1,8,PMPI_Send,PMPI_Recv,0.002802,0.003022
8,1,PMPI_Send,PMPI_Recv,0.003024,0.003243
1,9,PMPI_Send,PMPI_Recv,0.003243,0.003462
9,1,PMPI_Send,PMPI_Recv,0.003465,0.003684
1,10,PMPI_Send,PMPI_Recv,0.003684,0.004001
10,1,PMPI_Send,PMPI_Recv,0.004003,0.004319
1,11,PMPI_Send,PMPI_Recv,0.004319,0.004734
11,1,PMPI_Send,PMPI_Recv,0.004736,0.00515
1,12,PMPI_Send,PMPI_Recv,0.00515,0.005467
12,1,PMPI_Send,PMPI_Recv,0.005468,0.005785
1,13,PMPI_Send,PMPI_Recv,0.005785,0.005907
13,1,PMPI_Send,PMPI_Recv,0.005908,0.00603
1,14,PMPI_Send,PMPI_Recv,0.00603,0.00625
14,1,PMPI_Send,PMPI_Recv,0.006251,0.006471
1,15,PMPI_Send,PMPI_Recv,0.006471,0.006788
15,1,PMPI_Send,PMPI_Recv,0.006789,0.007106
1,16,PMPI_Send,PMPI_Recv,0.007106,0.007326
16,1,PMPI_Send,PMPI_Recv,0.007327,0.007546
1,17,PMPI_Send,PMPI_Recv,0.007546,0.007668
17,1,PMPI_Send,PMPI_Recv,0.00767,0.007792
1,18,PMPI_Send,PMPI_Recv,0.007792,0.008011
18,1,PMPI_Send,PMPI_Recv,0.008012,0.008232
1,19,PMPI_Send,PMPI_Recv,0.008232,0.008548
19,1,PMPI_Send,PMPI_Recv,0.00855,0.008867
1,20,PMPI_Send,PMPI_Recv,0.008867,0.009086
20,1,PMPI_Send,PMPI_Recv,0.009087,0.009307
1,21,PMPI_Send,PMPI_Recv,0.009307,0.009526
21,1,PMPI_Send,PMPI_Recv,0.009528,0.009747
1,22,PMPI_Send,PMPI_Recv,0.009747,0.010064
22,1,PMPI_Send,PMPI_Recv,0.010065,0.010382
1,23,PMPI_Send,PMPI_Recv,0.010382,0.010796
23,1,PMPI_Send,PMPI_Recv,0.010798,0.011212
1,24,PMPI_Send,PMPI_Recv,0.011212,0.011529
24,1,PMPI_Send,PMPI_Recv,0.01153,0.011847
1,25,PMPI_Send,PMPI_Recv,0.011847,0.012164
25,1,PMPI_Send,PMPI_Recv,0.012165,0.012482
1,26,PMPI_Send,PMPI_Recv,0.012482,0.012897
26,1,PMPI_Send,PMPI_Recv,0.012898,0.013313
1,27,PMPI_Send,PMPI_Recv,0.013313,0.013824
27,1,PMPI_Send,PMPI_Recv,0.013826,0.014338
1,28,PMPI_Send,PMPI_Recv,0.014338,0.014752
28,1,PMPI_Send,PMPI_Recv,0.014753,0.015168
1,29,PMPI_Send,PMPI_Recv,0.015168,0.015387
29,1,PMPI_Send,PMPI_Recv,0.015389,0.015608
1,30,PMPI_Send,PMPI_Recv,0.015608,0.015925
30,1,PMPI_Send,PMPI_Recv,0.015926,0.016243
1,31,PMPI_Send,PMPI_Recv,0.016243,0.016657
31,1,PMPI_Send,PMPI_Recv,0.016659,0.017073
1,32,PMPI_Send,PMPI_Recv,0.017073,0.01739
32,1,PMPI_Send,PMPI_Recv,0.017391,0.017708
1,2,PMPI_Send,PMPI_Recv,0.017708,0.01783
2,1,PMPI_Send,PMPI_Recv,0.01783,0.017952
1,3,PMPI_Send,PMPI_Recv,0.017952,0.018171
3,1,PMPI_Send,PMPI_Recv,0.018171,0.018391
1,4,PMPI_Send,PMPI_Recv,0.018391,0.018512
4,1,PMPI_Send,PMPI_Recv,0.018512,0.018634
1,5,PMPI_Send,PMPI_Recv,0.018634,0.018756
5,1,PMPI_Send,PMPI_Recv,0.018756,0.018878
1,6,PMPI_Send,PMPI_Recv,0.018878,0.019097
6,1,PMPI_Send,PMPI_Recv,0.019097,0.019317
1,7,PMPI_Send,PMPI_Recv,0.019317,0.019634
7,1,PMPI_Send,PMPI_Recv,0.019634,0.01995
1,8,PMPI_Send,PMPI_Recv,0.01995,0.02017
8,1,PMPI_Send,PMPI_Recv,0.02017,0.020389
1,9,PMPI_Send,PMPI_Recv,0.020389,0.020608
9,1,PMPI_Send,PMPI_Recv,0.020608,0.020828
1,10,PMPI_Send,PMPI_Recv,0.020828,0.021145
10,1,PMPI_Send,PMPI_Recv,0.021145,0.021462
1,11,PMPI_Send,PMPI_Recv,0.021462,0.021876
11,1,PMPI_Send,PMPI_Recv,0.021876,0.02229
1,12,PMPI_Send,PMPI_Recv,0.02229,0.022607
12,1,PMPI_Send,PMPI_Recv,0.022607,0.022924
1,13,PMPI_Send,PMPI_Recv,0.022924,0.023046
13,1,PMPI_Send,PMPI_Recv,0.023046,0.023168
1,14,PMPI_Send,PMPI_Recv,0.023168,0.023387
14,1,PMPI_Send,PMPI_Recv,0.023387,0.023606
1,15,PMPI_Send,PMPI_Recv,0.023606,0.023923
15,1,PMPI_Send,PMPI_Recv,0.023923,0.02424
1,16,PMPI_Send,PMPI_Recv,0.02424,0.02446
16,1,PMPI_Send,PMPI_Recv,0.02446,0.024679
1,17,PMPI_Send,PMPI_Recv,0.024679,0.024801
17,1,PMPI_Send,PMPI_Recv,0.024801,0.024923
1,18,PMPI_Send,PMPI_Recv,0.024923,0.025142
18,1,PMPI_Send,PMPI_Recv,0.025142,0.025361
1,19,PMPI_Send,PMPI_Recv,0.025361,0.025678
19,1,PMPI_Send,PMPI_Recv,0.025678,0.025995
1,20,PMPI_Send,PMPI_Recv,0.025995,0.026214
20,1,PMPI_Send,PMPI_Recv,0.026214,0.026434
1,21,PMPI_Send,PMPI_Recv,0.026434,0.026653
21,1,PMPI_Send,PMPI_Recv,0.026653,0.026873
1,22,PMPI_Send,PMPI_Recv,0.026873,0.027189
22,1,PMPI_Send,PMPI_Recv,0.027189,0.027506
1,23,PMPI_Send,PMPI_Recv,0.027506,0.027921
23,1,PMPI_Send,PMPI_Recv,0.027921,0.028335
1,24,PMPI_Send,PMPI_Recv,0.028335,0.028652
24,1,PMPI_Send,PMPI_Recv,0.028652,0.028969
1,25,PMPI_Send,PMPI_Recv,0.028969,0.029286
25,1,PMPI_Send,PMPI_Recv,0.029286,0.029603
1,26,PMPI_Send,PMPI_Recv,0.029603,0.030017
26,1,PMPI_Send,PMPI_Recv,0.030017,0.030431
1,27,PMPI_Send,PMPI_Recv,0.030431,0.030943
27,1,PMPI_Send,PMPI_Recv,0.030943,0.031455
1,28,PMPI_Send,PMPI_Recv,0.031455,0.03187
28,1,PMPI_Send,PMPI_Recv,0.03187,0.032284
1,29,PMPI_Send,PMPI_Recv,0.032284,0.032503
29,1,PMPI_Send,PMPI_Recv,0.032503,0.032723
1,30,PMPI_Send,PMPI_Recv,0.032723,0.03304
30,1,PMPI_Send,PMPI_Recv,0.03304,0.033356
1,31,PMPI_Send,PMPI_Recv,0.033356,0.033771
