Rank Origem,Rank Destino,Ação da Origem,Estado do Destino,Tempo Inicial,Tempo Final
1,2,PMPI_Send,PMPI_Recv,0.000606,0.000835
2,1,PMPI_Send,PMPI_Recv,0.000837,0.001058
1,3,PMPI_Send,PMPI_Recv,0.001058,0.001279
3,1,PMPI_Send,PMPI_Recv,0.001281,0.001501
1,4,PMPI_Send,PMPI_Recv,0.001501,0.001722
4,1,PMPI_Send,PMPI_Recv,0.001724,0.001944
1,5,PMPI_Send,PMPI_Recv,0.001944,0.002263
5,1,PMPI_Send,PMPI_Recv,0.002265,0.002583
1,6,PMPI_Send,PMPI_Recv,0.002583,0.002901
6,1,PMPI_Send,PMPI_Recv,0.002903,0.003221
1,7,PMPI_Send,PMPI_Recv,0.003221,0.003539
7,1,PMPI_Send,PMPI_Recv,0.003541,0.003859
1,8,PMPI_Send,PMPI_Recv,0.003859,0.004177
8,1,PMPI_Send,PMPI_Recv,0.004179,0.004497
1,9,PMPI_Send,PMPI_Recv,0.004497,0.004815
9,1,PMPI_Send,PMPI_Recv,0.004817,0.005135
1,10,PMPI_Send,PMPI_Recv,0.005135,0.005453
10,1,PMPI_Send,PMPI_Recv,0.005455,0.005773
1,11,PMPI_Send,PMPI_Recv,0.005773,0.006091
11,1,PMPI_Send,PMPI_Recv,0.006093,0.006411
1,12,PMPI_Send,PMPI_Recv,0.006411,0.006729
12,1,PMPI_Send,PMPI_Recv,0.006731,0.007049
1,13,PMPI_Send,PMPI_Recv,0.007049,0.007465
13,1,PMPI_Send,PMPI_Recv,0.007466,0.007784
1,14,PMPI_Send,PMPI_Recv,0.007784,0.0082
14,1,PMPI_Send,PMPI_Recv,0.008202,0.00852
1,15,PMPI_Send,PMPI_Recv,0.00852,0.008935
15,1,PMPI_Send,PMPI_Recv,0.008937,0.009255
1,16,PMPI_Send,PMPI_Recv,0.009255,0.009671
16,1,PMPI_Send,PMPI_Recv,0.009672,0.00999
1,17,PMPI_Send,PMPI_Recv,0.00999,0.010406
17,1,PMPI_Send,PMPI_Recv,0.010408,0.010823
1,18,PMPI_Send,PMPI_Recv,0.010823,0.011239
18,1,PMPI_Send,PMPI_Recv,0.01124,0.011656
1,19,PMPI_Send,PMPI_Recv,0.011656,0.012071
19,1,PMPI_Send,PMPI_Recv,0.012073,0.012489
1,20,PMPI_Send,PMPI_Recv,0.012489,0.012904
20,1,PMPI_Send,PMPI_Recv,0.012905,0.013321
1,21,PMPI_Send,PMPI_Recv,0.013321,0.013834
21,1,PMPI_Send,PMPI_Recv,0.013836,0.014349
1,22,PMPI_Send,PMPI_Recv,0.014349,0.014862
22,1,PMPI_Send,PMPI_Recv,0.014863,0.015376
1,23,PMPI_Send,PMPI_Recv,0.015376,0.015889
23,1,PMPI_Send,PMPI_Recv,0.015891,0.016404
1,24,PMPI_Send,PMPI_Recv,0.016404,0.016917
24,1,PMPI_Send,PMPI_Recv,0.016918,0.017432
1,25,PMPI_Send,PMPI_Recv,0.017432,0.017945
25,1,PMPI_Send,PMPI_Recv,0.017946,0.018459
1,26,PMPI_Send,PMPI_Recv,0.018459,0.018972
26,1,PMPI_Send,PMPI_Recv,0.018974,0.019487
1,27,PMPI_Send,PMPI_Recv,0.019487,0.02
27,1,PMPI_Send,PMPI_Recv,0.020001,0.020514
1,28,PMPI_Send,PMPI_Recv,0.020514,0.021027
28,1,PMPI_Send,PMPI_Recv,0.021029,0.021542
1,29,PMPI_Send,PMPI_Recv,0.021542,0.022153
29,1,PMPI_Send,PMPI_Recv,0.022154,0.022764
1,30,PMPI_Send,PMPI_Recv,0.022764,0.023375
30,1,PMPI_Send,PMPI_Recv,0.023377,0.023987
1,31,PMPI_Send,PMPI_Recv,0.023987,0.024598
31,1,PMPI_Send,PMPI_Recv,0.024599,0.02521
1,32,PMPI_Send,PMPI_Recv,0.02521,0.02582
32,1,PMPI_Send,PMPI_Recv,0.025822,0.026432
1,2,PMPI_Send,PMPI_Recv,0.026432,0.026653
2,1,PMPI_Send,PMPI_Recv,0.026653,0.026873
1,3,PMPI_Send,PMPI_Recv,0.026873,0.027094
3,1,PMPI_Send,PMPI_Recv,0.027094,0.027315
1,4,PMPI_Send,PMPI_Recv,0.027315,0.027535
4,1,PMPI_Send,PMPI_Recv,0.027535,0.027756
1,5,PMPI_Send,PMPI_Recv,0.027756,0.028074
5,1,PMPI_Send,PMPI_Recv,0.028074,0.028392
1,6,PMPI_Send,PMPI_Recv,0.028392,0.02871
6,1,PMPI_Send,PMPI_Recv,0.02871,0.029028
1,7,PMPI_Send,PMPI_Recv,0.029028,0.029346
7,1,PMPI_Send,PMPI_Recv,0.029346,0.029664
1,8,PMPI_Send,PMPI_Recv,0.029664,0.029982
8,1,PMPI_Send,PMPI_Recv,0.029982,0.0303
1,9,PMPI_Send,PMPI_Recv,0.0303,0.030618
9,1,PMPI_Send,PMPI_Recv,0.030618,0.030937
1,10,PMPI_Send,PMPI_Recv,0.030937,0.031255
10,1,PMPI_Send,PMPI_Recv,0.031255,0.031573
1,11,PMPI_Send,PMPI_Recv,0.031573,0.031891
11,1,PMPI_Send,PMPI_Recv,0.031891,0.032209
1,12,PMPI_Send,PMPI_Recv,0.032209,0.032527
12,1,PMPI_Send,PMPI_Recv,0.032527,0.032845
1,13,PMPI_Send,PMPI_Recv,0.032845,0.033261
13,1,PMPI_Send,PMPI_Recv,0.033261,0.033579
1,14,PMPI_Send,PMPI_Recv,0.033579,0.033994
14,1,PMPI_Send,PMPI_Recv,0.033994,0.034312
1,15,PMPI_Send,PMPI_Recv,0.034312,0.034728
15,1,PMPI_Send,PMPI_Recv,0.034728,0.035046
1,16,PMPI_Send,PMPI_Recv,0.035046,0.035462
16,1,PMPI_Send,PMPI_Recv,0.035462,0.03578
1,17,PMPI_Send,PMPI_Recv,0.03578,0.036195
17,1,PMPI_Send,PMPI_Recv,0.036195,0.036611
1,18,PMPI_Send,PMPI_Recv,0.036611,0.037027
18,1,PMPI_Send,PMPI_Recv,0.037027,0.037442
1,19,PMPI_Send,PMPI_Recv,0.037442,0.037858
19,1,PMPI_Send,PMPI_Recv,0.037858,0.038274
1,20,PMPI_Send,PMPI_Recv,0.038274,0.038689
20,1,PMPI_Send,PMPI_Recv,0.038689,0.039105
1,21,PMPI_Send,PMPI_Recv,0.039105,0.039618
21,1,PMPI_Send,PMPI_Recv,0.039618,0.040131
1,22,PMPI_Send,PMPI_Recv,0.040131,0.040644
22,1,PMPI_Send,PMPI_Recv,0.040644,0.041157
1,23,PMPI_Send,PMPI_Recv,0.041157,0.04167
23,1,PMPI_Send,PMPI_Recv,0.04167,0.042183
1,24,PMPI_Send,PMPI_Recv,0.042183,0.042697
24,1,PMPI_Send,PMPI_Recv,0.042697,0.04321
1,25,PMPI_Send,PMPI_Recv,0.04321,0.043723
25,1,PMPI_Send,PMPI_Recv,0.043723,0.044236
1,26,PMPI_Send,PMPI_Recv,0.044236,0.044749
26,1,PMPI_Send,PMPI_Recv,0.044749,0.045262
1,27,PMPI_Send,PMPI_Recv,0.045262,0.045775
27,1,PMPI_Send,PMPI_Recv,0.045775,0.046288
1,28,PMPI_Send,PMPI_Recv,0.046288,0.046802
28,1,PMPI_Send,PMPI_Recv,0.046802,0.047315
1,29,PMPI_Send,PMPI_Recv,0.047315,0.047925
29,1,PMPI_Send,PMPI_Recv,0.047925,0.048536
1,30,PMPI_Send,PMPI_Recv,0.048536,0.049147
30,1,PMPI_Send,PMPI_Recv,0.049147,0.049757
