Rank Origem,Rank Destino,Ação da Origem,Estado do Destino,Tempo Inicial,Tempo Final
1,2,PMPI_Send,PMPI_Recv,0.000475,0.000483
2,1,PMPI_Send,PMPI_Recv,0.000486,0.000494
1,3,PMPI_Send,PMPI_Recv,0.000495,0.000503
3,1,PMPI_Send,PMPI_Recv,0.000505,0.000513
1,4,PMPI_Send,PMPI_Recv,0.000514,0.000551
4,1,PMPI_Send,PMPI_Recv,0.000553,0.000561
1,5,PMPI_Send,PMPI_Recv,0.000562,0.000575
5,1,PMPI_Send,PMPI_Recv,0.000577,0.000589
1,6,PMPI_Send,PMPI_Recv,0.00059,0.000622
6,1,PMPI_Send,PMPI_Recv,0.000624,0.000636
1,7,PMPI_Send,PMPI_Recv,0.000636,0.000647
7,1,PMPI_Send,PMPI_Recv,0.000649,0.000661
1,8,PMPI_Send,PMPI_Recv,0.000661,0.000719
8,1,PMPI_Send,PMPI_Recv,0.000721,0.000733
1,9,PMPI_Send,PMPI_Recv,0.000733,0.000745
9,1,PMPI_Send,PMPI_Recv,0.000747,0.000758
1,10,PMPI_Send,PMPI_Recv,0.000758,0.00077
10,1,PMPI_Send,PMPI_Recv,0.000772,0.000784
1,11,PMPI_Send,PMPI_Recv,0.000785,0.000797
11,1,PMPI_Send,PMPI_Recv,0.000798,0.00081
1,12,PMPI_Send,PMPI_Recv,0.00081,0.000822
12,1,PMPI_Send,PMPI_Recv,0.000824,0.000836
1,13,PMPI_Send,PMPI_Recv,0.000836,0.000852
13,1,PMPI_Send,PMPI_Recv,0.000853,0.000865
1,14,PMPI_Send,PMPI_Recv,0.000865,0.000881
14,1,PMPI_Send,PMPI_Recv,0.000882,0.000894
1,15,PMPI_Send,PMPI_Recv,0.000894,0.00091
15,1,PMPI_Send,PMPI_Recv,0.000912,0.000923
1,16,PMPI_Send,PMPI_Recv,0.000925,0.00094
16,1,PMPI_Send,PMPI_Recv,0.000942,0.000954
1,2,PMPI_Send,PMPI_Recv,0.000955,0.000963
2,1,PMPI_Send,PMPI_Recv,0.000964,0.000972
1,3,PMPI_Send,PMPI_Recv,0.000972,0.00098
3,1,PMPI_Send,PMPI_Recv,0.000981,0.000989
1,4,PMPI_Send,PMPI_Recv,0.000989,0.000997
4,1,PMPI_Send,PMPI_Recv,0.000998,0.001006
1,5,PMPI_Send,PMPI_Recv,0.001006,0.001017
5,1,PMPI_Send,PMPI_Recv,0.001017,0.001029
1,6,PMPI_Send,PMPI_Recv,0.001029,0.001041
6,1,PMPI_Send,PMPI_Recv,0.001041,0.001053
1,7,PMPI_Send,PMPI_Recv,0.001053,0.001065
7,1,PMPI_Send,PMPI_Recv,0.001065,0.001077
1,8,PMPI_Send,PMPI_Recv,0.001077,0.001088
8,1,PMPI_Send,PMPI_Recv,0.001088,0.0011
1,9,PMPI_Send,PMPI_Recv,0.0011,0.001112
9,1,PMPI_Send,PMPI_Recv,0.001112,0.001124
1,10,PMPI_Send,PMPI_Recv,0.001124,0.001136
10,1,PMPI_Send,PMPI_Recv,0.001136,0.001148
1,11,PMPI_Send,PMPI_Recv,0.001148,0.001159
11,1,PMPI_Send,PMPI_Recv,0.001159,0.001171
1,12,PMPI_Send,PMPI_Recv,0.001171,0.001183
12,1,PMPI_Send,PMPI_Recv,0.001183,0.001195
1,13,PMPI_Send,PMPI_Recv,0.001195,0.001211
13,1,PMPI_Send,PMPI_Recv,0.001211,0.001222
1,14,PMPI_Send,PMPI_Recv,0.001222,0.001238
14,1,PMPI_Send,PMPI_Recv,0.001238,0.00125
1,15,PMPI_Send,PMPI_Recv,0.00125,0.001266
15,1,PMPI_Send,PMPI_Recv,0.001266,0.001278
1,16,PMPI_Send,PMPI_Recv,0.001278,0.001293
16,1,PMPI_Send,PMPI_Recv,0.001293,0.001305
1,2,PMPI_Send,PMPI_Recv,0.001305,0.001313
2,1,PMPI_Send,PMPI_Recv,0.001313,0.001321
1,3,PMPI_Send,PMPI_Recv,0.001321,0.001329
3,1,PMPI_Send,PMPI_Recv,0.001329,0.001337
1,4,PMPI_Send,PMPI_Recv,0.001337,0.001345
4,1,PMPI_Send,PMPI_Recv,0.001345,0.001353
1,5,PMPI_Send,PMPI_Recv,0.001353,0.001364
5,1,PMPI_Send,PMPI_Recv,0.001365,0.001377
1,6,PMPI_Send,PMPI_Recv,0.001377,0.001389
6,1,PMPI_Send,PMPI_Recv,0.001389,0.001401
1,7,PMPI_Send,PMPI_Recv,0.001401,0.001413
7,1,PMPI_Send,PMPI_Recv,0.001413,0.001425
1,8,PMPI_Send,PMPI_Recv,0.001425,0.001436
8,1,PMPI_Send,PMPI_Recv,0.001436,0.001448
1,9,PMPI_Send,PMPI_Recv,0.001448,0.00146
9,1,PMPI_Send,PMPI_Recv,0.00146,0.001472
1,10,PMPI_Send,PMPI_Recv,0.001472,0.001484
10,1,PMPI_Send,PMPI_Recv,0.001484,0.001496
1,11,PMPI_Send,PMPI_Recv,0.001496,0.001507
11,1,PMPI_Send,PMPI_Recv,0.001507,0.001519
1,12,PMPI_Send,PMPI_Recv,0.001519,0.001531
12,1,PMPI_Send,PMPI_Recv,0.001531,0.001543
1,13,PMPI_Send,PMPI_Recv,0.001543,0.001559
13,1,PMPI_Send,PMPI_Recv,0.001559,0.00157
1,14,PMPI_Send,PMPI_Recv,0.00157,0.001586
14,1,PMPI_Send,PMPI_Recv,0.001586,0.001598
1,15,PMPI_Send,PMPI_Recv,0.001598,0.001614
15,1,PMPI_Send,PMPI_Recv,0.001614,0.001626
1,16,PMPI_Send,PMPI_Recv,0.001626,0.001641
16,1,PMPI_Send,PMPI_Recv,0.001641,0.001653
1,2,PMPI_Send,PMPI_Recv,0.001653,0.001661
2,1,PMPI_Send,PMPI_Recv,0.001661,0.001669
1,3,PMPI_Send,PMPI_Recv,0.001669,0.001677
3,1,PMPI_Send,PMPI_Recv,0.001677,0.001685
1,4,PMPI_Send,PMPI_Recv,0.001685,0.001693
4,1,PMPI_Send,PMPI_Recv,0.001693,0.001701
1,5,PMPI_Send,PMPI_Recv,0.001701,0.001713
5,1,PMPI_Send,PMPI_Recv,0.001713,0.001724
1,6,PMPI_Send,PMPI_Recv,0.001724,0.001736
6,1,PMPI_Send,PMPI_Recv,0.001736,0.001748
1,7,PMPI_Send,PMPI_Recv,0.001748,0.00176
7,1,PMPI_Send,PMPI_Recv,0.00176,0.001772
1,8,PMPI_Send,PMPI_Recv,0.001772,0.001784
8,1,PMPI_Send,PMPI_Recv,0.001784,0.001795
1,9,PMPI_Send,PMPI_Recv,0.001795,0.001807
9,1,PMPI_Send,PMPI_Recv,0.001807,0.001819
