Rank Origem,Rank Destino,Ação da Origem,Estado do Destino,Tempo Inicial,Tempo Final
1,2,PMPI_Send,PMPI_Recv,0.000536,0.001732
2,1,PMPI_Send,PMPI_Recv,0.001734,0.00293
1,3,PMPI_Send,PMPI_Recv,0.00293,0.004126
3,1,PMPI_Send,PMPI_Recv,0.004127,0.005323
1,4,PMPI_Send,PMPI_Recv,0.005324,0.00652
4,1,PMPI_Send,PMPI_Recv,0.006521,0.007717
1,5,PMPI_Send,PMPI_Recv,0.007717,0.008913
5,1,PMPI_Send,PMPI_Recv,0.008915,0.01011
1,6,PMPI_Send,PMPI_Recv,0.01011,0.011306
6,1,PMPI_Send,PMPI_Recv,0.011308,0.012503
1,7,PMPI_Send,PMPI_Recv,0.012503,0.013699
7,1,PMPI_Send,PMPI_Recv,0.013701,0.014896
1,8,PMPI_Send,PMPI_Recv,0.014896,0.016092
8,1,PMPI_Send,PMPI_Recv,0.016093,0.017289
1,9,PMPI_Send,PMPI_Recv,0.017289,0.018485
9,1,PMPI_Send,PMPI_Recv,0.018486,0.019682
1,10,PMPI_Send,PMPI_Recv,0.019682,0.020878
10,1,PMPI_Send,PMPI_Recv,0.020879,0.022075
1,11,PMPI_Send,PMPI_Recv,0.022075,0.023271
11,1,PMPI_Send,PMPI_Recv,0.023272,0.024468
1,12,PMPI_Send,PMPI_Recv,0.024468,0.025663
12,1,PMPI_Send,PMPI_Recv,0.025665,0.026861
1,13,PMPI_Send,PMPI_Recv,0.026861,0.028056
13,1,PMPI_Send,PMPI_Recv,0.028058,0.029253
1,14,PMPI_Send,PMPI_Recv,0.029253,0.030449
14,1,PMPI_Send,PMPI_Recv,0.03045,0.031646
1,15,PMPI_Send,PMPI_Recv,0.031646,0.032842
15,1,PMPI_Send,PMPI_Recv,0.032843,0.034039
1,16,PMPI_Send,PMPI_Recv,0.034039,0.035235
16,1,PMPI_Send,PMPI_Recv,0.035236,0.036432
1,2,PMPI_Send,PMPI_Recv,0.036432,0.037627
2,1,PMPI_Send,PMPI_Recv,0.037627,0.038823
1,3,PMPI_Send,PMPI_Recv,0.038823,0.040019
3,1,PMPI_Send,PMPI_Recv,0.040019,0.041215
1,4,PMPI_Send,PMPI_Recv,0.041215,0.04241
4,1,PMPI_Send,PMPI_Recv,0.04241,0.043606
1,5,PMPI_Send,PMPI_Recv,0.043606,0.044802
5,1,PMPI_Send,PMPI_Recv,0.044802,0.045998
1,6,PMPI_Send,PMPI_Recv,0.045998,0.047193
6,1,PMPI_Send,PMPI_Recv,0.047193,0.048389
1,7,PMPI_Send,PMPI_Recv,0.048389,0.049585
7,1,PMPI_Send,PMPI_Recv,0.049585,0.05078
1,8,PMPI_Send,PMPI_Recv,0.05078,0.051976
8,1,PMPI_Send,PMPI_Recv,0.051976,0.053172
1,9,PMPI_Send,PMPI_Recv,0.053172,0.054368
9,1,PMPI_Send,PMPI_Recv,0.054368,0.055563
1,10,PMPI_Send,PMPI_Recv,0.055563,0.056759
10,1,PMPI_Send,PMPI_Recv,0.056759,0.057955
1,11,PMPI_Send,PMPI_Recv,0.057955,0.059151
11,1,PMPI_Send,PMPI_Recv,0.059151,0.060346
1,12,PMPI_Send,PMPI_Recv,0.060346,0.061542
12,1,PMPI_Send,PMPI_Recv,0.061542,0.062738
1,13,PMPI_Send,PMPI_Recv,0.062738,0.063933
13,1,PMPI_Send,PMPI_Recv,0.063933,0.065129
1,14,PMPI_Send,PMPI_Recv,0.065129,0.066325
14,1,PMPI_Send,PMPI_Recv,0.066325,0.067521
1,15,PMPI_Send,PMPI_Recv,0.067521,0.068716
15,1,PMPI_Send,PMPI_Recv,0.068716,0.069912
1,16,PMPI_Send,PMPI_Recv,0.069912,0.071108
16,1,PMPI_Send,PMPI_Recv,0.071108,0.072303
1,2,PMPI_Send,PMPI_Recv,0.072303,0.073499
2,1,PMPI_Send,PMPI_Recv,0.073499,0.074695
1,3,PMPI_Send,PMPI_Recv,0.074695,0.075891
3,1,PMPI_Send,PMPI_Recv,0.075891,0.077086
1,4,PMPI_Send,PMPI_Recv,0.077086,0.078282
4,1,PMPI_Send,PMPI_Recv,0.078282,0.079478
1,5,PMPI_Send,PMPI_Recv,0.079478,0.080674
5,1,PMPI_Send,PMPI_Recv,0.080674,0.081869
1,6,PMPI_Send,PMPI_Recv,0.081869,0.083065
6,1,PMPI_Send,PMPI_Recv,0.083065,0.084261
1,7,PMPI_Send,PMPI_Recv,0.084261,0.085456
7,1,PMPI_Send,PMPI_Recv,0.085456,0.086652
1,8,PMPI_Send,PMPI_Recv,0.086652,0.087848
8,1,PMPI_Send,PMPI_Recv,0.087848,0.089044
1,9,PMPI_Send,PMPI_Recv,0.089044,0.090239
9,1,PMPI_Send,PMPI_Recv,0.090239,0.091435
1,10,PMPI_Send,PMPI_Recv,0.091435,0.092631
10,1,PMPI_Send,PMPI_Recv,0.092631,0.093827
1,11,PMPI_Send,PMPI_Recv,0.093827,0.095022
11,1,PMPI_Send,PMPI_Recv,0.095022,0.096218
1,12,PMPI_Send,PMPI_Recv,0.096218,0.097414
12,1,PMPI_Send,PMPI_Recv,0.097414,0.098609
1,13,PMPI_Send,PMPI_Recv,0.098609,0.099805
13,1,PMPI_Send,PMPI_Recv,0.099805,0.101001
1,14,PMPI_Send,PMPI_Recv,0.101001,0.102197
14,1,PMPI_Send,PMPI_Recv,0.102197,0.103392
1,15,PMPI_Send,PMPI_Recv,0.103392,0.104588
15,1,PMPI_Send,PMPI_Recv,0.104588,0.105784
1,16,PMPI_Send,PMPI_Recv,0.105784,0.10698
16,1,PMPI_Send,PMPI_Recv,0.10698,0.108175
1,2,PMPI_Send,PMPI_Recv,0.108175,0.109371
2,1,PMPI_Send,PMPI_Recv,0.109371,0.110567
1,3,PMPI_Send,PMPI_Recv,0.110567,0.111762
3,1,PMPI_Send,PMPI_Recv,0.111762,0.112958
1,4,PMPI_Send,PMPI_Recv,0.112958,0.114154
4,1,PMPI_Send,PMPI_Recv,0.114154,0.11535
1,5,PMPI_Send,PMPI_Recv,0.11535,0.116545
5,1,PMPI_Send,PMPI_Recv,0.116545,0.117741
1,6,PMPI_Send,PMPI_Recv,0.117741,0.118937
6,1,PMPI_Send,PMPI_Recv,0.118937,0.120132
1,7,PMPI_Send,PMPI_Recv,0.120132,0.121328
7,1,PMPI_Send,PMPI_Recv,0.121328,0.122524
1,8,PMPI_Send,PMPI_Recv,0.122524,0.12372
8,1,PMPI_Send,PMPI_Recv,0.12372,0.124915
1,9,PMPI_Send,PMPI_Recv,0.124915,0.126111
9,1,PMPI_Send,PMPI_Recv,0.126111,0.127307
1,10,PMPI_Send,PMPI_Recv,0.127307,0.128503
10,1,PMPI_Send,PMPI_Recv,0.128503,0.129698
1,11,PMPI_Send,PMPI_Recv,0.129698,0.130894
11,1,PMPI_Send,PMPI_Recv,0.130894,0.13209
1,12,PMPI_Send,PMPI_Recv,0.13209,0.133285
12,1,PMPI_Send,PMPI_Recv,0.133285,0.134481
1,13,PMPI_Send,PMPI_Recv,0.134481,0.135677
13,1,PMPI_Send,PMPI_Recv,0.135677,0.136873
1,14,PMPI_Send,PMPI_Recv,0.136873,0.138068
14,1,PMPI_Send,PMPI_Recv,0.138068,0.139264
1,15,PMPI_Send,PMPI_Recv,0.139264,0.14046
15,1,PMPI_Send,PMPI_Recv,0.14046,0.141656
1,16,PMPI_Send,PMPI_Recv,0.141656,0.142851
16,1,PMPI_Send,PMPI_Recv,0.142851,0.144047
1,2,PMPI_Send,PMPI_Recv,0.144047,0.145243
2,1,PMPI_Send,PMPI_Recv,0.145243,0.146438
1,3,PMPI_Send,PMPI_Recv,0.146438,0.147634
3,1,PMPI_Send,PMPI_Recv,0.147634,0.14883
1,4,PMPI_Send,PMPI_Recv,0.14883,0.150026
4,1,PMPI_Send,PMPI_Recv,0.150026,0.151221
