Rank Origem,Rank Destino,Ação da Origem,Estado do Destino,Tempo Inicial,Tempo Final
1,2,PMPI_Send,PMPI_Recv,0.000701,0.000719
2,1,PMPI_Send,PMPI_Recv,0.000722,0.00074
1,3,PMPI_Send,PMPI_Recv,0.000741,0.000759
3,1,PMPI_Send,PMPI_Recv,0.000765,0.000783
1,4,PMPI_Send,PMPI_Recv,0.000783,0.000801
4,1,PMPI_Send,PMPI_Recv,0.000803,0.000821
1,5,PMPI_Send,PMPI_Recv,0.000821,0.000839
5,1,PMPI_Send,PMPI_Recv,0.000841,0.000859
1,6,PMPI_Send,PMPI_Recv,0.000859,0.000877
6,1,PMPI_Send,PMPI_Recv,0.000879,0.000897
1,7,PMPI_Send,PMPI_Recv,0.000897,0.000914
7,1,PMPI_Send,PMPI_Recv,0.000917,0.000934
1,8,PMPI_Send,PMPI_Recv,0.000934,0.000952
8,1,PMPI_Send,PMPI_Recv,0.000954,0.000972
1,9,PMPI_Send,PMPI_Recv,0.000972,0.000989
9,1,PMPI_Send,PMPI_Recv,0.000991,0.001009
1,10,PMPI_Send,PMPI_Recv,0.001009,0.001027
10,1,PMPI_Send,PMPI_Recv,0.001029,0.001047
1,11,PMPI_Send,PMPI_Recv,0.001047,0.001064
11,1,PMPI_Send,PMPI_Recv,0.001066,0.001084
1,12,PMPI_Send,PMPI_Recv,0.001084,0.001102
12,1,PMPI_Send,PMPI_Recv,0.001104,0.001122
1,13,PMPI_Send,PMPI_Recv,0.001122,0.001139
13,1,PMPI_Send,PMPI_Recv,0.001141,0.001159
1,14,PMPI_Send,PMPI_Recv,0.001159,0.001176
14,1,PMPI_Send,PMPI_Recv,0.001178,0.001196
1,15,PMPI_Send,PMPI_Recv,0.001196,0.001214
15,1,PMPI_Send,PMPI_Recv,0.001215,0.001233
1,16,PMPI_Send,PMPI_Recv,0.001233,0.001251
16,1,PMPI_Send,PMPI_Recv,0.001252,0.00127
1,17,PMPI_Send,PMPI_Recv,0.00127,0.001288
17,1,PMPI_Send,PMPI_Recv,0.001289,0.001307
1,18,PMPI_Send,PMPI_Recv,0.001307,0.001325
18,1,PMPI_Send,PMPI_Recv,0.001326,0.001344
1,19,PMPI_Send,PMPI_Recv,0.001344,0.001362
19,1,PMPI_Send,PMPI_Recv,0.001364,0.001381
1,20,PMPI_Send,PMPI_Recv,0.001382,0.0014
20,1,PMPI_Send,PMPI_Recv,0.001402,0.001419
1,21,PMPI_Send,PMPI_Recv,0.001419,0.001437
21,1,PMPI_Send,PMPI_Recv,0.001439,0.001457
1,22,PMPI_Send,PMPI_Recv,0.001457,0.001474
22,1,PMPI_Send,PMPI_Recv,0.001476,0.001494
1,23,PMPI_Send,PMPI_Recv,0.001494,0.001511
23,1,PMPI_Send,PMPI_Recv,0.001513,0.001531
1,24,PMPI_Send,PMPI_Recv,0.001531,0.001548
24,1,PMPI_Send,PMPI_Recv,0.00155,0.001568
1,25,PMPI_Send,PMPI_Recv,0.001568,0.001585
25,1,PMPI_Send,PMPI_Recv,0.001587,0.001604
1,26,PMPI_Send,PMPI_Recv,0.001604,0.001622
26,1,PMPI_Send,PMPI_Recv,0.001624,0.001641
1,27,PMPI_Send,PMPI_Recv,0.001641,0.001659
27,1,PMPI_Send,PMPI_Recv,0.001661,0.001678
1,28,PMPI_Send,PMPI_Recv,0.001678,0.001696
28,1,PMPI_Send,PMPI_Recv,0.001697,0.001715
1,29,PMPI_Send,PMPI_Recv,0.001715,0.001733
29,1,PMPI_Send,PMPI_Recv,0.001734,0.001752
1,30,PMPI_Send,PMPI_Recv,0.001752,0.00177
30,1,PMPI_Send,PMPI_Recv,0.001771,0.001789
1,31,PMPI_Send,PMPI_Recv,0.001789,0.001806
31,1,PMPI_Send,PMPI_Recv,0.001808,0.001825
1,32,PMPI_Send,PMPI_Recv,0.001825,0.001843
32,1,PMPI_Send,PMPI_Recv,0.001845,0.001862
1,2,PMPI_Send,PMPI_Recv,0.001863,0.001881
2,1,PMPI_Send,PMPI_Recv,0.001881,0.001899
1,3,PMPI_Send,PMPI_Recv,0.001899,0.001916
3,1,PMPI_Send,PMPI_Recv,0.001916,0.001934
1,4,PMPI_Send,PMPI_Recv,0.001934,0.001952
4,1,PMPI_Send,PMPI_Recv,0.001952,0.001969
1,5,PMPI_Send,PMPI_Recv,0.001969,0.001987
