Rank Origem,Rank Destino,Ação da Origem,Estado do Destino,Tempo Inicial,Tempo Final
1,2,PMPI_Send,PMPI_Recv,0.000442,0.000661
2,1,PMPI_Send,PMPI_Recv,0.000664,0.000883
1,3,PMPI_Send,PMPI_Recv,0.000883,0.001103
3,1,PMPI_Send,PMPI_Recv,0.001105,0.001325
1,4,PMPI_Send,PMPI_Recv,0.001325,0.001544
4,1,PMPI_Send,PMPI_Recv,0.001546,0.001766
1,5,PMPI_Send,PMPI_Recv,0.001766,0.00218
5,1,PMPI_Send,PMPI_Recv,0.002182,0.002596
1,6,PMPI_Send,PMPI_Recv,0.002596,0.003011
6,1,PMPI_Send,PMPI_Recv,0.003013,0.003427
1,7,PMPI_Send,PMPI_Recv,0.003427,0.003842
7,1,PMPI_Send,PMPI_Recv,0.003844,0.004258
1,8,PMPI_Send,PMPI_Recv,0.004258,0.004672
8,1,PMPI_Send,PMPI_Recv,0.004674,0.005089
1,9,PMPI_Send,PMPI_Recv,0.005089,0.005503
9,1,PMPI_Send,PMPI_Recv,0.005505,0.005919
1,10,PMPI_Send,PMPI_Recv,0.005919,0.006334
10,1,PMPI_Send,PMPI_Recv,0.006336,0.00675
1,11,PMPI_Send,PMPI_Recv,0.00675,0.007165
11,1,PMPI_Send,PMPI_Recv,0.007167,0.007581
1,12,PMPI_Send,PMPI_Recv,0.007581,0.007995
12,1,PMPI_Send,PMPI_Recv,0.007997,0.008411
1,13,PMPI_Send,PMPI_Recv,0.008411,0.008826
13,1,PMPI_Send,PMPI_Recv,0.008827,0.009242
1,14,PMPI_Send,PMPI_Recv,0.009242,0.009656
14,1,PMPI_Send,PMPI_Recv,0.009658,0.010072
1,15,PMPI_Send,PMPI_Recv,0.010072,0.010487
15,1,PMPI_Send,PMPI_Recv,0.010488,0.010903
1,16,PMPI_Send,PMPI_Recv,0.010903,0.011317
16,1,PMPI_Send,PMPI_Recv,0.011318,0.011733
1,17,PMPI_Send,PMPI_Recv,0.011733,0.012342
17,1,PMPI_Send,PMPI_Recv,0.012344,0.012953
1,18,PMPI_Send,PMPI_Recv,0.012953,0.013563
18,1,PMPI_Send,PMPI_Recv,0.013564,0.014174
1,19,PMPI_Send,PMPI_Recv,0.014174,0.014783
19,1,PMPI_Send,PMPI_Recv,0.014785,0.015394
1,20,PMPI_Send,PMPI_Recv,0.015394,0.016004
20,1,PMPI_Send,PMPI_Recv,0.016005,0.016614
1,21,PMPI_Send,PMPI_Recv,0.016614,0.017224
21,1,PMPI_Send,PMPI_Recv,0.017226,0.017835
1,22,PMPI_Send,PMPI_Recv,0.017835,0.018444
22,1,PMPI_Send,PMPI_Recv,0.018446,0.019055
1,23,PMPI_Send,PMPI_Recv,0.019055,0.019665
23,1,PMPI_Send,PMPI_Recv,0.019666,0.020276
1,24,PMPI_Send,PMPI_Recv,0.020276,0.020885
24,1,PMPI_Send,PMPI_Recv,0.020886,0.021496
1,25,PMPI_Send,PMPI_Recv,0.021496,0.022105
25,1,PMPI_Send,PMPI_Recv,0.022106,0.022716
1,26,PMPI_Send,PMPI_Recv,0.022716,0.023325
26,1,PMPI_Send,PMPI_Recv,0.023327,0.023936
1,27,PMPI_Send,PMPI_Recv,0.023936,0.024545
27,1,PMPI_Send,PMPI_Recv,0.024547,0.025156
1,28,PMPI_Send,PMPI_Recv,0.025156,0.025766
28,1,PMPI_Send,PMPI_Recv,0.025767,0.026376
1,29,PMPI_Send,PMPI_Recv,0.026376,0.026986
29,1,PMPI_Send,PMPI_Recv,0.026987,0.027597
1,30,PMPI_Send,PMPI_Recv,0.027597,0.028206
30,1,PMPI_Send,PMPI_Recv,0.028207,0.028817
1,31,PMPI_Send,PMPI_Recv,0.028817,0.029426
31,1,PMPI_Send,PMPI_Recv,0.029427,0.030037
1,32,PMPI_Send,PMPI_Recv,0.030037,0.030646
32,1,PMPI_Send,PMPI_Recv,0.030647,0.031257
1,2,PMPI_Send,PMPI_Recv,0.031257,0.031476
2,1,PMPI_Send,PMPI_Recv,0.031476,0.031695
1,3,PMPI_Send,PMPI_Recv,0.031695,0.031915
3,1,PMPI_Send,PMPI_Recv,0.031915,0.032134
1,4,PMPI_Send,PMPI_Recv,0.032134,0.032354
4,1,PMPI_Send,PMPI_Recv,0.032354,0.032573
1,5,PMPI_Send,PMPI_Recv,0.032573,0.032987
5,1,PMPI_Send,PMPI_Recv,0.032987,0.033402
1,6,PMPI_Send,PMPI_Recv,0.033402,0.033816
6,1,PMPI_Send,PMPI_Recv,0.033816,0.03423
1,7,PMPI_Send,PMPI_Recv,0.03423,0.034645
7,1,PMPI_Send,PMPI_Recv,0.034645,0.035059
1,8,PMPI_Send,PMPI_Recv,0.035059,0.035474
8,1,PMPI_Send,PMPI_Recv,0.035474,0.035888
1,9,PMPI_Send,PMPI_Recv,0.035888,0.036302
9,1,PMPI_Send,PMPI_Recv,0.036302,0.036717
1,10,PMPI_Send,PMPI_Recv,0.036717,0.037131
10,1,PMPI_Send,PMPI_Recv,0.037131,0.037546
1,11,PMPI_Send,PMPI_Recv,0.037546,0.03796
11,1,PMPI_Send,PMPI_Recv,0.03796,0.038374
1,12,PMPI_Send,PMPI_Recv,0.038374,0.038789
12,1,PMPI_Send,PMPI_Recv,0.038789,0.039203
1,13,PMPI_Send,PMPI_Recv,0.039203,0.039617
13,1,PMPI_Send,PMPI_Recv,0.039617,0.040032
1,14,PMPI_Send,PMPI_Recv,0.040032,0.040446
14,1,PMPI_Send,PMPI_Recv,0.040446,0.040861
1,15,PMPI_Send,PMPI_Recv,0.040861,0.041275
15,1,PMPI_Send,PMPI_Recv,0.041275,0.041689
1,16,PMPI_Send,PMPI_Recv,0.041689,0.042104
16,1,PMPI_Send,PMPI_Recv,0.042104,0.042518
1,17,PMPI_Send,PMPI_Recv,0.042518,0.043128
