Rank Origem,Rank Destino,Ação da Origem,Estado do Destino,Tempo Inicial,Tempo Final
1,2,PMPI_Send,PMPI_Recv,0.000435,0.000443
2,1,PMPI_Send,PMPI_Recv,0.000445,0.000453
1,3,PMPI_Send,PMPI_Recv,0.000453,0.000461
3,1,PMPI_Send,PMPI_Recv,0.000462,0.00047
1,4,PMPI_Send,PMPI_Recv,0.00047,0.000478
4,1,PMPI_Send,PMPI_Recv,0.00048,0.000488
1,5,PMPI_Send,PMPI_Recv,0.000488,0.000504
5,1,PMPI_Send,PMPI_Recv,0.000505,0.000521
1,6,PMPI_Send,PMPI_Recv,0.000521,0.000537
6,1,PMPI_Send,PMPI_Recv,0.000538,0.000554
1,7,PMPI_Send,PMPI_Recv,0.000554,0.00057
7,1,PMPI_Send,PMPI_Recv,0.000571,0.000587
1,8,PMPI_Send,PMPI_Recv,0.000587,0.000602
8,1,PMPI_Send,PMPI_Recv,0.000604,0.00062
1,9,PMPI_Send,PMPI_Recv,0.00062,0.000635
9,1,PMPI_Send,PMPI_Recv,0.000666,0.000682
1,10,PMPI_Send,PMPI_Recv,0.000682,0.000698
10,1,PMPI_Send,PMPI_Recv,0.000699,0.000715
1,11,PMPI_Send,PMPI_Recv,0.000715,0.000731
11,1,PMPI_Send,PMPI_Recv,0.000732,0.000748
1,12,PMPI_Send,PMPI_Recv,0.000748,0.000764
12,1,PMPI_Send,PMPI_Recv,0.000765,0.000781
1,13,PMPI_Send,PMPI_Recv,0.000781,0.000796
13,1,PMPI_Send,PMPI_Recv,0.000798,0.000813
1,14,PMPI_Send,PMPI_Recv,0.000813,0.000829
14,1,PMPI_Send,PMPI_Recv,0.00083,0.000846
1,15,PMPI_Send,PMPI_Recv,0.000846,0.000862
15,1,PMPI_Send,PMPI_Recv,0.000863,0.000879
1,16,PMPI_Send,PMPI_Recv,0.000879,0.000894
16,1,PMPI_Send,PMPI_Recv,0.000896,0.000911
1,2,PMPI_Send,PMPI_Recv,0.000911,0.000919
2,1,PMPI_Send,PMPI_Recv,0.000919,0.000927
1,3,PMPI_Send,PMPI_Recv,0.000927,0.000935
3,1,PMPI_Send,PMPI_Recv,0.000935,0.000943
1,4,PMPI_Send,PMPI_Recv,0.000943,0.000951
4,1,PMPI_Send,PMPI_Recv,0.000951,0.000959
1,5,PMPI_Send,PMPI_Recv,0.000959,0.000975
5,1,PMPI_Send,PMPI_Recv,0.000975,0.00099
1,6,PMPI_Send,PMPI_Recv,0.00099,0.001006
6,1,PMPI_Send,PMPI_Recv,0.001006,0.001022
1,7,PMPI_Send,PMPI_Recv,0.001022,0.001038
7,1,PMPI_Send,PMPI_Recv,0.001038,0.001053
1,8,PMPI_Send,PMPI_Recv,0.001053,0.001069
8,1,PMPI_Send,PMPI_Recv,0.001069,0.001085
1,9,PMPI_Send,PMPI_Recv,0.001085,0.0011
9,1,PMPI_Send,PMPI_Recv,0.0011,0.001116
1,10,PMPI_Send,PMPI_Recv,0.001116,0.001132
10,1,PMPI_Send,PMPI_Recv,0.001132,0.001148
1,11,PMPI_Send,PMPI_Recv,0.001148,0.001163
11,1,PMPI_Send,PMPI_Recv,0.001163,0.001179
1,12,PMPI_Send,PMPI_Recv,0.001179,0.001195
12,1,PMPI_Send,PMPI_Recv,0.001195,0.00121
1,13,PMPI_Send,PMPI_Recv,0.00121,0.001226
13,1,PMPI_Send,PMPI_Recv,0.001226,0.001242
1,14,PMPI_Send,PMPI_Recv,0.001242,0.001258
14,1,PMPI_Send,PMPI_Recv,0.001258,0.001273
1,15,PMPI_Send,PMPI_Recv,0.001273,0.001289
15,1,PMPI_Send,PMPI_Recv,0.001289,0.001305
1,16,PMPI_Send,PMPI_Recv,0.001305,0.001321
16,1,PMPI_Send,PMPI_Recv,0.001321,0.001336
1,2,PMPI_Send,PMPI_Recv,0.001336,0.001344
2,1,PMPI_Send,PMPI_Recv,0.001344,0.001352
1,3,PMPI_Send,PMPI_Recv,0.001352,0.00136
3,1,PMPI_Send,PMPI_Recv,0.00136,0.001368
1,4,PMPI_Send,PMPI_Recv,0.001368,0.001376
4,1,PMPI_Send,PMPI_Recv,0.001376,0.001384
1,5,PMPI_Send,PMPI_Recv,0.001384,0.0014
5,1,PMPI_Send,PMPI_Recv,0.0014,0.001415
1,6,PMPI_Send,PMPI_Recv,0.001415,0.001431
6,1,PMPI_Send,PMPI_Recv,0.001431,0.001447
1,7,PMPI_Send,PMPI_Recv,0.001448,0.001463
7,1,PMPI_Send,PMPI_Recv,0.001463,0.001479
1,8,PMPI_Send,PMPI_Recv,0.001479,0.001495
8,1,PMPI_Send,PMPI_Recv,0.001495,0.001511
1,9,PMPI_Send,PMPI_Recv,0.001511,0.001526
9,1,PMPI_Send,PMPI_Recv,0.001526,0.001542
1,10,PMPI_Send,PMPI_Recv,0.001542,0.001558
10,1,PMPI_Send,PMPI_Recv,0.001558,0.001573
1,11,PMPI_Send,PMPI_Recv,0.001573,0.001589
11,1,PMPI_Send,PMPI_Recv,0.001589,0.001605
1,12,PMPI_Send,PMPI_Recv,0.001605,0.001621
12,1,PMPI_Send,PMPI_Recv,0.001621,0.001636
1,13,PMPI_Send,PMPI_Recv,0.001636,0.001652
13,1,PMPI_Send,PMPI_Recv,0.001652,0.001668
1,14,PMPI_Send,PMPI_Recv,0.001668,0.001684
14,1,PMPI_Send,PMPI_Recv,0.001684,0.001699
1,15,PMPI_Send,PMPI_Recv,0.001699,0.001715
15,1,PMPI_Send,PMPI_Recv,0.001715,0.001731
1,16,PMPI_Send,PMPI_Recv,0.001731,0.001746
16,1,PMPI_Send,PMPI_Recv,0.001746,0.001762
1,2,PMPI_Send,PMPI_Recv,0.001762,0.00177
2,1,PMPI_Send,PMPI_Recv,0.00177,0.001778
1,3,PMPI_Send,PMPI_Recv,0.001778,0.001786
3,1,PMPI_Send,PMPI_Recv,0.001786,0.001794
1,4,PMPI_Send,PMPI_Recv,0.001794,0.001802
4,1,PMPI_Send,PMPI_Recv,0.001802,0.00181
1,5,PMPI_Send,PMPI_Recv,0.00181,0.001825
5,1,PMPI_Send,PMPI_Recv,0.001825,0.001841
1,6,PMPI_Send,PMPI_Recv,0.001841,0.001857
6,1,PMPI_Send,PMPI_Recv,0.001857,0.001873
1,7,PMPI_Send,PMPI_Recv,0.001873,0.001888
7,1,PMPI_Send,PMPI_Recv,0.001888,0.001904
1,8,PMPI_Send,PMPI_Recv,0.001904,0.00192
8,1,PMPI_Send,PMPI_Recv,0.00192,0.001936
1,9,PMPI_Send,PMPI_Recv,0.001936,0.001951
9,1,PMPI_Send,PMPI_Recv,0.001951,0.001967
1,10,PMPI_Send,PMPI_Recv,0.001967,0.001983
10,1,PMPI_Send,PMPI_Recv,0.001983,0.001998
1,11,PMPI_Send,PMPI_Recv,0.001998,0.002014
11,1,PMPI_Send,PMPI_Recv,0.002014,0.00203
