Rank Origem,Rank Destino,Ação da Origem,Estado do Destino,Tempo Inicial,Tempo Final
1,2,PMPI_Send,PMPI_Recv,0.00045,0.000593
2,1,PMPI_Send,PMPI_Recv,0.000595,0.000717
1,3,PMPI_Send,PMPI_Recv,0.000718,0.000937
3,1,PMPI_Send,PMPI_Recv,0.000939,0.001158
1,4,PMPI_Send,PMPI_Recv,0.001158,0.00128
4,1,PMPI_Send,PMPI_Recv,0.001281,0.001403
1,5,PMPI_Send,PMPI_Recv,0.001403,0.001525
5,1,PMPI_Send,PMPI_Recv,0.001526,0.001648
1,6,PMPI_Send,PMPI_Recv,0.001648,0.001868
6,1,PMPI_Send,PMPI_Recv,0.001869,0.002088
1,7,PMPI_Send,PMPI_Recv,0.002088,0.002405
7,1,PMPI_Send,PMPI_Recv,0.002407,0.002723
1,8,PMPI_Send,PMPI_Recv,0.002723,0.002943
8,1,PMPI_Send,PMPI_Recv,0.002944,0.003164
1,9,PMPI_Send,PMPI_Recv,0.003164,0.003285
9,1,PMPI_Send,PMPI_Recv,0.003287,0.003409
1,10,PMPI_Send,PMPI_Recv,0.003409,0.003628
10,1,PMPI_Send,PMPI_Recv,0.003629,0.003849
1,11,PMPI_Send,PMPI_Recv,0.003849,0.004165
11,1,PMPI_Send,PMPI_Recv,0.004167,0.004484
1,12,PMPI_Send,PMPI_Recv,0.004484,0.004703
12,1,PMPI_Send,PMPI_Recv,0.004704,0.004924
1,13,PMPI_Send,PMPI_Recv,0.004924,0.005143
13,1,PMPI_Send,PMPI_Recv,0.005144,0.005364
1,14,PMPI_Send,PMPI_Recv,0.005364,0.00568
14,1,PMPI_Send,PMPI_Recv,0.005682,0.005999
1,15,PMPI_Send,PMPI_Recv,0.005999,0.006413
15,1,PMPI_Send,PMPI_Recv,0.006414,0.006829
1,16,PMPI_Send,PMPI_Recv,0.006829,0.007145
16,1,PMPI_Send,PMPI_Recv,0.007147,0.007463
1,2,PMPI_Send,PMPI_Recv,0.007463,0.007585
2,1,PMPI_Send,PMPI_Recv,0.007585,0.007707
1,3,PMPI_Send,PMPI_Recv,0.007707,0.007927
3,1,PMPI_Send,PMPI_Recv,0.007927,0.008146
1,4,PMPI_Send,PMPI_Recv,0.008146,0.008268
4,1,PMPI_Send,PMPI_Recv,0.008268,0.00839
1,5,PMPI_Send,PMPI_Recv,0.00839,0.008511
5,1,PMPI_Send,PMPI_Recv,0.008511,0.008633
1,6,PMPI_Send,PMPI_Recv,0.008633,0.008853
6,1,PMPI_Send,PMPI_Recv,0.008853,0.009072
1,7,PMPI_Send,PMPI_Recv,0.009072,0.009389
7,1,PMPI_Send,PMPI_Recv,0.009389,0.009706
1,8,PMPI_Send,PMPI_Recv,0.009706,0.009925
8,1,PMPI_Send,PMPI_Recv,0.009925,0.010144
1,9,PMPI_Send,PMPI_Recv,0.010144,0.010266
9,1,PMPI_Send,PMPI_Recv,0.010266,0.010388
1,10,PMPI_Send,PMPI_Recv,0.010388,0.010607
10,1,PMPI_Send,PMPI_Recv,0.010607,0.010827
1,11,PMPI_Send,PMPI_Recv,0.010827,0.011144
11,1,PMPI_Send,PMPI_Recv,0.011144,0.011461
1,12,PMPI_Send,PMPI_Recv,0.011461,0.01168
12,1,PMPI_Send,PMPI_Recv,0.01168,0.011899
1,13,PMPI_Send,PMPI_Recv,0.011899,0.012119
13,1,PMPI_Send,PMPI_Recv,0.012119,0.012338
1,14,PMPI_Send,PMPI_Recv,0.012338,0.012655
14,1,PMPI_Send,PMPI_Recv,0.012655,0.012972
1,15,PMPI_Send,PMPI_Recv,0.012972,0.013386
15,1,PMPI_Send,PMPI_Recv,0.013386,0.013801
1,16,PMPI_Send,PMPI_Recv,0.013801,0.014117
16,1,PMPI_Send,PMPI_Recv,0.014117,0.014434
1,2,PMPI_Send,PMPI_Recv,0.014434,0.014556
2,1,PMPI_Send,PMPI_Recv,0.014556,0.014678
1,3,PMPI_Send,PMPI_Recv,0.014678,0.014897
3,1,PMPI_Send,PMPI_Recv,0.014897,0.015117
1,4,PMPI_Send,PMPI_Recv,0.015117,0.015239
4,1,PMPI_Send,PMPI_Recv,0.015239,0.01536
1,5,PMPI_Send,PMPI_Recv,0.01536,0.015482
5,1,PMPI_Send,PMPI_Recv,0.015482,0.015604
1,6,PMPI_Send,PMPI_Recv,0.015604,0.015823
6,1,PMPI_Send,PMPI_Recv,0.015823,0.016043
1,7,PMPI_Send,PMPI_Recv,0.016043,0.01636
7,1,PMPI_Send,PMPI_Recv,0.01636,0.016677
1,8,PMPI_Send,PMPI_Recv,0.016677,0.016896
8,1,PMPI_Send,PMPI_Recv,0.016896,0.017115
1,9,PMPI_Send,PMPI_Recv,0.017115,0.017237
9,1,PMPI_Send,PMPI_Recv,0.017237,0.017359
1,10,PMPI_Send,PMPI_Recv,0.017359,0.017578
10,1,PMPI_Send,PMPI_Recv,0.017578,0.017798
1,11,PMPI_Send,PMPI_Recv,0.017798,0.018115
11,1,PMPI_Send,PMPI_Recv,0.018115,0.018431
1,12,PMPI_Send,PMPI_Recv,0.018431,0.018651
12,1,PMPI_Send,PMPI_Recv,0.018651,0.01887
1,13,PMPI_Send,PMPI_Recv,0.01887,0.019089
13,1,PMPI_Send,PMPI_Recv,0.019089,0.019309
1,14,PMPI_Send,PMPI_Recv,0.019309,0.019626
14,1,PMPI_Send,PMPI_Recv,0.019626,0.019943
1,15,PMPI_Send,PMPI_Recv,0.019943,0.020357
15,1,PMPI_Send,PMPI_Recv,0.020357,0.020771
1,16,PMPI_Send,PMPI_Recv,0.020771,0.021088
16,1,PMPI_Send,PMPI_Recv,0.021088,0.021405
