Rank Origem,Rank Destino,Ação da Origem,Estado do Destino,Tempo Inicial,Tempo Final
1,2,PMPI_Send,PMPI_Recv,0.000478,0.00048
2,1,PMPI_Send,PMPI_Recv,0.000482,0.000484
1,3,PMPI_Send,PMPI_Recv,0.000484,0.000488
3,1,PMPI_Send,PMPI_Recv,0.00049,0.000494
1,4,PMPI_Send,PMPI_Recv,0.000494,0.000496
4,1,PMPI_Send,PMPI_Recv,0.000497,0.000499
1,5,PMPI_Send,PMPI_Recv,0.000499,0.000501
5,1,PMPI_Send,PMPI_Recv,0.000502,0.000505
1,6,PMPI_Send,PMPI_Recv,0.000505,0.000509
6,1,PMPI_Send,PMPI_Recv,0.00051,0.000514
1,7,PMPI_Send,PMPI_Recv,0.000514,0.00052
7,1,PMPI_Send,PMPI_Recv,0.000521,0.000527
1,8,PMPI_Send,PMPI_Recv,0.000527,0.000531
8,1,PMPI_Send,PMPI_Recv,0.000533,0.000537
1,9,PMPI_Send,PMPI_Recv,0.000537,0.000541
9,1,PMPI_Send,PMPI_Recv,0.000542,0.000546
1,10,PMPI_Send,PMPI_Recv,0.000546,0.000552
10,1,PMPI_Send,PMPI_Recv,0.000554,0.000559
1,11,PMPI_Send,PMPI_Recv,0.000559,0.000567
11,1,PMPI_Send,PMPI_Recv,0.000569,0.000577
1,12,PMPI_Send,PMPI_Recv,0.000577,0.000623
12,1,PMPI_Send,PMPI_Recv,0.000625,0.000631
1,13,PMPI_Send,PMPI_Recv,0.000631,0.000633
13,1,PMPI_Send,PMPI_Recv,0.000634,0.000636
1,14,PMPI_Send,PMPI_Recv,0.000636,0.00064
14,1,PMPI_Send,PMPI_Recv,0.000641,0.000645
1,15,PMPI_Send,PMPI_Recv,0.000645,0.000651
15,1,PMPI_Send,PMPI_Recv,0.000653,0.000659
1,16,PMPI_Send,PMPI_Recv,0.000659,0.000663
16,1,PMPI_Send,PMPI_Recv,0.000664,0.000668
1,17,PMPI_Send,PMPI_Recv,0.000668,0.00067
17,1,PMPI_Send,PMPI_Recv,0.000671,0.000673
1,18,PMPI_Send,PMPI_Recv,0.000673,0.000677
18,1,PMPI_Send,PMPI_Recv,0.000678,0.000682
1,19,PMPI_Send,PMPI_Recv,0.000682,0.000688
19,1,PMPI_Send,PMPI_Recv,0.00069,0.000696
1,20,PMPI_Send,PMPI_Recv,0.000696,0.0007
20,1,PMPI_Send,PMPI_Recv,0.0007,0.000704
1,21,PMPI_Send,PMPI_Recv,0.000704,0.000708
21,1,PMPI_Send,PMPI_Recv,0.000708,0.000712
1,22,PMPI_Send,PMPI_Recv,0.000712,0.000718
22,1,PMPI_Send,PMPI_Recv,0.000719,0.000725
1,23,PMPI_Send,PMPI_Recv,0.000725,0.000733
23,1,PMPI_Send,PMPI_Recv,0.000734,0.000742
1,24,PMPI_Send,PMPI_Recv,0.000742,0.000748
24,1,PMPI_Send,PMPI_Recv,0.000749,0.000755
1,25,PMPI_Send,PMPI_Recv,0.000755,0.000761
25,1,PMPI_Send,PMPI_Recv,0.000761,0.000767
1,26,PMPI_Send,PMPI_Recv,0.000767,0.000775
26,1,PMPI_Send,PMPI_Recv,0.000776,0.000784
1,27,PMPI_Send,PMPI_Recv,0.000784,0.000794
27,1,PMPI_Send,PMPI_Recv,0.000795,0.000805
1,28,PMPI_Send,PMPI_Recv,0.000805,0.000813
28,1,PMPI_Send,PMPI_Recv,0.000814,0.000822
1,29,PMPI_Send,PMPI_Recv,0.000822,0.000826
29,1,PMPI_Send,PMPI_Recv,0.000827,0.000831
1,30,PMPI_Send,PMPI_Recv,0.000831,0.000837
30,1,PMPI_Send,PMPI_Recv,0.000838,0.000844
1,31,PMPI_Send,PMPI_Recv,0.000844,0.000852
31,1,PMPI_Send,PMPI_Recv,0.000852,0.00086
1,32,PMPI_Send,PMPI_Recv,0.00086,0.000866
32,1,PMPI_Send,PMPI_Recv,0.000866,0.000872
1,33,PMPI_Send,PMPI_Recv,0.000872,0.000876
33,1,PMPI_Send,PMPI_Recv,0.000877,0.000881
1,34,PMPI_Send,PMPI_Recv,0.000881,0.000887
34,1,PMPI_Send,PMPI_Recv,0.000887,0.000893
1,35,PMPI_Send,PMPI_Recv,0.000893,0.000901
35,1,PMPI_Send,PMPI_Recv,0.000901,0.000909
1,36,PMPI_Send,PMPI_Recv,0.000909,0.000915
36,1,PMPI_Send,PMPI_Recv,0.000915,0.000921
1,37,PMPI_Send,PMPI_Recv,0.000921,0.000927
37,1,PMPI_Send,PMPI_Recv,0.000928,0.000934
1,38,PMPI_Send,PMPI_Recv,0.000934,0.000942
38,1,PMPI_Send,PMPI_Recv,0.000943,0.000951
1,39,PMPI_Send,PMPI_Recv,0.000951,0.000961
39,1,PMPI_Send,PMPI_Recv,0.000961,0.000971
1,40,PMPI_Send,PMPI_Recv,0.000971,0.000979
40,1,PMPI_Send,PMPI_Recv,0.00098,0.000988
1,41,PMPI_Send,PMPI_Recv,0.000988,0.000996
41,1,PMPI_Send,PMPI_Recv,0.000997,0.001005
1,42,PMPI_Send,PMPI_Recv,0.001005,0.001015
42,1,PMPI_Send,PMPI_Recv,0.001016,0.001026
1,43,PMPI_Send,PMPI_Recv,0.001026,0.001038
43,1,PMPI_Send,PMPI_Recv,0.001039,0.001051
1,44,PMPI_Send,PMPI_Recv,0.001051,0.001061
44,1,PMPI_Send,PMPI_Recv,0.001061,0.001071
1,45,PMPI_Send,PMPI_Recv,0.001071,0.001077
45,1,PMPI_Send,PMPI_Recv,0.001077,0.001083
1,46,PMPI_Send,PMPI_Recv,0.001083,0.001091
46,1,PMPI_Send,PMPI_Recv,0.001092,0.0011
1,47,PMPI_Send,PMPI_Recv,0.0011,0.00111
47,1,PMPI_Send,PMPI_Recv,0.001111,0.001121
1,48,PMPI_Send,PMPI_Recv,0.001121,0.001129
48,1,PMPI_Send,PMPI_Recv,0.00113,0.001138
1,49,PMPI_Send,PMPI_Recv,0.001138,0.00114
49,1,PMPI_Send,PMPI_Recv,0.001141,0.001143
1,50,PMPI_Send,PMPI_Recv,0.001143,0.001147
50,1,PMPI_Send,PMPI_Recv,0.001148,0.001152
1,51,PMPI_Send,PMPI_Recv,0.001152,0.001158
51,1,PMPI_Send,PMPI_Recv,0.00116,0.001166
1,52,PMPI_Send,PMPI_Recv,0.001166,0.00117
52,1,PMPI_Send,PMPI_Recv,0.001171,0.001175
1,53,PMPI_Send,PMPI_Recv,0.001175,0.001179
53,1,PMPI_Send,PMPI_Recv,0.00118,0.001184
1,54,PMPI_Send,PMPI_Recv,0.001184,0.00119
54,1,PMPI_Send,PMPI_Recv,0.00119,0.001196
1,55,PMPI_Send,PMPI_Recv,0.001196,0.001204
55,1,PMPI_Send,PMPI_Recv,0.001204,0.001212
1,56,PMPI_Send,PMPI_Recv,0.001212,0.001218
56,1,PMPI_Send,PMPI_Recv,0.001218,0.001224
1,57,PMPI_Send,PMPI_Recv,0.001224,0.00123
57,1,PMPI_Send,PMPI_Recv,0.00123,0.001236
1,58,PMPI_Send,PMPI_Recv,0.001236,0.001244
58,1,PMPI_Send,PMPI_Recv,0.001245,0.001253
1,59,PMPI_Send,PMPI_Recv,0.001253,0.001263
59,1,PMPI_Send,PMPI_Recv,0.001263,0.001273
1,60,PMPI_Send,PMPI_Recv,0.001273,0.001281
60,1,PMPI_Send,PMPI_Recv,0.001282,0.00129
1,61,PMPI_Send,PMPI_Recv,0.00129,0.001294
61,1,PMPI_Send,PMPI_Recv,0.001295,0.001299
1,62,PMPI_Send,PMPI_Recv,0.001299,0.001305
62,1,PMPI_Send,PMPI_Recv,0.001305,0.001311
1,63,PMPI_Send,PMPI_Recv,0.001311,0.001318
63,1,PMPI_Send,PMPI_Recv,0.001318,0.001326
1,64,PMPI_Send,PMPI_Recv,0.001326,0.001332
64,1,PMPI_Send,PMPI_Recv,0.001332,0.001338
1,2,PMPI_Send,PMPI_Recv,0.001338,0.00134
2,1,PMPI_Send,PMPI_Recv,0.00134,0.001342
1,3,PMPI_Send,PMPI_Recv,0.001342,0.001347
3,1,PMPI_Send,PMPI_Recv,0.001347,0.001351
1,4,PMPI_Send,PMPI_Recv,0.001351,0.001353
4,1,PMPI_Send,PMPI_Recv,0.001353,0.001355
1,5,PMPI_Send,PMPI_Recv,0.001355,0.001357
5,1,PMPI_Send,PMPI_Recv,0.001357,0.001359
1,6,PMPI_Send,PMPI_Recv,0.001359,0.001363
