Rank Origem,Rank Destino,Ação da Origem,Estado do Destino,Tempo Inicial,Tempo Final
16,1,PMPI_Reduce,PMPI_Reduce,0.000362,0.001923
2,1,PMPI_Reduce,PMPI_Reduce,0.000393,0.001923
3,1,PMPI_Reduce,PMPI_Reduce,0.00038,0.001923
4,1,PMPI_Reduce,PMPI_Reduce,0.000366,0.001923
5,1,PMPI_Reduce,PMPI_Reduce,0.000371,0.001923
6,1,PMPI_Reduce,PMPI_Reduce,0.000385,0.001923
9,1,PMPI_Reduce,PMPI_Reduce,0.000359,0.001923
11,1,PMPI_Reduce,PMPI_Reduce,0.000363,0.001923
12,1,PMPI_Reduce,PMPI_Reduce,0.000364,0.001923
13,1,PMPI_Reduce,PMPI_Reduce,0.000367,0.001923
15,1,PMPI_Reduce,PMPI_Reduce,0.000363,0.001923
7,1,PMPI_Reduce,PMPI_Reduce,0.000401,0.001925
8,1,PMPI_Reduce,PMPI_Reduce,0.000417,0.00193
10,1,PMPI_Reduce,PMPI_Reduce,0.00048,0.001939
14,1,PMPI_Reduce,PMPI_Reduce,0.000582,0.001947
2,1,PMPI_Reduce,PMPI_Reduce,0.000394,0.003501
3,1,PMPI_Reduce,PMPI_Reduce,0.000381,0.003501
4,1,PMPI_Reduce,PMPI_Reduce,0.000366,0.003501
5,1,PMPI_Reduce,PMPI_Reduce,0.000372,0.003501
6,1,PMPI_Reduce,PMPI_Reduce,0.000386,0.003501
7,1,PMPI_Reduce,PMPI_Reduce,0.000403,0.003501
8,1,PMPI_Reduce,PMPI_Reduce,0.000419,0.003501
9,1,PMPI_Reduce,PMPI_Reduce,0.00036,0.003501
10,1,PMPI_Reduce,PMPI_Reduce,0.000482,0.003501
11,1,PMPI_Reduce,PMPI_Reduce,0.000363,0.003501
12,1,PMPI_Reduce,PMPI_Reduce,0.000365,0.003501
13,1,PMPI_Reduce,PMPI_Reduce,0.000368,0.003501
14,1,PMPI_Reduce,PMPI_Reduce,0.000583,0.003501
15,1,PMPI_Reduce,PMPI_Reduce,0.000363,0.003501
16,1,PMPI_Reduce,PMPI_Reduce,0.000363,0.003501
2,1,PMPI_Reduce,PMPI_Reduce,0.000396,0.005056
3,1,PMPI_Reduce,PMPI_Reduce,0.000381,0.005056
4,1,PMPI_Reduce,PMPI_Reduce,0.000366,0.005056
5,1,PMPI_Reduce,PMPI_Reduce,0.000372,0.005056
6,1,PMPI_Reduce,PMPI_Reduce,0.000386,0.005056
7,1,PMPI_Reduce,PMPI_Reduce,0.000404,0.005056
8,1,PMPI_Reduce,PMPI_Reduce,0.000419,0.005056
9,1,PMPI_Reduce,PMPI_Reduce,0.00036,0.005056
10,1,PMPI_Reduce,PMPI_Reduce,0.000482,0.005056
11,1,PMPI_Reduce,PMPI_Reduce,0.000363,0.005056
12,1,PMPI_Reduce,PMPI_Reduce,0.000365,0.005056
13,1,PMPI_Reduce,PMPI_Reduce,0.000368,0.005056
14,1,PMPI_Reduce,PMPI_Reduce,0.000583,0.005056
15,1,PMPI_Reduce,PMPI_Reduce,0.000363,0.005056
16,1,PMPI_Reduce,PMPI_Reduce,0.000364,0.005056
2,1,PMPI_Reduce,PMPI_Reduce,0.000396,0.00661
3,1,PMPI_Reduce,PMPI_Reduce,0.000381,0.00661
4,1,PMPI_Reduce,PMPI_Reduce,0.000366,0.00661
5,1,PMPI_Reduce,PMPI_Reduce,0.000372,0.00661
6,1,PMPI_Reduce,PMPI_Reduce,0.000386,0.00661
7,1,PMPI_Reduce,PMPI_Reduce,0.000404,0.00661
8,1,PMPI_Reduce,PMPI_Reduce,0.000419,0.00661
9,1,PMPI_Reduce,PMPI_Reduce,0.00036,0.00661
10,1,PMPI_Reduce,PMPI_Reduce,0.000482,0.00661
11,1,PMPI_Reduce,PMPI_Reduce,0.000363,0.00661
12,1,PMPI_Reduce,PMPI_Reduce,0.000365,0.00661
13,1,PMPI_Reduce,PMPI_Reduce,0.000368,0.00661
14,1,PMPI_Reduce,PMPI_Reduce,0.000583,0.00661
15,1,PMPI_Reduce,PMPI_Reduce,0.000363,0.00661
16,1,PMPI_Reduce,PMPI_Reduce,0.000364,0.00661
2,1,PMPI_Reduce,PMPI_Reduce,0.000396,0.008164
3,1,PMPI_Reduce,PMPI_Reduce,0.000381,0.008164
4,1,PMPI_Reduce,PMPI_Reduce,0.000366,0.008164
5,1,PMPI_Reduce,PMPI_Reduce,0.000372,0.008164
6,1,PMPI_Reduce,PMPI_Reduce,0.000386,0.008164
7,1,PMPI_Reduce,PMPI_Reduce,0.000404,0.008164
8,1,PMPI_Reduce,PMPI_Reduce,0.000419,0.008164
9,1,PMPI_Reduce,PMPI_Reduce,0.00036,0.008164
10,1,PMPI_Reduce,PMPI_Reduce,0.000482,0.008164
11,1,PMPI_Reduce,PMPI_Reduce,0.000363,0.008164
12,1,PMPI_Reduce,PMPI_Reduce,0.000365,0.008164
13,1,PMPI_Reduce,PMPI_Reduce,0.000368,0.008164
14,1,PMPI_Reduce,PMPI_Reduce,0.000583,0.008164
15,1,PMPI_Reduce,PMPI_Reduce,0.000363,0.008164
16,1,PMPI_Reduce,PMPI_Reduce,0.000364,0.008164
2,1,PMPI_Reduce,PMPI_Reduce,0.000396,0.009718
3,1,PMPI_Reduce,PMPI_Reduce,0.000381,0.009718
4,1,PMPI_Reduce,PMPI_Reduce,0.000366,0.009718
5,1,PMPI_Reduce,PMPI_Reduce,0.000372,0.009718
6,1,PMPI_Reduce,PMPI_Reduce,0.000386,0.009718
7,1,PMPI_Reduce,PMPI_Reduce,0.000404,0.009718
8,1,PMPI_Reduce,PMPI_Reduce,0.000419,0.009718
9,1,PMPI_Reduce,PMPI_Reduce,0.00036,0.009718
10,1,PMPI_Reduce,PMPI_Reduce,0.000482,0.009718
11,1,PMPI_Reduce,PMPI_Reduce,0.000363,0.009718
12,1,PMPI_Reduce,PMPI_Reduce,0.000365,0.009718
13,1,PMPI_Reduce,PMPI_Reduce,0.000368,0.009718
14,1,PMPI_Reduce,PMPI_Reduce,0.000583,0.009718
15,1,PMPI_Reduce,PMPI_Reduce,0.000363,0.009718
16,1,PMPI_Reduce,PMPI_Reduce,0.000364,0.009718
2,1,PMPI_Reduce,PMPI_Reduce,0.000396,0.011272
3,1,PMPI_Reduce,PMPI_Reduce,0.000381,0.011272
4,1,PMPI_Reduce,PMPI_Reduce,0.000366,0.011272
5,1,PMPI_Reduce,PMPI_Reduce,0.000372,0.011272
6,1,PMPI_Reduce,PMPI_Reduce,0.000386,0.011272
7,1,PMPI_Reduce,PMPI_Reduce,0.000404,0.011272
8,1,PMPI_Reduce,PMPI_Reduce,0.000419,0.011272
9,1,PMPI_Reduce,PMPI_Reduce,0.00036,0.011272
10,1,PMPI_Reduce,PMPI_Reduce,0.000482,0.011272
11,1,PMPI_Reduce,PMPI_Reduce,0.000363,0.011272
12,1,PMPI_Reduce,PMPI_Reduce,0.000365,0.011272
13,1,PMPI_Reduce,PMPI_Reduce,0.000368,0.011272
14,1,PMPI_Reduce,PMPI_Reduce,0.000583,0.011272
15,1,PMPI_Reduce,PMPI_Reduce,0.000363,0.011272
