Rank Origem,Rank Destino,Ação da Origem,Estado do Destino,Tempo Inicial,Tempo Final
2,1,PMPI_Reduce,PMPI_Reduce,0.000456,0.000727
3,1,PMPI_Reduce,PMPI_Reduce,0.000427,0.000727
4,1,PMPI_Reduce,PMPI_Reduce,0.000414,0.000727
15,1,PMPI_Reduce,PMPI_Reduce,0.000379,0.001137
5,1,PMPI_Reduce,PMPI_Reduce,0.000442,0.001137
6,1,PMPI_Reduce,PMPI_Reduce,0.000414,0.001137
7,1,PMPI_Reduce,PMPI_Reduce,0.00042,0.001137
8,1,PMPI_Reduce,PMPI_Reduce,0.000415,0.001137
9,1,PMPI_Reduce,PMPI_Reduce,0.000405,0.001137
10,1,PMPI_Reduce,PMPI_Reduce,0.000426,0.001137
11,1,PMPI_Reduce,PMPI_Reduce,0.000407,0.001137
12,1,PMPI_Reduce,PMPI_Reduce,0.000448,0.001137
13,1,PMPI_Reduce,PMPI_Reduce,0.00042,0.001137
14,1,PMPI_Reduce,PMPI_Reduce,0.000444,0.001137
16,1,PMPI_Reduce,PMPI_Reduce,0.000503,0.001141
2,1,PMPI_Reduce,PMPI_Reduce,0.000456,0.001409
3,1,PMPI_Reduce,PMPI_Reduce,0.000429,0.001409
4,1,PMPI_Reduce,PMPI_Reduce,0.000415,0.001409
5,1,PMPI_Reduce,PMPI_Reduce,0.000443,0.001823
6,1,PMPI_Reduce,PMPI_Reduce,0.000414,0.001823
7,1,PMPI_Reduce,PMPI_Reduce,0.000421,0.001823
8,1,PMPI_Reduce,PMPI_Reduce,0.000416,0.001823
9,1,PMPI_Reduce,PMPI_Reduce,0.000406,0.001823
10,1,PMPI_Reduce,PMPI_Reduce,0.000427,0.001823
11,1,PMPI_Reduce,PMPI_Reduce,0.000408,0.001823
12,1,PMPI_Reduce,PMPI_Reduce,0.000448,0.001823
13,1,PMPI_Reduce,PMPI_Reduce,0.000422,0.001823
14,1,PMPI_Reduce,PMPI_Reduce,0.000445,0.001823
15,1,PMPI_Reduce,PMPI_Reduce,0.00038,0.001823
16,1,PMPI_Reduce,PMPI_Reduce,0.000503,0.001823
2,1,PMPI_Reduce,PMPI_Reduce,0.000456,0.002091
3,1,PMPI_Reduce,PMPI_Reduce,0.00043,0.002091
4,1,PMPI_Reduce,PMPI_Reduce,0.000416,0.002091
5,1,PMPI_Reduce,PMPI_Reduce,0.000443,0.002505
6,1,PMPI_Reduce,PMPI_Reduce,0.000414,0.002505
7,1,PMPI_Reduce,PMPI_Reduce,0.000421,0.002505
8,1,PMPI_Reduce,PMPI_Reduce,0.000417,0.002505
9,1,PMPI_Reduce,PMPI_Reduce,0.000406,0.002505
10,1,PMPI_Reduce,PMPI_Reduce,0.000427,0.002505
11,1,PMPI_Reduce,PMPI_Reduce,0.000409,0.002505
12,1,PMPI_Reduce,PMPI_Reduce,0.000448,0.002505
13,1,PMPI_Reduce,PMPI_Reduce,0.000422,0.002505
14,1,PMPI_Reduce,PMPI_Reduce,0.000445,0.002505
