Rank Origem,Rank Destino,Ação da Origem,Estado do Destino,Tempo Inicial,Tempo Final
2,1,PMPI_Reduce,PMPI_Reduce,0.000396,0.00042
3,1,PMPI_Reduce,PMPI_Reduce,0.000395,0.00042
4,1,PMPI_Reduce,PMPI_Reduce,0.000375,0.00042
5,1,PMPI_Reduce,PMPI_Reduce,0.000384,0.000428
6,1,PMPI_Reduce,PMPI_Reduce,0.000382,0.000428
7,1,PMPI_Reduce,PMPI_Reduce,0.000388,0.000428
8,1,PMPI_Reduce,PMPI_Reduce,0.000404,0.000428
15,1,PMPI_Reduce,PMPI_Reduce,0.000427,0.000443
11,1,PMPI_Reduce,PMPI_Reduce,0.000434,0.000449
9,1,PMPI_Reduce,PMPI_Reduce,0.000447,0.000463
13,1,PMPI_Reduce,PMPI_Reduce,0.000486,0.000502
10,1,PMPI_Reduce,PMPI_Reduce,0.000496,0.000511
16,1,PMPI_Reduce,PMPI_Reduce,0.000503,0.000519
14,1,PMPI_Reduce,PMPI_Reduce,0.000506,0.000521
12,1,PMPI_Reduce,PMPI_Reduce,0.000512,0.000528
2,1,PMPI_Reduce,PMPI_Reduce,0.000397,0.000537
3,1,PMPI_Reduce,PMPI_Reduce,0.000396,0.000537
4,1,PMPI_Reduce,PMPI_Reduce,0.000377,0.000537
5,1,PMPI_Reduce,PMPI_Reduce,0.000385,0.000546
6,1,PMPI_Reduce,PMPI_Reduce,0.000384,0.000546
7,1,PMPI_Reduce,PMPI_Reduce,0.000389,0.000546
8,1,PMPI_Reduce,PMPI_Reduce,0.000405,0.000546
9,1,PMPI_Reduce,PMPI_Reduce,0.000448,0.000546
10,1,PMPI_Reduce,PMPI_Reduce,0.000497,0.000546
11,1,PMPI_Reduce,PMPI_Reduce,0.000435,0.000546
12,1,PMPI_Reduce,PMPI_Reduce,0.000513,0.000546
13,1,PMPI_Reduce,PMPI_Reduce,0.000488,0.000546
14,1,PMPI_Reduce,PMPI_Reduce,0.000507,0.000546
15,1,PMPI_Reduce,PMPI_Reduce,0.00043,0.000546
16,1,PMPI_Reduce,PMPI_Reduce,0.000504,0.000546
2,1,PMPI_Reduce,PMPI_Reduce,0.000397,0.000556
3,1,PMPI_Reduce,PMPI_Reduce,0.000396,0.000556
4,1,PMPI_Reduce,PMPI_Reduce,0.000378,0.000556
5,1,PMPI_Reduce,PMPI_Reduce,0.000385,0.000565
6,1,PMPI_Reduce,PMPI_Reduce,0.000384,0.000565
7,1,PMPI_Reduce,PMPI_Reduce,0.000389,0.000565
8,1,PMPI_Reduce,PMPI_Reduce,0.000405,0.000565
9,1,PMPI_Reduce,PMPI_Reduce,0.000448,0.000565
10,1,PMPI_Reduce,PMPI_Reduce,0.000497,0.000565
11,1,PMPI_Reduce,PMPI_Reduce,0.000435,0.000565
12,1,PMPI_Reduce,PMPI_Reduce,0.000513,0.000565
13,1,PMPI_Reduce,PMPI_Reduce,0.000488,0.000565
14,1,PMPI_Reduce,PMPI_Reduce,0.000507,0.000565
15,1,PMPI_Reduce,PMPI_Reduce,0.000431,0.000565
16,1,PMPI_Reduce,PMPI_Reduce,0.000504,0.000565
2,1,PMPI_Reduce,PMPI_Reduce,0.000397,0.000574
3,1,PMPI_Reduce,PMPI_Reduce,0.000396,0.000574
4,1,PMPI_Reduce,PMPI_Reduce,0.000378,0.000574
5,1,PMPI_Reduce,PMPI_Reduce,0.000385,0.000583
6,1,PMPI_Reduce,PMPI_Reduce,0.000384,0.000583
7,1,PMPI_Reduce,PMPI_Reduce,0.000389,0.000583
8,1,PMPI_Reduce,PMPI_Reduce,0.000405,0.000583
9,1,PMPI_Reduce,PMPI_Reduce,0.000448,0.000583
10,1,PMPI_Reduce,PMPI_Reduce,0.000497,0.000583
11,1,PMPI_Reduce,PMPI_Reduce,0.000435,0.000583
12,1,PMPI_Reduce,PMPI_Reduce,0.000513,0.000583
13,1,PMPI_Reduce,PMPI_Reduce,0.000488,0.000583
14,1,PMPI_Reduce,PMPI_Reduce,0.000507,0.000583
15,1,PMPI_Reduce,PMPI_Reduce,0.000431,0.000583
16,1,PMPI_Reduce,PMPI_Reduce,0.000504,0.000583
2,1,PMPI_Reduce,PMPI_Reduce,0.000397,0.000592
3,1,PMPI_Reduce,PMPI_Reduce,0.000396,0.000592
4,1,PMPI_Reduce,PMPI_Reduce,0.000378,0.000592
5,1,PMPI_Reduce,PMPI_Reduce,0.000385,0.000601
6,1,PMPI_Reduce,PMPI_Reduce,0.000384,0.000601
7,1,PMPI_Reduce,PMPI_Reduce,0.000389,0.000601
8,1,PMPI_Reduce,PMPI_Reduce,0.000405,0.000601
9,1,PMPI_Reduce,PMPI_Reduce,0.000448,0.000601
10,1,PMPI_Reduce,PMPI_Reduce,0.000497,0.000601
11,1,PMPI_Reduce,PMPI_Reduce,0.000435,0.000601
12,1,PMPI_Reduce,PMPI_Reduce,0.000513,0.000601
13,1,PMPI_Reduce,PMPI_Reduce,0.000488,0.000601
14,1,PMPI_Reduce,PMPI_Reduce,0.000507,0.000601
15,1,PMPI_Reduce,PMPI_Reduce,0.000431,0.000601
16,1,PMPI_Reduce,PMPI_Reduce,0.000504,0.000601
2,1,PMPI_Reduce,PMPI_Reduce,0.000397,0.00061
3,1,PMPI_Reduce,PMPI_Reduce,0.000396,0.00061
4,1,PMPI_Reduce,PMPI_Reduce,0.000378,0.00061
5,1,PMPI_Reduce,PMPI_Reduce,0.000385,0.000619
6,1,PMPI_Reduce,PMPI_Reduce,0.000384,0.000619
7,1,PMPI_Reduce,PMPI_Reduce,0.000389,0.000619
8,1,PMPI_Reduce,PMPI_Reduce,0.000405,0.000619
9,1,PMPI_Reduce,PMPI_Reduce,0.000448,0.000619
10,1,PMPI_Reduce,PMPI_Reduce,0.000497,0.000619
11,1,PMPI_Reduce,PMPI_Reduce,0.000435,0.000619
12,1,PMPI_Reduce,PMPI_Reduce,0.000513,0.000619
13,1,PMPI_Reduce,PMPI_Reduce,0.000488,0.000619
14,1,PMPI_Reduce,PMPI_Reduce,0.000507,0.000619
15,1,PMPI_Reduce,PMPI_Reduce,0.000431,0.000619
16,1,PMPI_Reduce,PMPI_Reduce,0.000504,0.000619
2,1,PMPI_Reduce,PMPI_Reduce,0.000397,0.000628
3,1,PMPI_Reduce,PMPI_Reduce,0.000396,0.000628
4,1,PMPI_Reduce,PMPI_Reduce,0.000378,0.000628
5,1,PMPI_Reduce,PMPI_Reduce,0.000385,0.000637
6,1,PMPI_Reduce,PMPI_Reduce,0.000384,0.000637
7,1,PMPI_Reduce,PMPI_Reduce,0.000389,0.000637
8,1,PMPI_Reduce,PMPI_Reduce,0.000405,0.000637
9,1,PMPI_Reduce,PMPI_Reduce,0.000448,0.000637
10,1,PMPI_Reduce,PMPI_Reduce,0.000497,0.000637
11,1,PMPI_Reduce,PMPI_Reduce,0.000435,0.000637
12,1,PMPI_Reduce,PMPI_Reduce,0.000513,0.000637
13,1,PMPI_Reduce,PMPI_Reduce,0.000488,0.000637
14,1,PMPI_Reduce,PMPI_Reduce,0.000507,0.000637
15,1,PMPI_Reduce,PMPI_Reduce,0.000431,0.000637
16,1,PMPI_Reduce,PMPI_Reduce,0.000504,0.000637
2,1,PMPI_Reduce,PMPI_Reduce,0.000397,0.000645
3,1,PMPI_Reduce,PMPI_Reduce,0.000396,0.000645
4,1,PMPI_Reduce,PMPI_Reduce,0.000378,0.000645
5,1,PMPI_Reduce,PMPI_Reduce,0.000385,0.000654
6,1,PMPI_Reduce,PMPI_Reduce,0.000384,0.000654
7,1,PMPI_Reduce,PMPI_Reduce,0.000389,0.000654
8,1,PMPI_Reduce,PMPI_Reduce,0.000405,0.000654
9,1,PMPI_Reduce,PMPI_Reduce,0.000448,0.000654
10,1,PMPI_Reduce,PMPI_Reduce,0.000497,0.000654
11,1,PMPI_Reduce,PMPI_Reduce,0.000435,0.000654
12,1,PMPI_Reduce,PMPI_Reduce,0.000513,0.000654
13,1,PMPI_Reduce,PMPI_Reduce,0.000488,0.000654
14,1,PMPI_Reduce,PMPI_Reduce,0.000507,0.000654
15,1,PMPI_Reduce,PMPI_Reduce,0.000431,0.000654
16,1,PMPI_Reduce,PMPI_Reduce,0.000504,0.000654
2,1,PMPI_Reduce,PMPI_Reduce,0.000397,0.000662
3,1,PMPI_Reduce,PMPI_Reduce,0.000396,0.000662
4,1,PMPI_Reduce,PMPI_Reduce,0.000378,0.000662
5,1,PMPI_Reduce,PMPI_Reduce,0.000385,0.000671
6,1,PMPI_Reduce,PMPI_Reduce,0.000384,0.000671
7,1,PMPI_Reduce,PMPI_Reduce,0.000389,0.000671
8,1,PMPI_Reduce,PMPI_Reduce,0.000405,0.000671
9,1,PMPI_Reduce,PMPI_Reduce,0.000448,0.000671
10,1,PMPI_Reduce,PMPI_Reduce,0.000497,0.000671
11,1,PMPI_Reduce,PMPI_Reduce,0.000435,0.000671
12,1,PMPI_Reduce,PMPI_Reduce,0.000513,0.000671
13,1,PMPI_Reduce,PMPI_Reduce,0.000488,0.000671
14,1,PMPI_Reduce,PMPI_Reduce,0.000507,0.000671
15,1,PMPI_Reduce,PMPI_Reduce,0.000431,0.000671
16,1,PMPI_Reduce,PMPI_Reduce,0.000504,0.000671
2,1,PMPI_Reduce,PMPI_Reduce,0.000397,0.000679
3,1,PMPI_Reduce,PMPI_Reduce,0.000396,0.000679
4,1,PMPI_Reduce,PMPI_Reduce,0.000378,0.000679
5,1,PMPI_Reduce,PMPI_Reduce,0.000385,0.000688
6,1,PMPI_Reduce,PMPI_Reduce,0.000384,0.000688
7,1,PMPI_Reduce,PMPI_Reduce,0.000389,0.000688
8,1,PMPI_Reduce,PMPI_Reduce,0.000405,0.000688
9,1,PMPI_Reduce,PMPI_Reduce,0.000448,0.000688
10,1,PMPI_Reduce,PMPI_Reduce,0.000497,0.000688
11,1,PMPI_Reduce,PMPI_Reduce,0.000435,0.000688
12,1,PMPI_Reduce,PMPI_Reduce,0.000513,0.000688
13,1,PMPI_Reduce,PMPI_Reduce,0.000488,0.000688
14,1,PMPI_Reduce,PMPI_Reduce,0.000507,0.000688
15,1,PMPI_Reduce,PMPI_Reduce,0.000431,0.000688
16,1,PMPI_Reduce,PMPI_Reduce,0.000504,0.000688
2,1,PMPI_Reduce,PMPI_Reduce,0.000397,0.000697
3,1,PMPI_Reduce,PMPI_Reduce,0.000396,0.000697
4,1,PMPI_Reduce,PMPI_Reduce,0.000378,0.000697
5,1,PMPI_Reduce,PMPI_Reduce,0.000385,0.000705
6,1,PMPI_Reduce,PMPI_Reduce,0.000384,0.000705
7,1,PMPI_Reduce,PMPI_Reduce,0.000389,0.000705
8,1,PMPI_Reduce,PMPI_Reduce,0.000405,0.000705
9,1,PMPI_Reduce,PMPI_Reduce,0.000448,0.000705
10,1,PMPI_Reduce,PMPI_Reduce,0.000497,0.000705
11,1,PMPI_Reduce,PMPI_Reduce,0.000435,0.000705
12,1,PMPI_Reduce,PMPI_Reduce,0.000513,0.000705
13,1,PMPI_Reduce,PMPI_Reduce,0.000488,0.000705
14,1,PMPI_Reduce,PMPI_Reduce,0.000507,0.000705
15,1,PMPI_Reduce,PMPI_Reduce,0.000431,0.000705
16,1,PMPI_Reduce,PMPI_Reduce,0.000504,0.000705
2,1,PMPI_Reduce,PMPI_Reduce,0.000397,0.000714
3,1,PMPI_Reduce,PMPI_Reduce,0.000396,0.000714
4,1,PMPI_Reduce,PMPI_Reduce,0.000378,0.000714
5,1,PMPI_Reduce,PMPI_Reduce,0.000385,0.000722
6,1,PMPI_Reduce,PMPI_Reduce,0.000384,0.000722
7,1,PMPI_Reduce,PMPI_Reduce,0.000389,0.000722
8,1,PMPI_Reduce,PMPI_Reduce,0.000405,0.000722
9,1,PMPI_Reduce,PMPI_Reduce,0.000448,0.000722
10,1,PMPI_Reduce,PMPI_Reduce,0.000497,0.000722
11,1,PMPI_Reduce,PMPI_Reduce,0.000435,0.000722
12,1,PMPI_Reduce,PMPI_Reduce,0.000513,0.000722
13,1,PMPI_Reduce,PMPI_Reduce,0.000488,0.000722
14,1,PMPI_Reduce,PMPI_Reduce,0.000507,0.000722
15,1,PMPI_Reduce,PMPI_Reduce,0.000431,0.000722
16,1,PMPI_Reduce,PMPI_Reduce,0.000504,0.000722
2,1,PMPI_Reduce,PMPI_Reduce,0.000397,0.000731
3,1,PMPI_Reduce,PMPI_Reduce,0.000396,0.000731
4,1,PMPI_Reduce,PMPI_Reduce,0.000378,0.000731
5,1,PMPI_Reduce,PMPI_Reduce,0.000385,0.00074
6,1,PMPI_Reduce,PMPI_Reduce,0.000384,0.00074
7,1,PMPI_Reduce,PMPI_Reduce,0.000389,0.00074
8,1,PMPI_Reduce,PMPI_Reduce,0.000405,0.00074
9,1,PMPI_Reduce,PMPI_Reduce,0.000448,0.00074
10,1,PMPI_Reduce,PMPI_Reduce,0.000497,0.00074
11,1,PMPI_Reduce,PMPI_Reduce,0.000435,0.00074
12,1,PMPI_Reduce,PMPI_Reduce,0.000513,0.00074
13,1,PMPI_Reduce,PMPI_Reduce,0.000488,0.00074
14,1,PMPI_Reduce,PMPI_Reduce,0.000507,0.00074
15,1,PMPI_Reduce,PMPI_Reduce,0.000431,0.00074
16,1,PMPI_Reduce,PMPI_Reduce,0.000504,0.00074
2,1,PMPI_Reduce,PMPI_Reduce,0.000397,0.000748
3,1,PMPI_Reduce,PMPI_Reduce,0.000396,0.000748
4,1,PMPI_Reduce,PMPI_Reduce,0.000378,0.000748
5,1,PMPI_Reduce,PMPI_Reduce,0.000385,0.000757
6,1,PMPI_Reduce,PMPI_Reduce,0.000384,0.000757
7,1,PMPI_Reduce,PMPI_Reduce,0.000389,0.000757
8,1,PMPI_Reduce,PMPI_Reduce,0.000405,0.000757
9,1,PMPI_Reduce,PMPI_Reduce,0.000448,0.000757
10,1,PMPI_Reduce,PMPI_Reduce,0.000497,0.000757
11,1,PMPI_Reduce,PMPI_Reduce,0.000435,0.000757
12,1,PMPI_Reduce,PMPI_Reduce,0.000513,0.000757
13,1,PMPI_Reduce,PMPI_Reduce,0.000488,0.000757
14,1,PMPI_Reduce,PMPI_Reduce,0.000507,0.000757
15,1,PMPI_Reduce,PMPI_Reduce,0.000431,0.000757
16,1,PMPI_Reduce,PMPI_Reduce,0.000504,0.000757
2,1,PMPI_Reduce,PMPI_Reduce,0.000397,0.000765
3,1,PMPI_Reduce,PMPI_Reduce,0.000396,0.000765
4,1,PMPI_Reduce,PMPI_Reduce,0.000378,0.000765
5,1,PMPI_Reduce,PMPI_Reduce,0.000385,0.000774
6,1,PMPI_Reduce,PMPI_Reduce,0.000384,0.000774
7,1,PMPI_Reduce,PMPI_Reduce,0.000389,0.000774
8,1,PMPI_Reduce,PMPI_Reduce,0.000405,0.000774
9,1,PMPI_Reduce,PMPI_Reduce,0.000448,0.000774
10,1,PMPI_Reduce,PMPI_Reduce,0.000497,0.000774
11,1,PMPI_Reduce,PMPI_Reduce,0.000435,0.000774
12,1,PMPI_Reduce,PMPI_Reduce,0.000513,0.000774
13,1,PMPI_Reduce,PMPI_Reduce,0.000488,0.000774
14,1,PMPI_Reduce,PMPI_Reduce,0.000507,0.000774
15,1,PMPI_Reduce,PMPI_Reduce,0.000431,0.000774
16,1,PMPI_Reduce,PMPI_Reduce,0.000504,0.000774
2,1,PMPI_Reduce,PMPI_Reduce,0.000397,0.000782
3,1,PMPI_Reduce,PMPI_Reduce,0.000396,0.000782
4,1,PMPI_Reduce,PMPI_Reduce,0.000378,0.000782
5,1,PMPI_Reduce,PMPI_Reduce,0.000385,0.000791
