Rank Origem,Rank Destino,Ação da Origem,Estado do Destino,Tempo Inicial,Tempo Final
2,1,PMPI_Reduce,PMPI_Reduce,0.000384,0.000536
4,1,PMPI_Reduce,PMPI_Reduce,0.000379,0.000536
5,1,PMPI_Reduce,PMPI_Reduce,0.000404,0.000536
9,1,PMPI_Reduce,PMPI_Reduce,0.000413,0.000536
3,1,PMPI_Reduce,PMPI_Reduce,0.000402,0.000633
6,1,PMPI_Reduce,PMPI_Reduce,0.000362,0.000648
8,1,PMPI_Reduce,PMPI_Reduce,0.000423,0.000658
12,1,PMPI_Reduce,PMPI_Reduce,0.000363,0.000682
10,1,PMPI_Reduce,PMPI_Reduce,0.000374,0.000682
13,1,PMPI_Reduce,PMPI_Reduce,0.000393,0.000682
7,1,PMPI_Reduce,PMPI_Reduce,0.000398,0.000731
14,1,PMPI_Reduce,PMPI_Reduce,0.000364,0.000755
16,1,PMPI_Reduce,PMPI_Reduce,0.000409,0.000755
11,1,PMPI_Reduce,PMPI_Reduce,0.00048,0.000796
15,1,PMPI_Reduce,PMPI_Reduce,0.000419,0.000833
2,1,PMPI_Reduce,PMPI_Reduce,0.000385,0.000957
4,1,PMPI_Reduce,PMPI_Reduce,0.00038,0.000957
5,1,PMPI_Reduce,PMPI_Reduce,0.000404,0.000957
9,1,PMPI_Reduce,PMPI_Reduce,0.000415,0.000957
3,1,PMPI_Reduce,PMPI_Reduce,0.000403,0.001054
6,1,PMPI_Reduce,PMPI_Reduce,0.000363,0.001079
8,1,PMPI_Reduce,PMPI_Reduce,0.000425,0.001079
12,1,PMPI_Reduce,PMPI_Reduce,0.000365,0.001103
10,1,PMPI_Reduce,PMPI_Reduce,0.000375,0.001103
13,1,PMPI_Reduce,PMPI_Reduce,0.000394,0.001103
7,1,PMPI_Reduce,PMPI_Reduce,0.000399,0.001152
14,1,PMPI_Reduce,PMPI_Reduce,0.000365,0.0012
11,1,PMPI_Reduce,PMPI_Reduce,0.000481,0.0012
16,1,PMPI_Reduce,PMPI_Reduce,0.00041,0.0012
15,1,PMPI_Reduce,PMPI_Reduce,0.00042,0.001249
2,1,PMPI_Reduce,PMPI_Reduce,0.000385,0.001372
4,1,PMPI_Reduce,PMPI_Reduce,0.00038,0.001372
5,1,PMPI_Reduce,PMPI_Reduce,0.000404,0.001372
9,1,PMPI_Reduce,PMPI_Reduce,0.000415,0.001372
3,1,PMPI_Reduce,PMPI_Reduce,0.000403,0.00147
6,1,PMPI_Reduce,PMPI_Reduce,0.000364,0.001494
8,1,PMPI_Reduce,PMPI_Reduce,0.000426,0.001494
12,1,PMPI_Reduce,PMPI_Reduce,0.000366,0.001518
10,1,PMPI_Reduce,PMPI_Reduce,0.000375,0.001518
13,1,PMPI_Reduce,PMPI_Reduce,0.000394,0.001518
7,1,PMPI_Reduce,PMPI_Reduce,0.000399,0.001567
14,1,PMPI_Reduce,PMPI_Reduce,0.000366,0.001616
11,1,PMPI_Reduce,PMPI_Reduce,0.000481,0.001616
16,1,PMPI_Reduce,PMPI_Reduce,0.00041,0.001616
15,1,PMPI_Reduce,PMPI_Reduce,0.00042,0.001665
2,1,PMPI_Reduce,PMPI_Reduce,0.000385,0.001788
4,1,PMPI_Reduce,PMPI_Reduce,0.00038,0.001788
5,1,PMPI_Reduce,PMPI_Reduce,0.000404,0.001788
9,1,PMPI_Reduce,PMPI_Reduce,0.000415,0.001788
3,1,PMPI_Reduce,PMPI_Reduce,0.000403,0.001885
6,1,PMPI_Reduce,PMPI_Reduce,0.000365,0.00191
8,1,PMPI_Reduce,PMPI_Reduce,0.000426,0.00191
12,1,PMPI_Reduce,PMPI_Reduce,0.000366,0.001934
10,1,PMPI_Reduce,PMPI_Reduce,0.000375,0.001934
13,1,PMPI_Reduce,PMPI_Reduce,0.000394,0.001934
7,1,PMPI_Reduce,PMPI_Reduce,0.000399,0.001983
14,1,PMPI_Reduce,PMPI_Reduce,0.000366,0.002031
11,1,PMPI_Reduce,PMPI_Reduce,0.000481,0.002031
16,1,PMPI_Reduce,PMPI_Reduce,0.00041,0.002031
15,1,PMPI_Reduce,PMPI_Reduce,0.00042,0.00208
2,1,PMPI_Reduce,PMPI_Reduce,0.000385,0.002203
4,1,PMPI_Reduce,PMPI_Reduce,0.00038,0.002203
5,1,PMPI_Reduce,PMPI_Reduce,0.000404,0.002203
9,1,PMPI_Reduce,PMPI_Reduce,0.000415,0.002203
3,1,PMPI_Reduce,PMPI_Reduce,0.000403,0.002301
6,1,PMPI_Reduce,PMPI_Reduce,0.000365,0.002325
8,1,PMPI_Reduce,PMPI_Reduce,0.000426,0.002325
12,1,PMPI_Reduce,PMPI_Reduce,0.000366,0.002349
10,1,PMPI_Reduce,PMPI_Reduce,0.000375,0.002349
13,1,PMPI_Reduce,PMPI_Reduce,0.000394,0.002349
7,1,PMPI_Reduce,PMPI_Reduce,0.000399,0.002398
